outage_id,dispatch_time,arrival_time,crew_id,vehicle_id
OUT-00078,2020-03-08 20:14:00.000000000,2020-03-08 21:09:00.000000000,CREW-04,VEH-033
OUT-00079,2020-03-11 15:05:00.000000000,2020-03-11 15:52:00.000000000,CREW-14,VEH-021
OUT-00080,2020-03-12 15:05:00.000000000,2020-03-12 15:27:00.000000000,CREW-07,VEH-003
OUT-00081,2020-03-12 17:02:00.000000000,2020-03-12 17:49:00.000000000,CREW-16,VEH-012
OUT-00082,2020-03-13 14:12:00.000000000,2020-03-13 14:48:00.000000000,CREW-14,VEH-030
OUT-00083,2020-03-16 15:07:00.000000000,2020-03-16 15:59:00.000000000,CREW-13,VEH-008
OUT-00084,2020-03-17 13:12:00.000000000,2020-03-17 13:53:00.000000000,CREW-02,VEH-021
OUT-00085,2020-03-18 07:15:00.000000000,2020-03-18 08:02:00.000000000,CREW-15,VEH-033
OUT-00086,2020-03-18 13:06:00.000000000,2020-03-18 13:39:00.000000000,CREW-04,VEH-035
OUT-00087,2020-03-18 15:02:00.000000000,2020-03-18 15:33:00.000000000,CREW-12,VEH-028
OUT-00088,2020-03-19 14:15:00.000000000,2020-03-19 14:58:00.000000000,CREW-14,VEH-006
OUT-00089,2020-03-19 14:04:00.000000000,2020-03-19 14:59:00.000000000,CREW-05,VEH-024
OUT-00090,2020-03-19 16:14:00.000000000,2020-03-19 17:14:00.000000000,CREW-03,VEH-033
OUT-00091,2020-03-25 13:05:00.000000000,2020-03-25 13:40:00.000000000,CREW-01,VEH-003
OUT-00092,2020-03-25 14:03:00.000000000,2020-03-25 14:42:00.000000000,CREW-10,VEH-031
OUT-00093,2020-03-27 13:07:00.000000000,2020-03-27 13:24:00.000000000,CREW-08,VEH-046
OUT-00094,2020-03-27 15:09:00.000000000,2020-03-27 15:55:00.000000000,CREW-15,VEH-022
OUT-00095,2020-03-27 23:08:00.000000000,2020-03-27 23:24:00.000000000,CREW-10,VEH-002
OUT-00096,2020-03-28 04:11:00.000000000,2020-03-28 04:42:00.000000000,CREW-08,VEH-033
OUT-00097,2020-03-28 14:10:00.000000000,2020-03-28 15:07:00.000000000,CREW-16,VEH-039
OUT-00098,2020-03-30 08:14:00.000000000,2020-03-30 09:10:00.000000000,CREW-03,VEH-050
OUT-00099,2020-04-01 02:10:00.000000000,2020-04-01 02:48:00.000000000,CREW-13,VEH-007
OUT-00100,2020-04-01 17:10:00.000000000,2020-04-01 18:00:00.000000000,CREW-13,VEH-020
OUT-00101,2020-04-02 15:02:00.000000000,2020-04-02 15:24:00.000000000,CREW-14,VEH-016
OUT-00102,2020-04-03 13:15:00.000000000,2020-04-03 13:41:00.000000000,CREW-19,VEH-023
OUT-00103,2020-04-03 14:13:00.000000000,2020-04-03 15:01:00.000000000,CREW-02,VEH-032
OUT-00104,2020-04-06 14:08:00.000000000,2020-04-06 14:44:00.000000000,CREW-19,VEH-025
OUT-00105,2020-04-07 11:11:00.000000000,2020-04-07 11:47:00.000000000,CREW-17,VEH-042
OUT-00106,2020-04-07 16:07:00.000000000,2020-04-07 16:36:00.000000000,CREW-11,VEH-037
OUT-00107,2020-04-07 16:02:00.000000000,2020-04-07 16:24:00.000000000,CREW-12,VEH-044
OUT-00108,2020-04-09 13:06:00.000000000,2020-04-09 13:59:00.000000000,CREW-04,VEH-006
OUT-00109,2020-04-10 15:14:00.000000000,2020-04-10 16:00:00.000000000,CREW-20,VEH-030
OUT-00110,2020-04-10 21:04:00.000000000,2020-04-10 21:58:00.000000000,CREW-20,VEH-016
OUT-00111,2020-04-12 15:14:00.000000000,2020-04-12 16:10:00.000000000,CREW-19,VEH-017
OUT-00112,2020-04-12 15:09:00.000000000,2020-04-12 15:42:00.000000000,CREW-05,VEH-026
OUT-00113,2020-04-12 17:06:00.000000000,2020-04-12 17:43:00.000000000,CREW-09,VEH-012
OUT-00114,2020-04-14 18:06:00.000000000,2020-04-14 18:21:00.000000000,CREW-01,VEH-047
OUT-00115,2020-04-15 13:03:00.000000000,2020-04-15 13:49:00.000000000,CREW-16,VEH-025
OUT-00116,2020-04-15 18:09:00.000000000,2020-04-15 19:08:00.000000000,CREW-01,VEH-016
OUT-00117,2020-04-15 18:14:00.000000000,2020-04-15 19:07:00.000000000,CREW-05,VEH-022
OUT-00118,2020-04-16 09:14:00.000000000,2020-04-16 09:31:00.000000000,CREW-12,VEH-026
OUT-00119,2020-04-17 17:04:00.000000000,2020-04-17 17:55:00.000000000,CREW-14,VEH-028
OUT-00120,2020-04-19 16:06:00.000000000,2020-04-19 16:50:00.000000000,CREW-14,VEH-005
OUT-00121,2020-04-19 17:13:00.000000000,2020-04-19 17:43:00.000000000,CREW-16,VEH-021
OUT-00122,2020-04-20 02:08:00.000000000,2020-04-20 02:58:00.000000000,CREW-01,VEH-030
OUT-00123,2020-04-21 05:06:00.000000000,2020-04-21 05:43:00.000000000,CREW-10,VEH-005
OUT-00124,2020-04-22 16:05:00.000000000,2020-04-22 16:53:00.000000000,CREW-20,VEH-031
OUT-00125,2020-04-25 14:11:00.000000000,2020-04-25 14:44:00.000000000,CREW-01,VEH-005
OUT-00126,2020-04-25 17:14:00.000000000,2020-04-25 17:32:00.000000000,CREW-16,VEH-024
OUT-00127,2020-04-26 18:08:00.000000000,2020-04-26 18:24:00.000000000,CREW-17,VEH-028
OUT-00128,2020-04-27 14:12:00.000000000,2020-04-27 14:46:00.000000000,CREW-12,VEH-050
OUT-00129,2020-04-27 15:04:00.000000000,2020-04-27 15:51:00.000000000,CREW-01,VEH-043
OUT-00130,2020-04-27 15:06:00.000000000,2020-04-27 15:32:00.000000000,CREW-03,VEH-001
OUT-00131,2020-04-27 23:02:00.000000000,2020-04-27 23:56:00.000000000,CREW-10,VEH-043
OUT-00132,2020-04-28 14:13:00.000000000,2020-04-28 14:56:00.000000000,CREW-13,VEH-012
OUT-00133,2020-04-28 17:15:00.000000000,2020-04-28 17:31:00.000000000,CREW-19,VEH-050
OUT-00134,2020-05-01 16:04:00.000000000,2020-05-01 16:41:00.000000000,CREW-17,VEH-026
OUT-00135,2020-05-01 16:09:00.000000000,2020-05-01 16:52:00.000000000,CREW-10,VEH-026
OUT-00136,2020-05-01 17:15:00.000000000,2020-05-01 18:03:00.000000000,CREW-19,VEH-041
OUT-00137,2020-05-01 17:08:00.000000000,2020-05-01 17:26:00.000000000,CREW-18,VEH-045
OUT-00138,2020-05-02 13:12:00.000000000,2020-05-02 13:55:00.000000000,CREW-04,VEH-025
OUT-00139,2020-05-02 15:06:00.000000000,2020-05-02 15:56:00.000000000,CREW-10,VEH-037
OUT-00140,2020-05-04 20:10:00.000000000,2020-05-04 20:48:00.000000000,CREW-03,VEH-049
OUT-00141,2020-05-05 13:04:00.000000000,2020-05-05 13:54:00.000000000,CREW-18,VEH-049
OUT-00142,2020-05-07 13:08:00.000000000,2020-05-07 13:54:00.000000000,CREW-05,VEH-012
OUT-00143,2020-05-07 18:02:00.000000000,2020-05-07 18:29:00.000000000,CREW-03,VEH-041
OUT-00144,2020-05-08 15:15:00.000000000,2020-05-08 15:46:00.000000000,CREW-17,VEH-020
OUT-00145,2020-05-08 18:10:00.000000000,2020-05-08 18:46:00.000000000,CREW-13,VEH-019
OUT-00146,2020-05-08 20:02:00.000000000,2020-05-08 20:52:00.000000000,CREW-12,VEH-041
OUT-00147,2020-05-10 17:04:00.000000000,2020-05-10 17:30:00.000000000,CREW-09,VEH-007
OUT-00148,2020-05-11 15:13:00.000000000,2020-05-11 15:41:00.000000000,CREW-20,VEH-019
OUT-00149,2020-05-12 18:11:00.000000000,2020-05-12 18:41:00.000000000,CREW-05,VEH-035
OUT-00150,2020-05-14 15:13:00.000000000,2020-05-14 15:52:00.000000000,CREW-20,VEH-021
OUT-00151,2020-05-14 17:05:00.000000000,2020-05-14 17:42:00.000000000,CREW-16,VEH-039
OUT-00152,2020-05-15 18:14:00.000000000,2020-05-15 19:10:00.000000000,CREW-07,VEH-014
OUT-00153,2020-05-16 15:11:00.000000000,2020-05-16 15:30:00.000000000,CREW-03,VEH-023
OUT-00154,2020-05-16 17:14:00.000000000,2020-05-16 18:11:00.000000000,CREW-11,VEH-018
OUT-00155,2020-05-16 17:13:00.000000000,2020-05-16 17:36:00.000000000,CREW-10,VEH-044
OUT-00156,2020-05-16 19:02:00.000000000,2020-05-16 19:54:00.000000000,CREW-07,VEH-046
OUT-00157,2020-05-20 16:14:00.000000000,2020-05-20 17:08:00.000000000,CREW-10,VEH-009
OUT-00158,2020-05-22 16:03:00.000000000,2020-05-22 16:44:00.000000000,CREW-02,VEH-005
OUT-00159,2020-05-23 15:14:00.000000000,2020-05-23 16:05:00.000000000,CREW-06,VEH-019
OUT-00160,2020-05-25 16:09:00.000000000,2020-05-25 17:08:00.000000000,CREW-01,VEH-022
OUT-00161,2020-05-26 16:05:00.000000000,2020-05-26 16:36:00.000000000,CREW-07,VEH-025
OUT-00162,2020-05-26 16:14:00.000000000,2020-05-26 16:32:00.000000000,CREW-04,VEH-006
OUT-00163,2020-05-26 16:13:00.000000000,2020-05-26 16:58:00.000000000,CREW-19,VEH-044
OUT-00164,2020-05-27 13:07:00.000000000,2020-05-27 14:00:00.000000000,CREW-10,VEH-026
OUT-00165,2020-05-27 13:04:00.000000000,2020-05-27 13:57:00.000000000,CREW-03,VEH-045
OUT-00166,2020-05-27 14:14:00.000000000,2020-05-27 14:56:00.000000000,CREW-20,VEH-028
OUT-00167,2020-05-27 15:09:00.000000000,2020-05-27 16:04:00.000000000,CREW-07,VEH-001
OUT-00168,2020-05-28 17:04:00.000000000,2020-05-28 17:31:00.000000000,CREW-17,VEH-025
OUT-00169,2020-05-28 18:09:00.000000000,2020-05-28 18:56:00.000000000,CREW-06,VEH-006
OUT-00170,2020-05-28 20:11:00.000000000,2020-05-28 21:09:00.000000000,CREW-13,VEH-032
OUT-00171,2020-06-02 18:14:00.000000000,2020-06-02 18:49:00.000000000,CREW-16,VEH-021
OUT-00172,2020-06-03 20:12:00.000000000,2020-06-03 21:03:00.000000000,CREW-04,VEH-035
OUT-00173,2020-06-05 10:04:00.000000000,2020-06-05 10:38:00.000000000,CREW-18,VEH-047
OUT-00174,2020-06-05 18:10:00.000000000,2020-06-05 18:38:00.000000000,CREW-15,VEH-031
OUT-00175,2020-06-06 02:02:00.000000000,2020-06-06 02:19:00.000000000,CREW-16,VEH-023
OUT-00176,2020-06-06 17:10:00.000000000,2020-06-06 17:35:00.000000000,CREW-12,VEH-010
OUT-00177,2020-06-08 14:09:00.000000000,2020-06-08 15:01:00.000000000,CREW-12,VEH-024
OUT-00178,2020-06-08 14:13:00.000000000,2020-06-08 14:35:00.000000000,CREW-04,VEH-026
OUT-00179,2020-06-12 16:09:00.000000000,2020-06-12 16:51:00.000000000,CREW-05,VEH-041
OUT-00180,2020-06-12 17:05:00.000000000,2020-06-12 17:46:00.000000000,CREW-17,VEH-009
OUT-00181,2020-06-13 20:02:00.000000000,2020-06-13 20:36:00.000000000,CREW-13,VEH-028
OUT-00182,2020-06-14 15:14:00.000000000,2020-06-14 15:41:00.000000000,CREW-14,VEH-035
OUT-00183,2020-06-14 16:14:00.000000000,2020-06-14 16:34:00.000000000,CREW-18,VEH-005
OUT-00184,2020-06-15 00:10:00.000000000,2020-06-15 00:26:00.000000000,CREW-10,VEH-030
OUT-00185,2020-06-16 17:03:00.000000000,2020-06-16 18:02:00.000000000,CREW-05,VEH-033
OUT-00186,2020-06-17 23:07:00.000000000,2020-06-17 23:22:00.000000000,CREW-18,VEH-032
OUT-00187,2020-06-18 02:02:00.000000000,2020-06-18 02:27:00.000000000,CREW-17,VEH-013
OUT-00188,2020-06-18 16:02:00.000000000,2020-06-18 16:50:00.000000000,CREW-09,VEH-035
OUT-00189,2020-06-19 09:02:00.000000000,2020-06-19 09:37:00.000000000,CREW-16,VEH-006
OUT-00190,2020-06-20 16:13:00.000000000,2020-06-20 16:44:00.000000000,CREW-05,VEH-031
OUT-00191,2020-06-21 15:06:00.000000000,2020-06-21 15:58:00.000000000,CREW-03,VEH-023
OUT-00192,2020-06-21 19:06:00.000000000,2020-06-21 19:57:00.000000000,CREW-10,VEH-010
OUT-00193,2020-06-23 17:12:19.196365086,2020-06-23 17:20:35.919509051,CREW-14,VEH-009
OUT-00194,2020-06-26 16:15:00.000000000,2020-06-26 16:30:00.000000000,CREW-19,VEH-045
OUT-00195,2020-06-26 18:14:00.000000000,2020-06-26 18:32:00.000000000,CREW-01,VEH-049
OUT-00196,2020-06-26 20:09:00.000000000,2020-06-26 20:55:00.000000000,CREW-02,VEH-028
OUT-00197,2020-06-27 15:09:00.000000000,2020-06-27 16:02:00.000000000,CREW-02,VEH-003
OUT-00198,2020-06-29 14:12:00.000000000,2020-06-29 14:38:00.000000000,CREW-01,VEH-044
OUT-00199,2020-06-30 16:06:00.000000000,2020-06-30 16:50:00.000000000,CREW-17,VEH-048
OUT-00200,2020-07-01 02:08:00.000000000,2020-07-01 02:37:00.000000000,CREW-05,VEH-021
OUT-00201,2020-07-01 02:15:00.000000000,2020-07-01 02:31:00.000000000,CREW-11,VEH-039
OUT-00202,2020-07-01 14:07:00.000000000,2020-07-01 14:55:00.000000000,CREW-06,VEH-050
OUT-00203,2020-07-01 18:03:00.000000000,2020-07-01 18:35:00.000000000,CREW-15,VEH-027
OUT-00204,2020-07-02 15:04:00.000000000,2020-07-02 15:52:00.000000000,CREW-20,VEH-038
OUT-00205,2020-07-03 14:02:00.000000000,2020-07-03 14:40:00.000000000,CREW-15,VEH-030
OUT-00206,2020-07-03 23:08:00.000000000,2020-07-04 00:04:00.000000000,CREW-19,VEH-017
OUT-00207,2020-07-04 16:06:00.000000000,2020-07-04 16:49:00.000000000,CREW-04,VEH-010
OUT-00208,2020-07-04 20:09:00.000000000,2020-07-04 20:40:00.000000000,CREW-10,VEH-017
OUT-00209,2020-07-05 07:13:00.000000000,2020-07-05 07:47:00.000000000,CREW-05,VEH-034
OUT-00210,2020-07-06 17:07:00.000000000,2020-07-06 17:23:00.000000000,CREW-13,VEH-043
OUT-00211,2020-07-07 17:12:00.000000000,2020-07-07 17:37:00.000000000,CREW-19,VEH-047
OUT-00212,2020-07-08 18:10:00.000000000,2020-07-08 18:47:00.000000000,CREW-16,VEH-031
OUT-00213,2020-07-08 19:12:00.000000000,2020-07-08 19:42:00.000000000,CREW-08,VEH-004
OUT-00214,2020-07-11 05:09:00.000000000,2020-07-11 05:27:00.000000000,CREW-03,VEH-032
OUT-00215,2020-07-14 15:04:00.000000000,2020-07-14 15:45:00.000000000,CREW-18,VEH-019
OUT-00216,2020-07-14 20:06:00.000000000,2020-07-14 20:25:00.000000000,CREW-18,VEH-028
OUT-00217,2020-07-15 18:11:00.000000000,2020-07-15 18:47:00.000000000,CREW-06,VEH-001
OUT-00218,2020-07-16 15:06:33.611184265,2020-07-16 15:20:09.359671220,CREW-12,VEH-026
OUT-00219,2020-07-18 09:15:00.000000000,2020-07-18 10:03:00.000000000,CREW-17,VEH-014
OUT-00220,2020-07-18 14:11:00.000000000,2020-07-18 15:10:00.000000000,CREW-09,VEH-026
OUT-00221,2020-07-18 16:10:00.000000000,2020-07-18 16:46:00.000000000,CREW-15,VEH-030
OUT-00222,2020-07-19 14:12:00.000000000,2020-07-19 14:43:00.000000000,CREW-04,VEH-001
OUT-00223,2020-07-19 16:09:00.000000000,2020-07-19 16:58:00.000000000,CREW-20,VEH-015
OUT-00224,2020-07-19 19:09:00.000000000,2020-07-19 19:45:00.000000000,CREW-14,VEH-026
OUT-00225,2020-07-24 10:13:00.000000000,2020-07-24 10:50:00.000000000,CREW-14,VEH-024
OUT-00226,2020-07-27 15:03:00.000000000,2020-07-27 16:02:00.000000000,CREW-14,VEH-007
OUT-00227,2020-07-28 04:04:00.000000000,2020-07-28 04:41:00.000000000,CREW-14,VEH-043
OUT-00228,2020-07-28 15:13:00.000000000,2020-07-28 16:12:00.000000000,CREW-18,VEH-038
OUT-00229,2020-07-28 15:04:00.000000000,2020-07-28 15:33:00.000000000,CREW-05,VEH-028
OUT-00230,2020-07-28 17:11:00.000000000,2020-07-28 18:04:00.000000000,CREW-17,VEH-039
OUT-00231,2020-07-30 14:07:00.000000000,2020-07-30 14:47:00.000000000,CREW-12,VEH-025
OUT-00232,2020-07-30 14:02:00.000000000,2020-07-30 14:29:00.000000000,CREW-20,VEH-025
OUT-00233,2020-08-01 18:05:00.000000000,2020-08-01 18:29:00.000000000,CREW-03,VEH-041
OUT-00234,2020-08-02 15:14:00.000000000,2020-08-02 15:46:00.000000000,CREW-15,VEH-036
OUT-00235,2020-08-02 15:07:00.000000000,2020-08-02 15:55:00.000000000,CREW-15,VEH-008
OUT-00236,2020-08-04 16:05:34.850167300,2020-08-04 16:31:13.909734362,CREW-19,VEH-042
OUT-00237,2020-08-05 13:10:00.000000000,2020-08-05 14:01:00.000000000,CREW-06,VEH-026
OUT-00238,2020-08-06 18:03:00.000000000,2020-08-06 19:02:00.000000000,CREW-06,VEH-037
OUT-00239,2020-08-08 15:10:00.000000000,2020-08-08 15:57:00.000000000,CREW-06,VEH-006
OUT-00240,2020-08-08 18:08:00.000000000,2020-08-08 18:26:00.000000000,CREW-11,VEH-030
OUT-00241,2020-08-08 18:09:00.000000000,2020-08-08 18:32:00.000000000,CREW-03,VEH-031
OUT-00242,2020-08-08 18:09:00.000000000,2020-08-08 19:00:00.000000000,CREW-04,VEH-024
OUT-00243,2020-08-08 20:07:00.000000000,2020-08-08 20:23:00.000000000,CREW-20,VEH-028
OUT-00244,2020-08-10 02:12:00.000000000,2020-08-10 02:30:00.000000000,CREW-15,VEH-006
OUT-00245,2020-08-11 15:07:00.000000000,2020-08-11 15:51:00.000000000,CREW-06,VEH-002
OUT-00246,2020-08-12 15:12:00.000000000,2020-08-12 15:34:00.000000000,CREW-19,VEH-045
OUT-00247,2020-08-12 15:13:00.000000000,2020-08-12 15:32:00.000000000,CREW-06,VEH-026
OUT-00248,2020-08-13 19:07:00.000000000,2020-08-13 19:25:00.000000000,CREW-19,VEH-020
OUT-00249,2020-08-14 20:02:00.000000000,2020-08-14 20:36:00.000000000,CREW-17,VEH-012
OUT-00250,2020-08-15 15:02:00.000000000,2020-08-15 15:42:00.000000000,CREW-14,VEH-038
OUT-00251,2020-08-15 18:06:00.000000000,2020-08-15 18:31:00.000000000,CREW-04,VEH-013
OUT-00252,2020-08-15 18:12:00.000000000,2020-08-15 18:29:00.000000000,CREW-01,VEH-006
OUT-00253,2020-08-18 16:03:00.000000000,2020-08-18 16:27:00.000000000,CREW-05,VEH-023
OUT-00254,2020-08-19 13:11:00.000000000,2020-08-19 14:09:00.000000000,CREW-02,VEH-013
OUT-00255,2020-08-19 14:09:00.000000000,2020-08-19 14:25:00.000000000,CREW-20,VEH-001
OUT-00256,2020-08-19 19:06:00.000000000,2020-08-19 19:29:00.000000000,CREW-17,VEH-009
OUT-00257,2020-08-22 13:11:00.669007045,2020-08-22 13:20:42.484354667,CREW-06,VEH-035
OUT-00258,2020-08-22 22:15:00.000000000,2020-08-22 23:00:00.000000000,CREW-17,VEH-005
OUT-00259,2020-08-23 01:15:00.000000000,2020-08-23 02:13:00.000000000,CREW-18,VEH-014
OUT-00260,2020-08-24 00:06:00.000000000,2020-08-24 00:31:00.000000000,CREW-09,VEH-034
OUT-00261,2020-08-24 17:13:00.000000000,2020-08-24 18:02:00.000000000,CREW-03,VEH-001
OUT-00262,2020-08-25 15:09:00.000000000,2020-08-25 15:45:00.000000000,CREW-08,VEH-011
OUT-00263,2020-08-25 16:10:00.000000000,2020-08-25 17:01:00.000000000,CREW-14,VEH-030
