fault_detected,service_restored,cause_code,affected_customers,feeder_id,transformer_id
2019-03-23 14:00:00,2019-03-23 14:55:00,equipment_failure,990,FDR-0009,overhead line
2019-03-26 16:00:00,2019-03-26 17:49:00,overload,659,FDR-0022,switch
2019-03-29 15:00:00,2019-03-29 20:13:00,equipment_failure,1393,FDR-0051,cable
2019-04-04 07:00:00,2019-04-04 11:27:00,animal_contact,191,FDR-0016,fuse
2019-04-13 19:00:00,2019-04-14 04:13:00,weather,1533,FDR-0019,cable
2019-04-14 17:00:00,2019-04-14 20:45:00,overload,427,FDR-0065,transformer
2019-04-15 18:00:00,2019-04-16 00:02:00,weather,2357,FDR-0023,switch
2019-04-23 19:00:00,2019-04-23 23:42:00,equipment_failure,100,FDR-0035,recloser
2019-04-29 18:00:00,2019-04-29 22:39:00,equipment_failure,1041,FDR-0056,recloser
2019-04-29 21:00:00,2019-04-30 00:21:00,equipment_failure,491,FDR-0032,switch
2019-05-03 16:00:00,2019-05-03 20:43:00,equipment_failure,232,FDR-0057,fuse
2019-05-06 05:00:00,2019-05-06 05:36:00,equipment_failure,189,FDR-0005,overhead line
2019-05-06 11:00:00,2019-05-06 13:39:00,equipment_failure,298,FDR-0043,cable
2019-05-08 13:00:00,2019-05-08 16:42:00,overload,189,FDR-0057,transformer
2019-05-08 17:00:00,2019-05-08 21:26:00,equipment_failure,130,FDR-0013,switch
2019-05-13 00:00:00,2019-05-13 01:27:00,equipment_failure,67,FDR-0014,transformer
2019-05-14 17:00:00,2019-05-14 21:01:00,equipment_failure,382,FDR-0003,fuse
2019-05-15 19:00:00,2019-05-16 02:15:00,weather,809,FDR-0031,transformer
2019-05-20 01:00:00,2019-05-20 04:46:00,equipment_failure,333,FDR-0024,recloser
2019-05-20 16:00:00,2019-05-20 20:40:00,weather,1500,FDR-0037,transformer
2019-05-22 17:00:00,2019-05-22 22:35:00,equipment_failure,478,FDR-0044,overhead line
2019-05-24 14:00:00,2019-05-24 16:04:00,overload,993,FDR-0059,switch
2019-05-25 15:00:00,2019-05-25 18:33:00,weather,1878,FDR-0063,transformer
2019-05-26 16:00:00,2019-05-27 00:54:00,weather,704,FDR-0034,overhead line
2019-05-28 14:00:00,2019-05-28 15:47:00,weather,879,FDR-0036,recloser
2019-06-10 08:00:00,2019-06-10 09:18:00,equipment_failure,32,FDR-0031,cable
2019-06-10 14:00:00,2019-06-10 14:46:00,equipment_failure,310,FDR-0001,recloser
2019-06-11 16:00:00,2019-06-11 22:46:00,vegetation,1823,FDR-0028,recloser
2019-06-15 17:00:00,2019-06-15 22:19:00,equipment_failure,243,FDR-0009,switch
2019-06-17 20:00:00,2019-06-18 01:01:00,vegetation,2100,FDR-0054,transformer
2019-06-18 13:00:00,2019-06-18 16:54:00,overload,1031,FDR-0033,transformer
2019-06-24 01:00:00,2019-06-24 05:25:00,equipment_failure,183,FDR-0063,recloser
2019-06-24 07:00:00,2019-06-24 11:01:00,equipment_failure,420,FDR-0005,overhead line
2019-06-26 15:00:00,2019-06-27 08:28:00,vegetation,2243,FDR-0015,recloser
2019-07-09 16:00:00,2019-07-09 20:58:00,weather,687,FDR-0030,switch
2019-07-09 16:00:00,2019-07-09 19:09:00,equipment_failure,750,FDR-0026,transformer
2019-07-13 08:00:00,2019-07-13 11:03:00,equipment_failure,63,FDR-0002,switch
2019-07-24 15:00:00,2019-07-25 04:16:00,weather,541,FDR-0017,recloser
2019-07-24 18:00:00,2019-07-24 22:36:00,overload,1018,FDR-0064,switch
2019-07-25 18:00:00,2019-07-25 19:23:00,equipment_failure,461,FDR-0012,transformer
2019-08-02 15:00:00,2019-08-02 20:04:00,weather,367,FDR-0021,recloser
2019-08-02 17:00:00,2019-08-02 23:28:00,overload,938,FDR-0033,cable
2019-08-02 17:00:00,2019-08-02 19:22:00,equipment_failure,632,FDR-0022,switch
2019-08-04 17:00:00,2019-08-04 20:59:00,overload,923,FDR-0064,recloser
2019-08-07 16:00:00,2019-08-07 22:33:00,equipment_failure,779,FDR-0046,recloser
2019-08-07 20:00:00,2019-08-08 04:09:00,weather,549,FDR-0038,fuse
2019-08-09 17:00:00,2019-08-09 22:26:00,overload,706,FDR-0004,recloser
2019-08-11 15:00:00,2019-08-11 20:27:00,equipment_failure,912,FDR-0012,overhead line
2019-08-13 18:00:00,2019-08-13 19:42:00,weather,921,FDR-0047,cable
2019-08-17 17:00:00,2019-08-18 00:36:00,overload,637,FDR-0024,overhead line
2019-08-20 16:00:00,2019-08-20 20:40:00,weather,1797,FDR-0048,transformer
2019-08-26 15:00:00,2019-08-26 22:08:00,animal_contact,555,FDR-0033,cable
2019-08-28 06:00:00,2019-08-28 09:33:00,equipment_failure,17,FDR-0017,recloser
2019-08-29 18:00:00,2019-08-29 20:32:00,equipment_failure,293,FDR-0033,fuse
2019-08-31 17:00:00,2019-08-31 23:01:00,equipment_failure,1050,FDR-0040,fuse
2019-09-07 23:00:00,2019-09-08 00:13:00,equipment_failure,150,FDR-0061,fuse
2019-09-10 18:00:00,2019-09-10 19:58:00,equipment_failure,939,FDR-0037,transformer
2019-09-11 17:00:00,2019-09-12 01:03:00,weather,505,FDR-0046,fuse
2019-09-11 18:00:00,2019-09-11 23:29:00,vegetation,613,FDR-0036,switch
2019-09-14 18:00:00,2019-09-14 22:45:00,weather,413,FDR-0047,fuse
2019-09-18 17:00:00,2019-09-18 21:55:00,overload,800,FDR-0040,overhead line
2019-09-28 17:00:00,2019-09-28 17:54:00,overload,362,FDR-0009,overhead line
2019-09-28 20:00:00,2019-09-29 03:46:00,vegetation,401,FDR-0016,recloser
2019-10-03 22:00:00,2019-10-03 23:39:00,animal_contact,391,FDR-0043,recloser
2019-10-08 07:00:00,2019-10-08 08:51:00,equipment_failure,272,FDR-0015,switch
2019-10-09 17:00:00,2019-10-09 21:06:00,equipment_failure,202,FDR-0001,recloser
2019-10-09 20:00:00,2019-10-09 21:40:00,equipment_failure,109,FDR-0019,overhead line
2019-10-10 14:00:00,2019-10-11 02:57:00,weather,44,FDR-0029,overhead line
2019-10-10 15:00:00,2019-10-10 16:36:00,equipment_failure,1671,FDR-0010,cable
2019-10-14 17:00:00,2019-10-15 06:51:00,animal_contact,300,FDR-0024,recloser
2019-10-15 17:00:00,2019-10-15 18:53:00,equipment_failure,1006,FDR-0038,transformer
2019-10-17 14:00:00,2019-10-18 07:01:00,weather,804,FDR-0004,cable
2019-10-22 00:00:00,2019-10-22 01:28:00,equipment_failure,148,FDR-0059,fuse
2019-10-26 22:00:00,2019-10-27 02:36:00,equipment_failure,17,FDR-0016,switch
2019-11-02 15:00:00,2019-11-02 19:24:00,equipment_failure,307,FDR-0001,transformer
2019-11-04 16:00:00,2019-11-04 18:35:00,equipment_failure,820,FDR-0037,cable
2019-11-07 16:00:00,2019-11-07 18:22:00,equipment_failure,1251,FDR-0048,cable
2019-11-08 15:00:00,2019-11-08 22:40:00,equipment_failure,497,FDR-0048,fuse
2019-11-10 01:00:00,2019-11-10 03:58:00,equipment_failure,22,FDR-0013,cable
2019-11-12 15:00:00,2019-11-12 18:45:00,equipment_failure,160,FDR-0017,overhead line
2019-11-13 02:00:00,2019-11-13 07:15:00,animal_contact,222,FDR-0059,fuse
2019-11-15 15:00:00,2019-11-15 23:15:00,vegetation,129,FDR-0015,fuse
2019-11-18 14:00:00,2019-11-18 16:16:00,overload,503,FDR-0033,overhead line
2019-11-20 13:00:00,2019-11-20 14:49:00,overload,41,FDR-0033,transformer
2019-11-22 13:00:00,2019-11-22 15:25:00,equipment_failure,356,FDR-0024,overhead line
2019-11-27 17:00:00,2019-11-28 00:11:00,overload,1346,FDR-0037,cable
2019-12-02 17:00:00,2019-12-02 23:28:00,overload,727,FDR-0003,cable
2019-12-06 14:00:00,2019-12-06 18:24:00,overload,530,FDR-0009,cable
2019-12-13 18:00:00,2019-12-13 23:07:00,weather,1493,FDR-0005,recloser
2019-12-17 16:00:00,2019-12-17 20:20:00,equipment_failure,367,FDR-0026,overhead line
2019-12-19 17:00:00,2019-12-20 00:22:00,weather,2312,FDR-0023,switch
2019-12-20 15:00:00,2019-12-20 16:01:00,equipment_failure,271,FDR-0021,transformer
2019-12-24 15:00:00,2019-12-24 21:43:00,overload,1645,FDR-0049,recloser
2019-12-27 15:00:00,2019-12-27 19:58:00,equipment_failure,349,FDR-0015,switch
2020-01-01 14:00:00,2020-01-01 23:21:00,weather,687,FDR-0031,fuse
2020-01-01 15:00:00,2020-01-01 20:54:00,equipment_failure,288,FDR-0042,cable
2020-01-01 19:00:00,2020-01-02 06:19:00,weather,1271,FDR-0035,overhead line
2020-01-01 19:00:00,2020-01-01 22:04:00,animal_contact,403,FDR-0025,overhead line
2020-01-03 15:00:00,2020-01-03 21:06:00,equipment_failure,1050,FDR-0040,recloser
2020-01-03 16:00:00,2020-01-03 19:42:00,equipment_failure,49,FDR-0043,overhead line
2020-01-04 07:00:00,2020-01-04 11:27:00,animal_contact,204,FDR-0016,fuse
2020-01-06 09:00:00,2020-01-06 11:18:00,equipment_failure,427,FDR-0059,fuse
2020-01-06 10:00:00,2020-01-06 11:23:00,animal_contact,259,FDR-0022,switch
2020-01-11 03:00:00,2020-01-11 04:16:00,animal_contact,190,FDR-0039,transformer
2020-01-11 15:00:00,2020-01-11 19:18:00,animal_contact,752,FDR-0033,recloser
2020-01-11 18:00:00,2020-01-12 00:13:00,animal_contact,1294,FDR-0008,switch
2020-01-11 22:00:00,2020-01-12 02:47:00,equipment_failure,417,FDR-0010,transformer
2020-01-13 19:00:00,2020-01-14 00:30:00,equipment_failure,35,FDR-0003,recloser
