transformer_id,feeder_id,substation_id,latitude,longitude,rated_kva,phase,primary_voltage_kv,secondary_voltage_v,age_years,manufacturer,status
XFMR-000072,FDR-0001,SUB-001,33.528177,-112.152732,25,B,12.47,480,35,Prolec,active
XFMR-000073,FDR-0001,SUB-001,33.528183,-112.152854,15,AB,12.47,120,28,ABB,active
XFMR-000074,FDR-0001,SUB-001,33.528135,-112.153031,333,AB,12.47,480,41,Siemens,active
XFMR-000075,FDR-0001,SUB-001,33.528168,-112.153126,25,ABC,12.47,480,45,GE,active
XFMR-000076,FDR-0001,SUB-001,33.528047,-112.153211,100,BC,12.47,480,34,ABB,active
XFMR-000077,FDR-0001,SUB-001,33.528158,-112.153393,37.5,C,12.47,240,5,Howard Industries,active
XFMR-000078,FDR-0001,SUB-001,33.528016,-112.153499,75,C,12.47,240,16,ABB,active
XFMR-000079,FDR-0001,SUB-001,33.527983,-112.153661,500,A,12.47,240,41,Siemens,active
XFMR-000080,FDR-0001,SUB-001,33.528183,-112.153753,500,BC,12.47,208,41,GE,active
XFMR-000081,FDR-0001,SUB-001,33.528134,-112.153931,500,C,12.47,208,38,ABB,active
XFMR-000082,FDR-0001,SUB-001,33.528134,-112.154059,167,A,12.47,120,24,GE,active
XFMR-000083,FDR-0001,SUB-001,33.528049,-112.154108,333,BC,12.47,480,30,Howard Industries,active
XFMR-000084,FDR-0001,SUB-001,33.528042,-112.154244,167,ABC,12.47,240,21,Howard Industries,active
XFMR-000085,FDR-0001,SUB-001,33.527978,-112.154437,167,A,12.47,208,6,Howard Industries,active
XFMR-000086,FDR-0001,SUB-001,33.528131,-112.154576,167,BC,12.47,240,24,GE,active
XFMR-000087,FDR-0001,SUB-001,33.528166,-112.15467,500,BC,12.47,120,41,Prolec,active
XFMR-000088,FDR-0001,SUB-001,33.52816,-112.154804,50,C,12.47,240,22,ABB,active
XFMR-000089,FDR-0001,SUB-001,33.528141,-112.154952,50,AC,12.47,480,9,Howard Industries,active
XFMR-000090,FDR-0001,SUB-001,33.528135,-112.155086,500,ABC,12.47,208,9,Prolec,active
XFMR-000091,FDR-0001,SUB-001,33.528058,-112.155128,500,AC,12.47,480,33,GE,failed
XFMR-000092,FDR-0001,SUB-001,33.527994,-112.15532,75,ABC,12.47,480,13,Eaton,active
XFMR-000093,FDR-0001,SUB-001,33.528142,-112.155464,15,BC,12.47,120,43,GE,active
XFMR-000094,FDR-0001,SUB-001,33.528189,-112.155546,25,B,12.47,240,45,Howard Industries,active
XFMR-000095,FDR-0001,SUB-001,33.528144,-112.15572,10,AB,12.47,208,44,Prolec,active
XFMR-000096,FDR-0001,SUB-001,33.528171,-112.155821,167,B,12.47,240,20,Siemens,active
XFMR-000097,FDR-0001,SUB-001,33.528146,-112.155974,167,ABC,12.47,208,25,Howard Industries,active
XFMR-000098,FDR-0001,SUB-001,33.52806,-112.156025,333,B,12.47,208,4,Prolec,active
XFMR-000099,FDR-0001,SUB-001,33.528,-112.156213,250,ABC,12.47,120,19,ABB,active
XFMR-000100,FDR-0001,SUB-001,33.52799,-112.156352,100,A,12.47,240,29,GE,active
XFMR-000101,FDR-0001,SUB-001,33.528168,-112.156466,250,C,12.47,240,25,ABB,active
XFMR-000102,FDR-0001,SUB-001,33.527966,-112.156633,500,C,12.47,240,9,ABB,active
XFMR-000103,FDR-0001,SUB-001,33.528046,-112.156682,167,AB,12.47,120,6,ABB,active
XFMR-000104,FDR-0001,SUB-001,33.52821,-112.15681,15,ABC,12.47,208,16,GE,active
XFMR-000105,FDR-0001,SUB-001,33.528151,-112.156998,15,A,12.47,480,39,Howard Industries,failed
XFMR-000106,FDR-0001,SUB-001,33.528015,-112.157098,25,C,12.47,480,1,Howard Industries,active
XFMR-000107,FDR-0001,SUB-001,33.52802,-112.157221,500,AC,12.47,120,34,GE,active
XFMR-000108,FDR-0001,SUB-001,33.528016,-112.157354,100,ABC,12.47,480,3,Prolec,active
XFMR-000109,FDR-0001,SUB-001,33.528,-112.157498,75,ABC,12.47,120,23,Eaton,active
XFMR-000110,FDR-0001,SUB-001,33.52819,-112.157601,25,A,12.47,208,35,GE,active
XFMR-000111,FDR-0001,SUB-001,33.528145,-112.157775,167,AC,12.47,240,9,ABB,active
XFMR-000112,FDR-0001,SUB-001,33.528057,-112.157827,50,B,12.47,120,13,ABB,active
XFMR-000113,FDR-0001,SUB-001,33.528158,-112.158018,250,AB,12.47,208,3,Prolec,active
XFMR-000114,FDR-0001,SUB-001,33.527999,-112.158142,500,C,12.47,208,8,GE,active
XFMR-000115,FDR-0001,SUB-001,33.528167,-112.158266,100,C,12.47,240,32,Prolec,active
XFMR-000116,FDR-0001,SUB-001,33.528219,-112.158342,15,AC,12.47,480,6,Siemens,active
XFMR-000117,FDR-0001,SUB-001,33.528209,-112.158481,75,A,12.47,120,21,Prolec,active
XFMR-000118,FDR-0001,SUB-001,33.528172,-112.158647,25,AC,12.47,480,23,Siemens,active
XFMR-000119,FDR-0001,SUB-001,33.528214,-112.158733,333,AB,12.47,208,41,ABB,active
XFMR-000120,FDR-0001,SUB-001,33.528191,-112.158885,250,ABC,12.47,240,2,Eaton,active
XFMR-000121,FDR-0001,SUB-001,33.528195,-112.15901,10,B,12.47,120,16,Prolec,active
XFMR-000122,FDR-0001,SUB-001,33.528001,-112.159168,333,B,12.47,480,24,GE,active
XFMR-000123,FDR-0001,SUB-001,33.527971,-112.159327,250,C,12.47,480,21,Prolec,active
XFMR-000124,FDR-0001,SUB-001,33.528059,-112.159367,25,AB,12.47,480,36,ABB,active
XFMR-000125,FDR-0001,SUB-001,33.528153,-112.159565,37.5,BC,12.47,208,45,Siemens,active
XFMR-000126,FDR-0001,SUB-001,33.527977,-112.159706,167,B,12.47,480,6,Prolec,active
XFMR-000127,FDR-0001,SUB-001,33.528226,-112.15975,15,BC,12.47,208,20,Eaton,active
XFMR-000128,FDR-0001,SUB-001,33.528056,-112.159884,75,BC,12.47,240,8,Eaton,active
XFMR-000129,FDR-0001,SUB-001,33.528151,-112.160082,10,C,12.47,208,30,Howard Industries,active
XFMR-000130,FDR-0001,SUB-001,33.528051,-112.160145,50,AB,12.47,480,34,Siemens,active
XFMR-000131,FDR-0001,SUB-001,33.528045,-112.16028,25,C,12.47,120,29,Siemens,active
XFMR-000132,FDR-0001,SUB-001,33.527997,-112.160456,25,AB,12.47,120,8,Howard Industries,active
XFMR-000133,FDR-0001,SUB-001,33.528143,-112.160603,37.5,C,12.47,208,6,GE,active
XFMR-000134,FDR-0001,SUB-001,33.528223,-112.160652,25,AC,12.47,208,40,Howard Industries,active
XFMR-000135,FDR-0001,SUB-001,33.528027,-112.160812,25,AC,12.47,208,37,ABB,active
XFMR-000136,FDR-0001,SUB-001,33.527966,-112.161002,500,ABC,12.47,208,42,Eaton,active
XFMR-000137,FDR-0001,SUB-001,33.528005,-112.161092,167,AC,12.47,208,42,GE,active
XFMR-000138,FDR-0001,SUB-001,33.528207,-112.161181,50,AB,12.47,120,45,ABB,active
XFMR-000139,FDR-0001,SUB-001,33.528169,-112.161349,37.5,C,12.47,240,21,Prolec,active
XFMR-000140,FDR-0001,SUB-001,33.528226,-112.16142,100,B,12.47,208,33,Howard Industries,active
XFMR-000141,FDR-0001,SUB-001,33.527987,-112.161623,50,AB,12.47,240,10,ABB,active
XFMR-000142,FDR-0001,SUB-001,33.528222,-112.161681,37.5,ABC,12.47,240,21,Howard Industries,active
XFMR-000143,FDR-0001,SUB-001,33.527982,-112.161885,167,BC,12.47,480,32,GE,active
XFMR-000144,FDR-0001,SUB-001,33.528136,-112.162024,250,AB,12.47,240,14,Howard Industries,active
XFMR-000145,FDR-0001,SUB-001,33.528132,-112.162156,333,ABC,12.47,480,19,Howard Industries,failed
XFMR-000146,FDR-0001,SUB-001,33.527974,-112.162279,50,AC,12.47,208,26,GE,active
XFMR-000147,FDR-0001,SUB-001,33.527968,-112.162413,75,BC,12.47,208,5,Siemens,active
XFMR-000148,FDR-0001,SUB-001,33.528203,-112.16247,333,AC,12.47,120,9,ABB,active
XFMR-000149,FDR-0001,SUB-001,33.528206,-112.162596,250,C,12.47,240,13,Howard Industries,active
XFMR-000150,FDR-0001,SUB-001,33.528013,-112.162754,10,B,12.47,208,31,Howard Industries,active
XFMR-000151,FDR-0001,SUB-001,33.528024,-112.162871,75,BC,12.47,208,11,Siemens,active
XFMR-000152,FDR-0001,SUB-001,33.528201,-112.162987,333,C,12.47,480,37,GE,active
XFMR-000153,FDR-0001,SUB-001,33.528129,-112.163187,500,A,12.47,480,38,GE,active
XFMR-000154,FDR-0001,SUB-001,33.528036,-112.163245,333,AB,12.47,208,42,Howard Industries,active
XFMR-000155,FDR-0001,SUB-001,33.528199,-112.163374,25,BC,12.47,480,10,Prolec,active
XFMR-000156,FDR-0001,SUB-001,33.52802,-112.163517,37.5,A,12.47,480,21,Siemens,active
XFMR-000157,FDR-0001,SUB-001,33.528196,-112.163634,250,ABC,12.47,480,4,Prolec,active
XFMR-000158,FDR-0001,SUB-001,33.528148,-112.163811,500,AB,12.47,480,21,Eaton,active
XFMR-000159,FDR-0001,SUB-001,33.52818,-112.163907,500,ABC,12.47,208,40,Siemens,active
XFMR-000160,FDR-0001,SUB-001,33.528152,-112.164064,37.5,C,12.47,208,14,Prolec,active
XFMR-000161,FDR-0001,SUB-001,33.528159,-112.164185,250,ABC,12.47,208,19,ABB,active
XFMR-000162,FDR-0001,SUB-001,33.528181,-112.164291,75,ABC,12.47,240,19,ABB,active
XFMR-000163,FDR-0001,SUB-001,33.528198,-112.164403,167,AC,12.47,208,31,Eaton,active
XFMR-000164,FDR-0001,SUB-001,33.528181,-112.164549,25,A,12.47,240,16,ABB,active
XFMR-000165,FDR-0001,SUB-001,33.528016,-112.164678,10,A,12.47,480,22,Prolec,active
XFMR-000166,FDR-0001,SUB-001,33.528031,-112.164791,10,BC,12.47,240,27,Prolec,active
XFMR-000167,FDR-0001,SUB-001,33.528215,-112.1649,500,B,12.47,208,21,GE,active
XFMR-000168,FDR-0001,SUB-001,33.528054,-112.165026,500,BC,12.47,240,35,Prolec,active
XFMR-000169,FDR-0001,SUB-001,33.528057,-112.165151,100,ABC,12.47,240,3,Siemens,active
XFMR-000170,FDR-0001,SUB-001,33.528146,-112.165355,10,A,12.47,208,37,Howard Industries,active
XFMR-000171,FDR-0001,SUB-001,33.528225,-112.165404,167,AC,12.47,480,9,Howard Industries,active
XFMR-000172,FDR-0001,SUB-001,33.527982,-112.165611,75,B,12.47,480,42,GE,active
XFMR-000173,FDR-0001,SUB-001,33.528128,-112.165757,50,BC,12.47,240,12,Howard Industries,active
XFMR-000174,FDR-0001,SUB-001,33.528217,-112.165798,250,C,12.47,120,26,Prolec,active
XFMR-000175,FDR-0001,SUB-001,33.528225,-112.165918,75,B,12.47,120,17,Siemens,active
XFMR-000176,FDR-0001,SUB-001,33.528202,-112.166069,50,BC,12.47,120,17,Prolec,active
XFMR-000177,FDR-0001,SUB-001,33.527987,-112.166249,167,C,12.47,240,26,Prolec,active
XFMR-000178,FDR-0001,SUB-001,33.528217,-112.166312,15,AC,12.47,208,24,Howard Industries,active
XFMR-000179,FDR-0001,SUB-001,33.528223,-112.166434,25,AB,12.47,208,27,Prolec,active
XFMR-000180,FDR-0001,SUB-001,33.52801,-112.166611,37.5,AC,12.47,120,34,Siemens,active
XFMR-000181,FDR-0001,SUB-001,33.527999,-112.166751,10,ABC,12.47,240,37,Howard Industries,active
XFMR-000182,FDR-0001,SUB-001,33.52816,-112.166882,15,AC,12.47,240,38,Siemens,active
XFMR-000183,FDR-0001,SUB-001,33.528014,-112.166993,167,B,12.47,480,30,Howard Industries,active
XFMR-000184,FDR-0001,SUB-001,33.528173,-112.167126,10,AB,12.47,208,1,Prolec,active
XFMR-000185,FDR-0001,SUB-001,33.528134,-112.167293,75,AC,12.47,120,35,ABB,active
XFMR-000186,FDR-0001,SUB-001,33.528134,-112.167422,10,C,12.47,480,12,Eaton,active
XFMR-000187,FDR-0001,SUB-001,33.528225,-112.16746,75,AB,12.47,480,25,Siemens,active
XFMR-000188,FDR-0001,SUB-001,33.528059,-112.16759,500,ABC,12.47,208,8,Eaton,active
XFMR-000189,FDR-0001,SUB-001,33.528002,-112.167775,37.5,ABC,12.47,120,2,GE,active
XFMR-000190,FDR-0001,SUB-001,33.528199,-112.167871,250,AB,12.47,240,16,Siemens,active
XFMR-000191,FDR-0001,SUB-001,33.527991,-112.168044,10,ABC,12.47,480,40,ABB,active
XFMR-000192,FDR-0001,SUB-001,33.52797,-112.168193,167,BC,12.47,120,16,Prolec,active
XFMR-000193,FDR-0001,SUB-001,33.528007,-112.168285,10,B,12.47,208,15,Prolec,active
XFMR-000194,FDR-0001,SUB-001,33.528185,-112.168399,37.5,C,12.47,240,43,Howard Industries,active
XFMR-000195,FDR-0001,SUB-001,33.527993,-112.168556,250,BC,12.47,240,41,Prolec,active
XFMR-000196,FDR-0001,SUB-001,33.528177,-112.168665,500,AC,12.47,480,34,GE,active
XFMR-000197,FDR-0001,SUB-001,33.528168,-112.168802,100,B,12.47,480,16,Eaton,active
XFMR-000198,FDR-0001,SUB-001,33.528198,-112.1689,10,BC,12.47,480,27,Howard Industries,active
XFMR-000199,FDR-0001,SUB-001,33.528166,-112.169061,37.5,C,12.47,120,29,GE,active
XFMR-000200,FDR-0001,SUB-001,33.528035,-112.169156,10,C,12.47,480,44,Howard Industries,active
XFMR-000201,FDR-0001,SUB-001,33.52805,-112.169269,333,AC,12.47,240,31,Eaton,active
XFMR-000202,FDR-0001,SUB-001,33.527996,-112.169452,37.5,B,12.47,120,31,Eaton,active
XFMR-000203,FDR-0001,SUB-001,33.528197,-112.169543,37.5,BC,12.47,208,19,Siemens,active
XFMR-000204,FDR-0001,SUB-001,33.528192,-112.169677,50,C,12.47,480,30,ABB,active
XFMR-000205,FDR-0001,SUB-001,33.528199,-112.169798,37.5,C,12.47,208,27,ABB,active
XFMR-000206,FDR-0001,SUB-001,33.527985,-112.169977,10,C,12.47,480,19,Eaton,active
XFMR-000207,FDR-0001,SUB-001,33.527986,-112.170105,167,BC,12.47,208,17,Siemens,active
XFMR-000208,FDR-0001,SUB-001,33.528191,-112.170192,167,B,12.47,208,11,Eaton,active
XFMR-000209,FDR-0001,SUB-001,33.528012,-112.170336,250,A,12.47,120,43,ABB,active
XFMR-000210,FDR-0001,SUB-001,33.528004,-112.170472,15,AC,12.47,240,1,Eaton,active
XFMR-000211,FDR-0001,SUB-001,33.528164,-112.170604,500,AB,12.47,120,1,Howard Industries,active
XFMR-000212,FDR-0001,SUB-001,33.528128,-112.170769,250,C,12.47,120,33,Prolec,active
XFMR-000213,FDR-0001,SUB-001,33.528044,-112.170818,15,A,12.47,240,16,Eaton,active
XFMR-000214,FDR-0001,SUB-001,33.528152,-112.171002,50,ABC,12.47,480,6,GE,active
XFMR-000215,FDR-0001,SUB-001,33.528009,-112.17111,37.5,C,12.47,120,42,Prolec,active
XFMR-000216,FDR-0001,SUB-001,33.528136,-112.171275,100,BC,12.47,480,4,Prolec,failed
XFMR-000217,FDR-0001,SUB-001,33.528144,-112.171395,100,AC,12.47,208,37,ABB,active
XFMR-000218,FDR-0001,SUB-001,33.528055,-112.171449,37.5,ABC,12.47,480,18,ABB,active
XFMR-000219,FDR-0001,SUB-001,33.528195,-112.171601,250,BC,12.47,120,12,GE,failed
XFMR-000220,FDR-0001,SUB-001,33.527984,-112.171777,100,A,12.47,208,11,Howard Industries,active
XFMR-000221,FDR-0001,SUB-001,33.52821,-112.171843,500,BC,12.47,208,25,Prolec,active
XFMR-000222,FDR-0001,SUB-001,33.528062,-112.171956,250,AC,12.47,208,4,ABB,active
XFMR-000223,FDR-0001,SUB-001,33.528211,-112.172099,333,ABC,12.47,480,21,ABB,active
XFMR-000224,FDR-0001,SUB-001,33.528205,-112.172233,167,B,12.47,208,36,Siemens,active
XFMR-000225,FDR-0001,SUB-001,33.528195,-112.172372,15,ABC,12.47,208,16,Prolec,active
XFMR-000226,FDR-0001,SUB-001,33.528154,-112.172542,500,B,12.47,480,21,GE,active
XFMR-000227,FDR-0001,SUB-001,33.528128,-112.172697,167,C,12.47,208,7,Eaton,active
XFMR-000228,FDR-0001,SUB-001,33.52817,-112.172783,15,A,12.47,120,23,Howard Industries,active
XFMR-000229,FDR-0001,SUB-001,33.528187,-112.172894,100,A,12.47,208,27,Siemens,active
XFMR-000230,FDR-0001,SUB-001,33.528035,-112.17301,333,BC,12.47,240,44,Siemens,active
XFMR-000231,FDR-0001,SUB-001,33.528154,-112.173184,167,B,12.47,120,11,Siemens,active
XFMR-000232,FDR-0001,SUB-001,33.527993,-112.17331,75,C,12.47,240,41,Siemens,active
XFMR-000233,FDR-0001,SUB-001,33.527983,-112.173449,25,C,12.47,120,26,GE,active
XFMR-000234,FDR-0001,SUB-001,33.528165,-112.173559,167,C,12.47,480,42,Howard Industries,active
XFMR-000235,FDR-0001,SUB-001,33.527995,-112.173693,167,C,12.47,240,26,GE,active
XFMR-000236,FDR-0001,SUB-001,33.528196,-112.173784,333,ABC,12.47,240,21,Siemens,active
XFMR-000237,FDR-0001,SUB-001,33.528206,-112.173904,15,BC,12.47,240,38,Howard Industries,active
XFMR-000238,FDR-0001,SUB-001,33.52804,-112.174034,167,AC,12.47,240,29,GE,active
XFMR-000239,FDR-0001,SUB-001,33.528134,-112.174232,500,AB,12.47,240,41,GE,active
XFMR-000240,FDR-0001,SUB-001,33.528193,-112.174302,100,A,12.47,480,39,Siemens,active
XFMR-000241,FDR-0001,SUB-001,33.52818,-112.174443,250,A,12.47,208,45,Howard Industries,active
XFMR-000242,FDR-0001,SUB-001,33.528054,-112.174533,37.5,AC,12.47,208,11,Prolec,active
XFMR-000243,FDR-0001,SUB-001,33.528183,-112.174697,75,ABC,12.47,480,7,ABB,active
XFMR-000244,FDR-0001,SUB-001,33.527985,-112.174859,167,C,12.47,480,30,Prolec,active
XFMR-000245,FDR-0001,SUB-001,33.528177,-112.17496,10,AB,12.47,120,19,Siemens,active
XFMR-000246,FDR-0001,SUB-001,33.527972,-112.17513,75,C,12.47,208,30,Eaton,active
XFMR-000247,FDR-0001,SUB-001,33.527998,-112.175232,167,AC,12.47,480,21,ABB,active
XFMR-000248,FDR-0001,SUB-001,33.528044,-112.175315,10,ABC,12.47,208,42,ABB,active
XFMR-000249,FDR-0001,SUB-001,33.527979,-112.175508,250,B,12.47,240,22,Howard Industries,active
XFMR-000250,FDR-0001,SUB-001,33.528173,-112.175606,500,B,12.47,240,41,Prolec,active
XFMR-000251,FDR-0001,SUB-001,33.527966,-112.175778,167,BC,12.47,480,25,ABB,active
XFMR-000252,FDR-0001,SUB-001,33.527984,-112.175889,333,A,12.47,240,24,GE,active
XFMR-000253,FDR-0001,SUB-001,33.528138,-112.176027,250,AC,12.47,208,39,Siemens,active
XFMR-000254,FDR-0001,SUB-001,33.528186,-112.176108,75,ABC,12.47,480,40,Eaton,active
XFMR-000255,FDR-0001,SUB-001,33.528198,-112.176224,333,BC,12.47,120,44,Eaton,active
XFMR-000256,FDR-0001,SUB-001,33.527987,-112.1764,25,C,12.47,240,33,Siemens,active
XFMR-000257,FDR-0001,SUB-001,33.528141,-112.176538,100,B,12.47,480,41,Howard Industries,active
XFMR-000258,FDR-0001,SUB-001,33.528028,-112.176616,250,B,12.47,480,19,Eaton,active
XFMR-000259,FDR-0001,SUB-001,33.528047,-112.176725,75,A,12.47,480,9,Eaton,active
XFMR-000260,FDR-0001,SUB-001,33.528223,-112.176841,100,AC,12.47,480,27,Prolec,active
XFMR-000261,FDR-0001,SUB-001,33.528012,-112.177017,333,A,12.47,240,19,ABB,active
XFMR-000262,FDR-0001,SUB-001,33.528017,-112.177141,167,BC,12.47,480,36,Howard Industries,active
XFMR-000263,FDR-0001,SUB-001,33.528138,-112.177312,250,ABC,12.47,120,29,Howard Industries,active
XFMR-000264,FDR-0001,SUB-001,33.528006,-112.177409,50,ABC,12.47,120,29,GE,active
XFMR-000265,FDR-0001,SUB-001,33.528209,-112.177498,15,ABC,12.47,240,14,Prolec,active
XFMR-000266,FDR-0001,SUB-001,33.528162,-112.177673,25,BC,12.47,240,14,Eaton,active
XFMR-000267,FDR-0001,SUB-001,33.528184,-112.17778,333,BC,12.47,240,21,Prolec,active
XFMR-000268,FDR-0001,SUB-001,33.52802,-112.177908,25,ABC,12.47,480,4,GE,active
