community_solar_id,feeder_id,substation_id,latitude,longitude,nameplate_dc_mw,nameplate_ac_mw,dc_ac_ratio,annual_degradation_rate,tilt_degrees,azimuth_degrees,subscriber_count,subscription_type,interconnection_date,interconnection_level,status
CS-0020,FDR-0045,SUB-011,33.295409,-112.073987,4.39,3.18,1.38,0.0044,23.6,199.6,362,fixed_bill,2021-09-01,Level 3,active
CS-0021,FDR-0053,SUB-012,33.43902,-112.056655,4.01,2.95,1.36,0.0044,21.8,194.5,203,fixed_bill,2024-05-01,Level 2,active
CS-0022,FDR-0054,SUB-013,33.409264,-111.952381,3.77,3.07,1.23,0.0056,21.2,181.5,353,capacity_block,2023-01-01,Level 3,active
CS-0023,FDR-0061,SUB-014,33.338277,-112.021935,1.55,1.15,1.35,0.0053,28.2,199.1,290,capacity_block,2022-01-01,Level 3,active
CS-0024,FDR-0063,SUB-014,33.361412,-111.999917,2.12,1.51,1.4,0.004,23.6,172.8,368,capacity_block,2020-01-01,Level 3,active
CS-0025,FDR-0064,SUB-014,33.361476,-112.065555,3.93,3.12,1.26,0.0055,20.2,190.5,359,capacity_block,2022-10-01,Level 3,active
CS-0026,FDR-0065,SUB-014,33.289168,-112.02184,1.47,1.14,1.29,0.005,27.4,180.1,202,capacity_block,2024-01-01,Level 2,active
CS-0027,FDR-0066,SUB-015,33.586078,-112.087827,2.21,1.81,1.22,0.0048,29.1,197.5,105,percentage_of_output,2023-08-01,Level 3,active
CS-0028,FDR-0068,SUB-015,33.503273,-112.143483,4.09,3.3,1.24,0.0047,22.2,173.0,370,capacity_block,2019-04-01,Level 2,active
CS-0029,FDR-0074,SUB-016,33.383214,-112.204051,3.27,2.5,1.31,0.0057,29.0,179.1,344,capacity_block,2020-08-01,Level 2,under_construction
CS-0030,FDR-0075,SUB-016,33.383168,-112.089435,1.48,1.06,1.39,0.0055,28.8,171.2,492,capacity_block,2021-10-01,Level 3,under_construction
CS-0031,FDR-0078,SUB-017,33.48083,-112.039254,1.68,1.33,1.26,0.005,20.5,173.5,467,fixed_bill,2021-09-01,Level 3,active
CS-0032,FDR-0079,SUB-017,33.448368,-111.949073,3.9,2.83,1.38,0.0049,27.3,173.9,360,percentage_of_output,2024-12-01,Level 3,active
CS-0033,FDR-0080,SUB-018,33.433933,-112.220935,2.41,1.73,1.39,0.0044,27.0,192.6,405,fixed_bill,2020-04-01,Level 2,active
CS-0034,FDR-0082,SUB-018,33.433948,-112.11383,1.48,1.17,1.27,0.0048,24.7,181.8,102,capacity_block,2019-06-01,Level 2,active
CS-0035,FDR-0084,SUB-018,33.433919,-112.25021,4.02,3.32,1.21,0.006,20.9,194.2,153,fixed_bill,2020-01-01,Level 3,active
CS-0036,FDR-0085,SUB-019,33.571614,-111.903926,4.63,3.4,1.36,0.0059,26.6,196.3,479,fixed_bill,2022-07-01,Level 2,active
CS-0037,FDR-0087,SUB-019,33.510072,-111.969799,2.42,1.95,1.24,0.005,29.2,175.0,490,percentage_of_output,2020-05-01,Level 3,under_construction
CS-0038,FDR-0088,SUB-020,33.361481,-112.109755,3.84,3.1,1.24,0.0058,28.6,181.9,158,percentage_of_output,2021-04-01,Level 3,active
CS-0039,FDR-0089,SUB-020,33.315665,-112.160834,4.4,3.44,1.28,0.0048,23.7,181.1,405,capacity_block,2021-10-01,Level 2,active
CS-0040,FDR-0100,SUB-023,33.526568,-112.021923,4.45,3.71,1.2,0.0047,20.6,186.5,367,fixed_bill,2023-06-01,Level 3,active
CS-0041,FDR-0101,SUB-023,33.614986,-112.064635,1.49,1.18,1.26,0.0058,26.4,189.0,214,capacity_block,2021-11-01,Level 3,active
CS-0042,FDR-0104,SUB-023,33.527797,-112.021851,3.53,2.8,1.26,0.0041,20.6,196.1,466,percentage_of_output,2022-06-01,Level 3,active
