battery_id,customer_id,transformer_id,feeder_id,substation_id,latitude,longitude,capacity_kwh,power_kw,chemistry,install_date,manufacturer,status
BATT-000031,CUST-0000846,XFMR-000132,FDR-0002,SUB-001,33.519058,-112.143004,240.3,68.9,LFP,2021-09-01,Generac,active
BATT-000032,CUST-0000856,XFMR-000135,FDR-0002,SUB-001,33.518078,-112.143634,16.7,7.4,NMC,2022-10-01,Tesla,active
BATT-000033,CUST-0000881,XFMR-000138,FDR-0002,SUB-001,33.517001,-112.14342,15.9,6.0,NMC,2021-01-01,Generac,active
BATT-000034,CUST-0000930,XFMR-000144,FDR-0002,SUB-001,33.515758,-112.143378,9.4,3.6,lithium-ion,2023-11-01,Generac,active
BATT-000035,CUST-0000938,XFMR-000146,FDR-0002,SUB-001,33.515455,-112.143942,17.0,7.0,NMC,2020-08-01,Generac,active
BATT-000036,CUST-0000981,XFMR-000152,FDR-0002,SUB-001,33.513815,-112.143807,12.4,5.2,lithium-ion,2020-08-01,Generac,active
BATT-000037,CUST-0001011,XFMR-000155,FDR-0002,SUB-001,33.512812,-112.143203,10.2,5.1,lithium-ion,2024-08-01,SunPower,active
BATT-000038,CUST-0001042,XFMR-000158,FDR-0002,SUB-001,33.512281,-112.143001,10.8,5.3,lithium-ion,2022-09-01,SunPower,active
BATT-000039,CUST-0001054,XFMR-000159,FDR-0002,SUB-001,33.511419,-112.143139,20.4,9.1,LFP,2022-12-01,SunPower,active
BATT-000040,CUST-0001100,XFMR-000167,FDR-0002,SUB-001,33.509621,-112.14373,10.2,4.2,NMC,2023-10-01,Generac,active
BATT-000041,CUST-0001122,XFMR-000172,FDR-0002,SUB-001,33.508541,-112.143714,15.2,6.3,NMC,2023-02-01,SolarEdge,inactive
BATT-000042,CUST-0001127,XFMR-000173,FDR-0002,SUB-001,33.508024,-112.14381,19.0,9.4,lithium-ion,2021-09-01,Enphase,active
BATT-000043,CUST-0001187,XFMR-000184,FDR-0002,SUB-001,33.504635,-112.143932,326.7,141.7,LFP,2022-08-01,Enphase,active
BATT-000044,CUST-0001208,XFMR-000187,FDR-0002,SUB-001,33.504213,-112.143125,21.0,8.6,LFP,2020-05-01,BYD,active
BATT-000045,CUST-0001210,XFMR-000187,FDR-0002,SUB-001,33.50445,-112.143579,9.1,4.1,lithium-ion,2020-05-01,Enphase,active
BATT-000046,CUST-0001214,XFMR-000188,FDR-0002,SUB-001,33.503518,-112.143813,10.4,3.4,LFP,2024-10-01,Enphase,active
BATT-000047,CUST-0001228,XFMR-000192,FDR-0002,SUB-001,33.502497,-112.143695,55.6,19.5,lithium-ion,2022-09-01,SunPower,active
BATT-000048,CUST-0001254,XFMR-000197,FDR-0002,SUB-001,33.501602,-112.143047,21.9,10.7,NMC,2023-09-01,SolarEdge,active
BATT-000049,CUST-0001261,XFMR-000198,FDR-0002,SUB-001,33.500731,-112.143197,17.5,5.4,NMC,2023-05-01,SolarEdge,active
BATT-000050,CUST-0001262,XFMR-000198,FDR-0002,SUB-001,33.500722,-112.143765,13.2,4.1,LFP,2021-10-01,Tesla,active
BATT-000051,CUST-0001271,XFMR-000200,FDR-0002,SUB-001,33.500491,-112.143203,9.3,4.3,lithium-ion,2021-09-01,SunPower,active
BATT-000052,CUST-0001275,XFMR-000201,FDR-0002,SUB-001,33.500667,-112.143622,13.4,5.2,NMC,2024-10-01,SunPower,active
BATT-000053,CUST-0001279,XFMR-000201,FDR-0002,SUB-001,33.499958,-112.143053,17.3,6.5,NMC,2020-12-01,Tesla,active
BATT-000054,CUST-0001281,XFMR-000202,FDR-0002,SUB-001,33.499919,-112.143564,132.4,55.2,lithium-ion,2024-12-01,Generac,active
BATT-000055,CUST-0001354,XFMR-000214,FDR-0002,SUB-001,33.496517,-112.143511,9.8,4.5,NMC,2020-10-01,Tesla,active
BATT-000056,CUST-0001378,XFMR-000217,FDR-0002,SUB-001,33.495944,-112.143665,443.6,125.5,LFP,2023-09-01,SolarEdge,active
BATT-000057,CUST-0001548,XFMR-000241,FDR-0002,SUB-001,33.489159,-112.142969,14.6,5.1,lithium-ion,2020-05-01,SolarEdge,active
BATT-000058,CUST-0001597,XFMR-000249,FDR-0002,SUB-001,33.486871,-112.143782,56.7,24.6,NMC,2021-09-01,BYD,active
BATT-000059,CUST-0001633,XFMR-000255,FDR-0002,SUB-001,33.485796,-112.143242,10.5,4.1,NMC,2021-01-01,BYD,active
BATT-000060,CUST-0001638,XFMR-000256,FDR-0002,SUB-001,33.485032,-112.143249,13.0,6.5,NMC,2020-04-01,BYD,active
BATT-000061,CUST-0001640,XFMR-000257,FDR-0002,SUB-001,33.485474,-112.143221,18.5,5.9,lithium-ion,2022-02-01,BYD,active
BATT-000062,CUST-0001662,XFMR-000262,FDR-0002,SUB-001,33.483594,-112.143527,10.4,3.8,lithium-ion,2023-08-01,BYD,active
BATT-000063,CUST-0001674,XFMR-000264,FDR-0002,SUB-001,33.483226,-112.143602,216.6,69.4,NMC,2023-06-01,Generac,active
BATT-000064,CUST-0001676,XFMR-000264,FDR-0002,SUB-001,33.48291,-112.143138,18.9,7.8,NMC,2020-06-01,SolarEdge,active
BATT-000065,CUST-0001708,XFMR-000269,FDR-0002,SUB-001,33.482065,-112.143213,19.8,7.3,NMC,2020-07-01,BYD,active
BATT-000066,CUST-0001770,XFMR-000277,FDR-0002,SUB-001,33.47986,-112.143642,12.4,4.8,lithium-ion,2023-04-01,Enphase,active
BATT-000067,CUST-0001792,XFMR-000279,FDR-0002,SUB-001,33.478829,-112.143697,16.6,5.1,NMC,2023-03-01,Enphase,active
BATT-000068,CUST-0001860,XFMR-000291,FDR-0002,SUB-001,33.475922,-112.14313,10.6,3.3,lithium-ion,2024-03-01,SolarEdge,active
BATT-000069,CUST-0001866,XFMR-000292,FDR-0002,SUB-001,33.475663,-112.143716,19.7,7.1,LFP,2024-05-01,SolarEdge,active
BATT-000070,CUST-0001868,XFMR-000292,FDR-0002,SUB-001,33.475539,-112.143704,14.7,5.9,NMC,2022-12-01,Generac,active
BATT-000071,CUST-0001927,XFMR-000303,FDR-0002,SUB-001,33.472471,-112.143197,117.3,51.9,LFP,2020-12-01,Enphase,active
BATT-000072,CUST-0001967,XFMR-000307,FDR-0002,SUB-001,33.471605,-112.1433,10.4,5.2,LFP,2024-03-01,SolarEdge,active
BATT-000073,CUST-0002025,XFMR-000316,FDR-0002,SUB-001,33.469136,-112.143377,13.1,5.8,lithium-ion,2021-05-01,BYD,active
BATT-000074,CUST-0002040,XFMR-000319,FDR-0002,SUB-001,33.468026,-112.143762,12.6,5.4,lithium-ion,2020-08-01,Enphase,active
BATT-000075,CUST-0002075,XFMR-000328,FDR-0002,SUB-001,33.465937,-112.143135,12.7,5.5,LFP,2020-07-01,SolarEdge,active
BATT-000076,CUST-0002077,XFMR-000328,FDR-0002,SUB-001,33.46569,-112.143098,21.6,10.2,LFP,2024-10-01,Generac,active
BATT-000077,CUST-0002107,XFMR-000332,FDR-0002,SUB-001,33.46495,-112.143255,54.4,19.2,lithium-ion,2020-05-01,Generac,active
BATT-000078,CUST-0002112,XFMR-000333,FDR-0002,SUB-001,33.464405,-112.143714,285.1,99.5,lithium-ion,2024-07-01,Tesla,active
BATT-000079,CUST-0002123,XFMR-000334,FDR-0002,SUB-001,33.464186,-112.143285,10.8,4.3,LFP,2023-12-01,Generac,active
BATT-000080,CUST-0002129,XFMR-000335,FDR-0002,SUB-001,33.464004,-112.143013,20.8,8.4,lithium-ion,2023-09-01,SolarEdge,active
BATT-000081,CUST-0002161,XFMR-000338,FDR-0002,SUB-001,33.46297,-112.143369,19.3,7.0,NMC,2021-09-01,Enphase,active
BATT-000082,CUST-0002189,XFMR-000343,FDR-0002,SUB-001,33.462081,-112.143129,13.9,6.4,LFP,2024-07-01,Generac,active
BATT-000083,CUST-0002261,XFMR-000352,FDR-0002,SUB-001,33.459589,-112.143681,16.8,5.6,lithium-ion,2021-10-01,Generac,active
BATT-000084,CUST-0002286,XFMR-000356,FDR-0002,SUB-001,33.458637,-112.14378,13.8,5.9,LFP,2024-10-01,Tesla,active
BATT-000085,CUST-0002310,XFMR-000360,FDR-0002,SUB-001,33.457551,-112.143115,14.5,7.0,lithium-ion,2022-02-01,SunPower,active
BATT-000086,CUST-0002355,XFMR-000368,FDR-0002,SUB-001,33.4553,-112.1436,379.0,157.1,lithium-ion,2024-06-01,SunPower,active
BATT-000087,CUST-0002376,XFMR-000373,FDR-0002,SUB-001,33.453531,-112.143299,10.8,4.2,NMC,2020-09-01,Enphase,active
BATT-000088,CUST-0002400,XFMR-000376,FDR-0002,SUB-001,33.452611,-112.143815,20.8,9.0,NMC,2021-07-01,BYD,active
BATT-000089,CUST-0002404,XFMR-000378,FDR-0002,SUB-001,33.452622,-112.143035,15.3,7.3,lithium-ion,2023-01-01,SolarEdge,active
BATT-000090,CUST-0002420,XFMR-000383,FDR-0002,SUB-001,33.451338,-112.143988,9.6,4.0,lithium-ion,2023-11-01,Tesla,active
BATT-000091,CUST-0002427,XFMR-000385,FDR-0002,SUB-001,33.4503,-112.143192,19.8,6.5,LFP,2022-01-01,Generac,active
BATT-000092,CUST-0002488,XFMR-000394,FDR-0002,SUB-001,33.448371,-112.14321,16.7,6.0,NMC,2021-01-01,Enphase,active
BATT-000093,CUST-0002618,XFMR-000412,FDR-0002,SUB-001,33.443398,-112.143344,13.2,5.6,NMC,2020-03-01,SolarEdge,active
BATT-000094,CUST-0002623,XFMR-000412,FDR-0002,SUB-001,33.443376,-112.143787,9.8,3.3,LFP,2020-02-01,Tesla,inactive
BATT-000095,CUST-0002638,XFMR-000415,FDR-0002,SUB-001,33.44237,-112.143738,10.6,4.5,lithium-ion,2020-10-01,Generac,active
BATT-000096,CUST-0002650,XFMR-000417,FDR-0002,SUB-001,33.441704,-112.143593,12.6,6.2,lithium-ion,2023-09-01,BYD,active
BATT-000097,CUST-0002719,XFMR-000426,FDR-0002,SUB-001,33.439667,-112.143147,19.9,6.9,LFP,2021-11-01,Tesla,active
BATT-000098,CUST-0002756,XFMR-000430,FDR-0002,SUB-001,33.437988,-112.143563,14.7,4.9,LFP,2023-03-01,Enphase,active
BATT-000099,CUST-0002762,XFMR-000431,FDR-0002,SUB-001,33.438427,-112.143723,18.9,8.2,LFP,2023-04-01,SolarEdge,active
BATT-000100,CUST-0002785,XFMR-000434,FDR-0002,SUB-001,33.437213,-112.142997,14.5,5.9,LFP,2022-03-01,BYD,active
BATT-000101,CUST-0002863,XFMR-000448,FDR-0002,SUB-001,33.433763,-112.14316,10.6,3.6,lithium-ion,2021-02-01,BYD,active
BATT-000102,CUST-0002882,XFMR-000451,FDR-0002,SUB-001,33.432636,-112.143556,46.1,21.2,lithium-ion,2022-07-01,Enphase,active
BATT-000103,CUST-0002891,XFMR-000454,FDR-0002,SUB-001,33.431897,-112.143944,10.3,5.0,lithium-ion,2020-04-01,SolarEdge,active
BATT-000104,CUST-0002983,XFMR-000468,FDR-0002,SUB-001,33.428361,-112.143196,20.9,10.2,NMC,2024-08-01,BYD,active
BATT-000105,CUST-0002997,XFMR-000470,FDR-0002,SUB-001,33.427391,-112.143553,17.1,7.1,lithium-ion,2024-07-01,Enphase,active
BATT-000106,CUST-0003085,XFMR-000485,FDR-0003,SUB-001,33.528253,-112.14268,16.1,6.9,LFP,2020-07-01,BYD,active
BATT-000107,CUST-0003091,XFMR-000485,FDR-0003,SUB-001,33.527807,-112.143098,9.6,3.5,NMC,2021-08-01,Generac,active
BATT-000108,CUST-0003094,XFMR-000485,FDR-0003,SUB-001,33.52778,-112.143372,172.4,76.9,lithium-ion,2021-06-01,BYD,active
BATT-000109,CUST-0003128,XFMR-000491,FDR-0003,SUB-001,33.528331,-112.141273,14.6,6.3,NMC,2020-11-01,SunPower,active
BATT-000110,CUST-0003145,XFMR-000493,FDR-0003,SUB-001,33.527988,-112.140453,9.4,4.0,LFP,2022-03-01,Enphase,active
BATT-000111,CUST-0003184,XFMR-000497,FDR-0003,SUB-001,33.527925,-112.139476,9.9,4.9,LFP,2023-05-01,Generac,active
BATT-000112,CUST-0003244,XFMR-000505,FDR-0003,SUB-001,33.52832,-112.137487,21.3,9.4,lithium-ion,2021-07-01,Generac,active
BATT-000113,CUST-0003247,XFMR-000505,FDR-0003,SUB-001,33.528153,-112.137054,9.9,4.8,LFP,2022-03-01,Enphase,active
BATT-000114,CUST-0003288,XFMR-000512,FDR-0003,SUB-001,33.527915,-112.135552,18.1,6.1,NMC,2022-07-01,Tesla,active
BATT-000115,CUST-0003333,XFMR-000517,FDR-0003,SUB-001,33.528345,-112.133657,13.0,6.3,lithium-ion,2024-05-01,Enphase,active
BATT-000116,CUST-0003339,XFMR-000518,FDR-0003,SUB-001,33.527848,-112.133969,17.2,7.5,NMC,2022-04-01,SolarEdge,active
BATT-000117,CUST-0003369,XFMR-000523,FDR-0003,SUB-001,33.5277,-112.132965,16.4,8.2,NMC,2021-12-01,BYD,active
BATT-000118,CUST-0003382,XFMR-000525,FDR-0003,SUB-001,33.527953,-112.131795,300.2,98.1,lithium-ion,2021-09-01,Enphase,active
BATT-000119,CUST-0003523,XFMR-000547,FDR-0003,SUB-001,33.52833,-112.125763,14.6,6.1,NMC,2020-09-01,BYD,active
BATT-000120,CUST-0003599,XFMR-000559,FDR-0003,SUB-001,33.527698,-112.122855,84.1,41.7,lithium-ion,2024-08-01,SolarEdge,active
BATT-000121,CUST-0003638,XFMR-000565,FDR-0003,SUB-001,33.528324,-112.120586,12.9,4.5,lithium-ion,2023-10-01,Generac,active
BATT-000122,CUST-0003706,XFMR-000576,FDR-0003,SUB-001,33.528444,-112.117387,19.9,8.2,LFP,2021-01-01,Generac,inactive
BATT-000123,CUST-0003712,XFMR-000577,FDR-0003,SUB-001,33.528296,-112.117842,9.6,3.8,LFP,2024-12-01,Enphase,active
BATT-000124,CUST-0003775,XFMR-000585,FDR-0003,SUB-001,33.528304,-112.114851,10.5,4.2,NMC,2024-05-01,SunPower,active
BATT-000125,CUST-0003779,XFMR-000585,FDR-0003,SUB-001,33.527785,-112.115491,17.0,5.6,NMC,2022-06-01,SunPower,active
BATT-000126,CUST-0003858,XFMR-000597,FDR-0003,SUB-001,33.527858,-112.111653,18.4,6.7,NMC,2020-01-01,BYD,active
BATT-000127,CUST-0003881,XFMR-000604,FDR-0003,SUB-001,33.528261,-112.110097,205.6,101.4,lithium-ion,2023-05-01,BYD,active
BATT-000128,CUST-0003926,XFMR-000611,FDR-0003,SUB-001,33.528015,-112.108069,26.1,8.6,NMC,2020-04-01,SolarEdge,active
BATT-000129,CUST-0003968,XFMR-000618,FDR-0003,SUB-001,33.527835,-112.105893,19.1,7.3,lithium-ion,2020-05-01,Tesla,active
BATT-000130,CUST-0003987,XFMR-000620,FDR-0003,SUB-001,33.528529,-112.10521,18.6,8.2,NMC,2023-05-01,Generac,active
BATT-000131,CUST-0004029,XFMR-000626,FDR-0003,SUB-001,33.528294,-112.103743,9.8,3.5,LFP,2020-04-01,SunPower,active
BATT-000132,CUST-0004039,XFMR-000627,FDR-0003,SUB-001,33.528534,-112.10385,18.8,7.3,lithium-ion,2021-08-01,Enphase,active
BATT-000133,CUST-0004110,XFMR-000637,FDR-0003,SUB-001,33.52791,-112.101133,20.5,6.8,LFP,2020-08-01,SunPower,active
BATT-000134,CUST-0004179,XFMR-000648,FDR-0003,SUB-001,33.528251,-112.097603,9.8,3.9,LFP,2022-09-01,SunPower,active
BATT-000135,CUST-0004192,XFMR-000649,FDR-0003,SUB-001,33.528188,-112.097819,81.7,31.2,NMC,2021-06-01,Enphase,active
BATT-000136,CUST-0004263,XFMR-000658,FDR-0003,SUB-001,33.528211,-112.095096,17.0,6.8,lithium-ion,2021-08-01,Enphase,active
BATT-000137,CUST-0004283,XFMR-000661,FDR-0003,SUB-001,33.52845,-112.093925,19.9,8.5,NMC,2023-08-01,BYD,active
BATT-000138,CUST-0004295,XFMR-000662,FDR-0003,SUB-001,33.528174,-112.093847,14.1,7.0,lithium-ion,2022-06-01,Generac,inactive
BATT-000139,CUST-0004296,XFMR-000662,FDR-0003,SUB-001,33.528354,-112.093828,16.6,8.0,LFP,2020-03-01,SunPower,active
BATT-000140,CUST-0004298,XFMR-000663,FDR-0003,SUB-001,33.528326,-112.093922,12.7,5.8,LFP,2021-10-01,Generac,active
BATT-000141,CUST-0004345,XFMR-000672,FDR-0003,SUB-001,33.528269,-112.090832,18.2,8.7,NMC,2023-01-01,Tesla,active
BATT-000142,CUST-0004371,XFMR-000676,FDR-0003,SUB-001,33.528383,-112.089955,18.9,7.9,LFP,2021-12-01,BYD,active
BATT-000143,CUST-0004447,XFMR-000687,FDR-0003,SUB-001,33.52798,-112.087575,14.6,5.7,LFP,2021-06-01,Generac,active
BATT-000144,CUST-0004466,XFMR-000692,FDR-0003,SUB-001,33.527743,-112.085439,14.1,4.6,NMC,2020-09-01,SolarEdge,active
BATT-000145,CUST-0004489,XFMR-000694,FDR-0003,SUB-001,33.528277,-112.085145,52.8,24.9,NMC,2022-08-01,SunPower,active
BATT-000146,CUST-0004498,XFMR-000695,FDR-0003,SUB-001,33.527791,-112.084853,10.0,4.9,lithium-ion,2020-07-01,SolarEdge,active
BATT-000147,CUST-0004509,XFMR-000695,FDR-0003,SUB-001,33.527751,-112.085102,19.0,5.7,LFP,2024-02-01,Generac,active
BATT-000148,CUST-0004512,XFMR-000696,FDR-0003,SUB-001,33.528215,-112.084591,16.7,7.9,LFP,2022-09-01,SunPower,active
BATT-000149,CUST-0004524,XFMR-000699,FDR-0003,SUB-001,33.528186,-112.083366,42.1,16.5,LFP,2021-11-01,SunPower,active
BATT-000150,CUST-0004525,XFMR-000699,FDR-0003,SUB-001,33.527885,-112.083917,15.2,4.6,lithium-ion,2022-09-01,Tesla,active
BATT-000151,CUST-0004565,XFMR-000706,FDR-0003,SUB-001,33.528278,-112.081677,14.8,6.3,LFP,2023-04-01,Enphase,active
BATT-000152,CUST-0004592,XFMR-000710,FDR-0003,SUB-001,33.528404,-112.080433,14.7,6.4,LFP,2022-01-01,BYD,active
BATT-000153,CUST-0004612,XFMR-000713,FDR-0003,SUB-001,33.527826,-112.08029,13.3,5.8,NMC,2020-11-01,Enphase,active
BATT-000154,CUST-0004683,XFMR-000721,FDR-0003,SUB-001,33.527658,-112.077296,13.6,4.5,lithium-ion,2021-03-01,Tesla,active
BATT-000155,CUST-0004685,XFMR-000721,FDR-0003,SUB-001,33.527659,-112.077258,12.5,6.2,NMC,2024-04-01,Generac,active
BATT-000156,CUST-0004697,XFMR-000722,FDR-0003,SUB-001,33.527835,-112.077318,14.6,5.1,lithium-ion,2022-07-01,Tesla,active
BATT-000157,CUST-0004729,XFMR-000728,FDR-0003,SUB-001,33.528438,-112.075294,15.9,7.1,LFP,2023-06-01,Enphase,active
BATT-000158,CUST-0004737,XFMR-000729,FDR-0003,SUB-001,33.528153,-112.075371,10.4,3.2,LFP,2024-03-01,BYD,active
BATT-000159,CUST-0004740,XFMR-000729,FDR-0003,SUB-001,33.527841,-112.075973,21.4,8.3,NMC,2022-07-01,BYD,active
BATT-000160,CUST-0004804,XFMR-000739,FDR-0003,SUB-001,33.527773,-112.073024,10.1,4.8,NMC,2021-05-01,SunPower,active
BATT-000161,CUST-0004942,XFMR-000757,FDR-0003,SUB-001,33.52795,-112.067845,13.6,6.3,LFP,2020-04-01,BYD,active
BATT-000162,CUST-0004950,XFMR-000758,FDR-0003,SUB-001,33.527943,-112.067615,9.0,4.4,LFP,2020-04-01,Enphase,active
BATT-000163,CUST-0004966,XFMR-000761,FDR-0003,SUB-001,33.528164,-112.066769,11.0,4.3,NMC,2022-11-01,SolarEdge,active
BATT-000164,CUST-0004968,XFMR-000761,FDR-0003,SUB-001,33.527827,-112.066963,17.3,7.6,LFP,2023-12-01,SolarEdge,active
BATT-000165,CUST-0004979,XFMR-000762,FDR-0003,SUB-001,33.528263,-112.066827,17.2,6.5,LFP,2022-10-01,Tesla,active
BATT-000166,CUST-0004987,XFMR-000763,FDR-0003,SUB-001,33.528008,-112.066399,21.1,8.9,lithium-ion,2022-09-01,Tesla,active
BATT-000167,CUST-0004997,XFMR-000766,FDR-0003,SUB-001,33.52823,-112.065157,10.8,3.4,LFP,2021-12-01,Generac,active
BATT-000168,CUST-0005004,XFMR-000767,FDR-0003,SUB-001,33.527846,-112.064548,16.1,7.7,lithium-ion,2020-11-01,SolarEdge,active
BATT-000169,CUST-0005049,XFMR-000775,FDR-0003,SUB-001,33.527989,-112.062482,11.0,5.1,LFP,2023-03-01,SolarEdge,active
BATT-000170,CUST-0005097,XFMR-000783,FDR-0003,SUB-001,33.528369,-112.060398,15.8,7.7,LFP,2021-12-01,SolarEdge,active
BATT-000171,CUST-0005101,XFMR-000783,FDR-0003,SUB-001,33.528326,-112.06007,14.8,6.7,lithium-ion,2024-11-01,Enphase,active
BATT-000172,CUST-0005134,XFMR-000790,FDR-0003,SUB-001,33.527678,-112.058847,19.3,9.1,LFP,2024-01-01,Enphase,active
BATT-000173,CUST-0005138,XFMR-000790,FDR-0003,SUB-001,33.528335,-112.058658,88.4,26.6,NMC,2021-04-01,SolarEdge,active
BATT-000174,CUST-0005178,XFMR-000797,FDR-0003,SUB-001,33.528153,-112.056357,17.3,7.2,NMC,2023-09-01,SolarEdge,active
BATT-000175,CUST-0005220,XFMR-000802,FDR-0003,SUB-001,33.528475,-112.055173,18.7,6.9,LFP,2024-01-01,SunPower,active
BATT-000176,CUST-0005241,XFMR-000804,FDR-0003,SUB-001,33.527764,-112.054631,17.3,5.4,lithium-ion,2022-08-01,Tesla,active
BATT-000177,CUST-0005244,XFMR-000805,FDR-0003,SUB-001,33.528251,-112.054988,10.5,4.7,LFP,2021-04-01,SunPower,active
BATT-000178,CUST-0005248,XFMR-000806,FDR-0003,SUB-001,33.528217,-112.054533,469.1,122.8,lithium-ion,2023-03-01,Enphase,active
BATT-000179,CUST-0005301,XFMR-000812,FDR-0003,SUB-001,33.527907,-112.052129,303.4,83.6,NMC,2024-07-01,Enphase,active
BATT-000180,CUST-0005324,XFMR-000817,FDR-0003,SUB-001,33.52792,-112.051262,14.4,6.2,NMC,2021-08-01,SolarEdge,active
BATT-000181,CUST-0005325,XFMR-000817,FDR-0003,SUB-001,33.527868,-112.050774,26.8,9.1,lithium-ion,2021-07-01,BYD,active
BATT-000182,CUST-0005344,XFMR-000819,FDR-0003,SUB-001,33.528032,-112.050639,15.9,7.1,NMC,2024-07-01,SolarEdge,active
BATT-000183,CUST-0005447,XFMR-000836,FDR-0004,SUB-001,33.527767,-112.144062,19.7,7.8,LFP,2020-06-01,Generac,active
BATT-000184,CUST-0005490,XFMR-000843,FDR-0004,SUB-001,33.527719,-112.147989,10.3,4.6,lithium-ion,2023-02-01,SunPower,active
BATT-000185,CUST-0005507,XFMR-000844,FDR-0004,SUB-001,33.527757,-112.148233,9.5,4.0,NMC,2023-04-01,Tesla,active
BATT-000186,CUST-0005524,XFMR-000846,FDR-0004,SUB-001,33.52782,-112.149394,9.7,4.6,LFP,2023-09-01,Tesla,active
BATT-000187,CUST-0005554,XFMR-000850,FDR-0004,SUB-001,33.528462,-112.152049,331.7,84.4,LFP,2024-01-01,SolarEdge,active
