solar_id,customer_id,transformer_id,feeder_id,substation_id,latitude,longitude,capacity_kw,panel_type,azimuth_deg,tilt_deg,install_date,inverter_type,status
SOL-000021,CUST-0000185,XFMR-000023,FDR-0001,SUB-001,33.54227,-112.143458,317.2,thin-film,208,18,2020-03-01,string,active
SOL-000022,CUST-0000190,XFMR-000024,FDR-0001,SUB-001,33.542485,-112.143359,3.6,polycrystalline,202,35,2017-08-01,hybrid,active
SOL-000023,CUST-0000205,XFMR-000026,FDR-0001,SUB-001,33.544425,-112.143677,11.9,polycrystalline,161,27,2020-03-01,hybrid,active
SOL-000024,CUST-0000206,XFMR-000026,FDR-0001,SUB-001,33.54407,-112.143624,316.7,polycrystalline,203,18,2018-10-01,micro,active
SOL-000025,CUST-0000208,XFMR-000027,FDR-0001,SUB-001,33.545025,-112.143798,11.3,thin-film,180,17,2022-04-01,hybrid,active
SOL-000026,CUST-0000210,XFMR-000027,FDR-0001,SUB-001,33.544818,-112.143445,6.8,thin-film,182,20,2021-01-01,micro,active
SOL-000027,CUST-0000212,XFMR-000027,FDR-0001,SUB-001,33.544603,-112.143934,9.9,polycrystalline,164,19,2016-01-01,micro,active
SOL-000028,CUST-0000213,XFMR-000028,FDR-0001,SUB-001,33.545663,-112.143594,235.6,polycrystalline,199,24,2019-09-01,hybrid,active
SOL-000029,CUST-0000216,XFMR-000028,FDR-0001,SUB-001,33.545498,-112.143633,8.6,polycrystalline,206,34,2018-04-01,string,active
SOL-000030,CUST-0000220,XFMR-000029,FDR-0001,SUB-001,33.545616,-112.143791,9.9,polycrystalline,185,22,2017-08-01,micro,active
SOL-000031,CUST-0000229,XFMR-000032,FDR-0001,SUB-001,33.547735,-112.143766,10.0,polycrystalline,203,26,2017-06-01,string,active
SOL-000032,CUST-0000233,XFMR-000032,FDR-0001,SUB-001,33.548121,-112.143825,11.7,monocrystalline,170,25,2023-01-01,micro,active
SOL-000033,CUST-0000239,XFMR-000033,FDR-0001,SUB-001,33.548056,-112.143326,4.6,thin-film,178,29,2023-01-01,string,active
SOL-000034,CUST-0000244,XFMR-000033,FDR-0001,SUB-001,33.548581,-112.143934,9.8,monocrystalline,162,25,2022-04-01,micro,active
SOL-000035,CUST-0000246,XFMR-000033,FDR-0001,SUB-001,33.548162,-112.143729,6.4,monocrystalline,172,16,2021-12-01,string,active
SOL-000036,CUST-0000250,XFMR-000034,FDR-0001,SUB-001,33.549261,-112.143667,6.9,monocrystalline,176,22,2016-05-01,micro,active
SOL-000037,CUST-0000278,XFMR-000039,FDR-0001,SUB-001,33.551841,-112.143296,4.1,polycrystalline,196,35,2016-07-01,micro,active
SOL-000038,CUST-0000283,XFMR-000039,FDR-0001,SUB-001,33.551978,-112.143902,74.9,polycrystalline,188,20,2024-12-01,string,active
SOL-000039,CUST-0000301,XFMR-000042,FDR-0001,SUB-001,33.553978,-112.143948,7.2,polycrystalline,161,35,2022-09-01,hybrid,active
SOL-000040,CUST-0000309,XFMR-000043,FDR-0001,SUB-001,33.554275,-112.143323,6.3,thin-film,187,20,2017-06-01,micro,active
SOL-000041,CUST-0000311,XFMR-000044,FDR-0001,SUB-001,33.554955,-112.143135,5.4,polycrystalline,179,17,2022-02-01,string,active
SOL-000042,CUST-0000326,XFMR-000047,FDR-0001,SUB-001,33.557232,-112.143735,3.6,polycrystalline,184,26,2021-03-01,string,active
SOL-000043,CUST-0000368,XFMR-000054,FDR-0001,SUB-001,33.561496,-112.143167,5.2,polycrystalline,182,15,2019-02-01,string,active
SOL-000044,CUST-0000381,XFMR-000056,FDR-0001,SUB-001,33.56222,-112.14324,313.9,thin-film,158,29,2017-12-01,micro,active
SOL-000045,CUST-0000406,XFMR-000059,FDR-0001,SUB-001,33.564466,-112.143388,9.6,thin-film,186,23,2020-08-01,hybrid,active
SOL-000046,CUST-0000421,XFMR-000060,FDR-0001,SUB-001,33.564971,-112.143209,8.7,polycrystalline,195,23,2020-12-01,micro,active
SOL-000047,CUST-0000422,XFMR-000060,FDR-0001,SUB-001,33.564642,-112.143636,6.7,thin-film,186,35,2019-05-01,hybrid,active
SOL-000048,CUST-0000423,XFMR-000060,FDR-0001,SUB-001,33.565185,-112.14308,10.5,monocrystalline,176,15,2022-04-01,string,active
SOL-000049,CUST-0000425,XFMR-000061,FDR-0001,SUB-001,33.565417,-112.143377,9.0,polycrystalline,190,24,2020-06-01,hybrid,active
SOL-000050,CUST-0000426,XFMR-000061,FDR-0001,SUB-001,33.565624,-112.143846,433.8,polycrystalline,208,15,2018-11-01,hybrid,active
SOL-000051,CUST-0000428,XFMR-000061,FDR-0001,SUB-001,33.565513,-112.143793,5.7,monocrystalline,164,26,2019-05-01,hybrid,active
SOL-000052,CUST-0000441,XFMR-000062,FDR-0001,SUB-001,33.566009,-112.143704,7.0,polycrystalline,157,25,2022-02-01,hybrid,active
SOL-000053,CUST-0000459,XFMR-000065,FDR-0001,SUB-001,33.568419,-112.143855,11.4,thin-film,190,18,2020-07-01,micro,active
SOL-000054,CUST-0000461,XFMR-000065,FDR-0001,SUB-001,33.568187,-112.143349,7.4,thin-film,179,30,2024-03-01,string,active
SOL-000055,CUST-0000477,XFMR-000068,FDR-0001,SUB-001,33.570054,-112.143215,7.5,thin-film,180,25,2017-10-01,string,active
SOL-000056,CUST-0000479,XFMR-000068,FDR-0001,SUB-001,33.570189,-112.143697,414.6,polycrystalline,169,23,2020-04-01,string,active
SOL-000057,CUST-0000489,XFMR-000071,FDR-0001,SUB-001,33.571325,-112.143815,10.8,monocrystalline,202,33,2021-10-01,string,active
SOL-000058,CUST-0000490,XFMR-000071,FDR-0001,SUB-001,33.57186,-112.1432,9.5,thin-film,192,30,2017-06-01,micro,active
SOL-000059,CUST-0000500,XFMR-000074,FDR-0001,SUB-001,33.573836,-112.143731,10.6,thin-film,192,28,2024-08-01,string,active
SOL-000060,CUST-0000503,XFMR-000074,FDR-0001,SUB-001,33.573749,-112.143763,10.0,polycrystalline,194,22,2019-01-01,hybrid,active
SOL-000061,CUST-0000512,XFMR-000076,FDR-0001,SUB-001,33.574631,-112.143127,5.3,polycrystalline,167,26,2020-12-01,string,active
SOL-000062,CUST-0000513,XFMR-000076,FDR-0001,SUB-001,33.575069,-112.143582,264.7,monocrystalline,165,21,2016-07-01,hybrid,active
SOL-000063,CUST-0000514,XFMR-000076,FDR-0001,SUB-001,33.574714,-112.143185,4.0,monocrystalline,170,25,2019-06-01,micro,active
SOL-000064,CUST-0000520,XFMR-000076,FDR-0001,SUB-001,33.575,-112.143098,10.1,monocrystalline,197,31,2019-06-01,hybrid,active
SOL-000065,CUST-0000547,XFMR-000080,FDR-0001,SUB-001,33.577608,-112.143945,387.0,polycrystalline,170,28,2022-10-01,micro,active
SOL-000066,CUST-0000552,XFMR-000081,FDR-0001,SUB-001,33.577643,-112.143624,6.9,thin-film,175,21,2020-04-01,micro,active
SOL-000067,CUST-0000564,XFMR-000084,FDR-0001,SUB-001,33.579571,-112.14339,8.4,monocrystalline,163,20,2021-05-01,hybrid,active
SOL-000068,CUST-0000565,XFMR-000085,FDR-0001,SUB-001,33.580727,-112.143805,6.2,monocrystalline,191,26,2021-01-01,string,active
SOL-000069,CUST-0000589,XFMR-000090,FDR-0001,SUB-001,33.583705,-112.143971,4.5,monocrystalline,198,21,2024-03-01,hybrid,active
SOL-000070,CUST-0000598,XFMR-000090,FDR-0001,SUB-001,33.583424,-112.143967,9.1,monocrystalline,162,30,2019-08-01,hybrid,active
SOL-000071,CUST-0000617,XFMR-000095,FDR-0001,SUB-001,33.586255,-112.143207,4.8,monocrystalline,163,27,2020-09-01,micro,active
SOL-000072,CUST-0000618,XFMR-000095,FDR-0001,SUB-001,33.58659,-112.14323,266.3,polycrystalline,178,15,2021-10-01,hybrid,active
SOL-000073,CUST-0000644,XFMR-000098,FDR-0001,SUB-001,33.588256,-112.143376,413.4,polycrystalline,193,23,2016-01-01,string,active
SOL-000074,CUST-0000677,XFMR-000102,FDR-0002,SUB-001,33.526892,-112.143321,4.6,monocrystalline,151,18,2022-05-01,string,active
SOL-000075,CUST-0000681,XFMR-000102,FDR-0002,SUB-001,33.526632,-112.143233,7.8,monocrystalline,167,18,2020-10-01,hybrid,active
SOL-000076,CUST-0000684,XFMR-000104,FDR-0002,SUB-001,33.526501,-112.143647,3.6,polycrystalline,198,15,2019-06-01,hybrid,inactive
SOL-000077,CUST-0000686,XFMR-000104,FDR-0002,SUB-001,33.526169,-112.143039,12.0,polycrystalline,158,24,2019-12-01,hybrid,active
SOL-000078,CUST-0000697,XFMR-000105,FDR-0002,SUB-001,33.526065,-112.143185,6.5,polycrystalline,174,32,2017-07-01,hybrid,active
SOL-000079,CUST-0000701,XFMR-000105,FDR-0002,SUB-001,33.526198,-112.143744,107.7,monocrystalline,187,15,2024-06-01,hybrid,active
SOL-000080,CUST-0000708,XFMR-000106,FDR-0002,SUB-001,33.525788,-112.143149,9.3,polycrystalline,189,34,2021-10-01,hybrid,inactive
SOL-000081,CUST-0000720,XFMR-000108,FDR-0002,SUB-001,33.525318,-112.143594,7.4,polycrystalline,186,22,2023-08-01,micro,active
SOL-000082,CUST-0000726,XFMR-000111,FDR-0002,SUB-001,33.52435,-112.143751,8.2,thin-film,175,20,2018-06-01,micro,active
SOL-000083,CUST-0000730,XFMR-000112,FDR-0002,SUB-001,33.524494,-112.143046,10.5,polycrystalline,186,15,2024-11-01,micro,active
SOL-000084,CUST-0000759,XFMR-000120,FDR-0002,SUB-001,33.521831,-112.143715,3.3,monocrystalline,161,28,2024-04-01,micro,active
SOL-000085,CUST-0000761,XFMR-000120,FDR-0002,SUB-001,33.521724,-112.143673,7.9,polycrystalline,192,18,2020-10-01,micro,active
SOL-000086,CUST-0000770,XFMR-000123,FDR-0002,SUB-001,33.521453,-112.143427,9.9,thin-film,207,24,2023-04-01,string,active
SOL-000087,CUST-0000781,XFMR-000125,FDR-0002,SUB-001,33.520663,-112.143533,7.8,monocrystalline,200,31,2023-05-01,hybrid,active
SOL-000088,CUST-0000783,XFMR-000125,FDR-0002,SUB-001,33.520911,-112.143201,472.9,monocrystalline,175,21,2019-12-01,hybrid,active
SOL-000089,CUST-0000786,XFMR-000125,FDR-0002,SUB-001,33.521094,-112.143734,5.1,monocrystalline,210,31,2020-09-01,string,active
SOL-000090,CUST-0000793,XFMR-000126,FDR-0002,SUB-001,33.520493,-112.143677,11.7,thin-film,195,32,2017-06-01,micro,active
SOL-000091,CUST-0000813,XFMR-000128,FDR-0002,SUB-001,33.52003,-112.143119,6.5,monocrystalline,153,22,2018-02-01,string,active
SOL-000092,CUST-0000816,XFMR-000128,FDR-0002,SUB-001,33.519698,-112.143604,96.5,polycrystalline,206,24,2018-10-01,micro,active
SOL-000093,CUST-0000824,XFMR-000129,FDR-0002,SUB-001,33.520171,-112.14336,10.5,monocrystalline,168,21,2021-09-01,string,active
SOL-000094,CUST-0000838,XFMR-000131,FDR-0002,SUB-001,33.518993,-112.143624,9.0,polycrystalline,169,15,2021-06-01,string,active
SOL-000095,CUST-0000846,XFMR-000132,FDR-0002,SUB-001,33.519058,-112.143004,112.8,monocrystalline,192,23,2016-01-01,string,active
SOL-000096,CUST-0000856,XFMR-000135,FDR-0002,SUB-001,33.518078,-112.143634,6.0,polycrystalline,204,34,2021-02-01,micro,active
SOL-000097,CUST-0000861,XFMR-000135,FDR-0002,SUB-001,33.518059,-112.143275,8.3,monocrystalline,185,16,2017-01-01,hybrid,active
SOL-000098,CUST-0000887,XFMR-000139,FDR-0002,SUB-001,33.516768,-112.143031,9.3,thin-film,175,25,2017-04-01,hybrid,active
SOL-000099,CUST-0000894,XFMR-000139,FDR-0002,SUB-001,33.516734,-112.143136,6.3,monocrystalline,192,15,2024-06-01,string,active
SOL-000100,CUST-0000898,XFMR-000141,FDR-0002,SUB-001,33.516117,-112.143774,498.7,monocrystalline,195,17,2023-01-01,micro,active
SOL-000101,CUST-0000900,XFMR-000141,FDR-0002,SUB-001,33.51674,-112.143874,52.1,polycrystalline,180,22,2022-10-01,string,active
SOL-000102,CUST-0000908,XFMR-000142,FDR-0002,SUB-001,33.516481,-112.143087,9.6,monocrystalline,185,34,2019-02-01,hybrid,active
SOL-000103,CUST-0000911,XFMR-000142,FDR-0002,SUB-001,33.51662,-112.143502,11.8,thin-film,165,17,2021-04-01,hybrid,active
SOL-000104,CUST-0000920,XFMR-000143,FDR-0002,SUB-001,33.515524,-112.143273,10.9,polycrystalline,163,24,2016-12-01,string,active
SOL-000105,CUST-0000924,XFMR-000143,FDR-0002,SUB-001,33.515774,-112.143175,10.2,monocrystalline,168,32,2018-07-01,hybrid,active
SOL-000106,CUST-0000933,XFMR-000145,FDR-0002,SUB-001,33.515237,-112.143213,10.9,thin-film,179,20,2016-08-01,micro,active
SOL-000107,CUST-0000940,XFMR-000146,FDR-0002,SUB-001,33.515104,-112.143771,11.0,polycrystalline,183,16,2016-03-01,micro,active
SOL-000108,CUST-0000941,XFMR-000146,FDR-0002,SUB-001,33.515175,-112.143275,11.6,polycrystalline,187,25,2016-06-01,micro,active
SOL-000109,CUST-0000948,XFMR-000146,FDR-0002,SUB-001,33.515503,-112.143742,8.3,polycrystalline,184,25,2024-11-01,string,active
SOL-000110,CUST-0000952,XFMR-000147,FDR-0002,SUB-001,33.514642,-112.143299,10.3,thin-film,151,26,2022-05-01,micro,active
SOL-000111,CUST-0000966,XFMR-000148,FDR-0002,SUB-001,33.514551,-112.143582,188.0,thin-film,184,33,2019-07-01,hybrid,active
SOL-000112,CUST-0000981,XFMR-000152,FDR-0002,SUB-001,33.513815,-112.143807,5.5,polycrystalline,182,35,2024-12-01,string,active
SOL-000113,CUST-0000986,XFMR-000152,FDR-0002,SUB-001,33.513244,-112.143829,11.0,thin-film,159,22,2018-10-01,hybrid,active
SOL-000114,CUST-0000990,XFMR-000153,FDR-0002,SUB-001,33.513607,-112.143188,9.6,monocrystalline,157,28,2016-02-01,hybrid,active
SOL-000115,CUST-0000992,XFMR-000153,FDR-0002,SUB-001,33.513628,-112.143071,7.6,polycrystalline,196,35,2018-04-01,micro,active
SOL-000116,CUST-0001000,XFMR-000154,FDR-0002,SUB-001,33.512789,-112.142966,7.4,monocrystalline,160,24,2017-05-01,hybrid,active
SOL-000117,CUST-0001004,XFMR-000154,FDR-0002,SUB-001,33.513002,-112.143578,3.6,polycrystalline,186,18,2021-10-01,hybrid,active
SOL-000118,CUST-0001014,XFMR-000155,FDR-0002,SUB-001,33.512759,-112.143109,6.4,monocrystalline,151,35,2018-05-01,micro,active
SOL-000119,CUST-0001015,XFMR-000155,FDR-0002,SUB-001,33.512501,-112.143003,6.0,monocrystalline,187,34,2020-02-01,hybrid,active
SOL-000120,CUST-0001021,XFMR-000156,FDR-0002,SUB-001,33.51244,-112.143665,70.0,monocrystalline,201,26,2019-11-01,string,active
SOL-000121,CUST-0001026,XFMR-000156,FDR-0002,SUB-001,33.512124,-112.143748,3.8,thin-film,184,22,2019-12-01,string,active
SOL-000122,CUST-0001030,XFMR-000157,FDR-0002,SUB-001,33.512277,-112.143738,11.9,monocrystalline,208,17,2018-02-01,string,active
SOL-000123,CUST-0001032,XFMR-000158,FDR-0002,SUB-001,33.512175,-112.14301,3.4,polycrystalline,170,19,2024-05-01,string,active
SOL-000124,CUST-0001041,XFMR-000158,FDR-0002,SUB-001,33.511523,-112.143065,251.6,polycrystalline,201,19,2023-12-01,hybrid,active
SOL-000125,CUST-0001043,XFMR-000159,FDR-0002,SUB-001,33.511977,-112.143597,6.5,monocrystalline,207,31,2023-09-01,hybrid,active
SOL-000126,CUST-0001049,XFMR-000159,FDR-0002,SUB-001,33.511892,-112.143106,4.4,monocrystalline,196,33,2019-12-01,string,active
SOL-000127,CUST-0001073,XFMR-000162,FDR-0002,SUB-001,33.510436,-112.143831,366.5,thin-film,200,27,2018-09-01,string,active
SOL-000128,CUST-0001078,XFMR-000163,FDR-0002,SUB-001,33.510503,-112.143033,11.1,polycrystalline,209,32,2024-01-01,string,active
SOL-000129,CUST-0001080,XFMR-000163,FDR-0002,SUB-001,33.51089,-112.143242,4.4,thin-film,167,27,2020-10-01,micro,active
SOL-000130,CUST-0001082,XFMR-000163,FDR-0002,SUB-001,33.510161,-112.143029,11.4,thin-film,157,32,2022-02-01,micro,active
SOL-000131,CUST-0001085,XFMR-000164,FDR-0002,SUB-001,33.510153,-112.143862,3.8,monocrystalline,193,17,2022-03-01,micro,active
SOL-000132,CUST-0001087,XFMR-000164,FDR-0002,SUB-001,33.509858,-112.143475,116.8,polycrystalline,153,20,2018-02-01,string,active
SOL-000133,CUST-0001095,XFMR-000166,FDR-0002,SUB-001,33.509812,-112.143252,3.5,thin-film,185,24,2016-02-01,micro,active
SOL-000134,CUST-0001103,XFMR-000167,FDR-0002,SUB-001,33.509242,-112.143254,214.8,polycrystalline,160,16,2022-06-01,hybrid,active
SOL-000135,CUST-0001115,XFMR-000169,FDR-0002,SUB-001,33.508862,-112.143349,9.8,thin-film,162,16,2017-07-01,string,active
SOL-000136,CUST-0001119,XFMR-000170,FDR-0002,SUB-001,33.508582,-112.143253,10.8,polycrystalline,186,18,2018-05-01,hybrid,active
SOL-000137,CUST-0001125,XFMR-000173,FDR-0002,SUB-001,33.507948,-112.143403,7.6,polycrystalline,155,25,2023-10-01,micro,active
SOL-000138,CUST-0001128,XFMR-000173,FDR-0002,SUB-001,33.508178,-112.143429,61.9,polycrystalline,188,16,2023-08-01,string,active
SOL-000139,CUST-0001131,XFMR-000173,FDR-0002,SUB-001,33.508046,-112.143274,4.1,thin-film,191,34,2023-01-01,micro,active
SOL-000140,CUST-0001139,XFMR-000177,FDR-0002,SUB-001,33.506913,-112.14363,7.3,monocrystalline,193,28,2019-08-01,micro,active
SOL-000141,CUST-0001158,XFMR-000179,FDR-0002,SUB-001,33.505923,-112.14393,49.4,thin-film,165,21,2019-04-01,micro,active
SOL-000142,CUST-0001165,XFMR-000180,FDR-0002,SUB-001,33.505862,-112.143065,10.9,monocrystalline,184,25,2019-09-01,hybrid,active
SOL-000143,CUST-0001166,XFMR-000180,FDR-0002,SUB-001,33.506271,-112.143564,5.6,monocrystalline,180,19,2017-07-01,string,active
SOL-000144,CUST-0001167,XFMR-000180,FDR-0002,SUB-001,33.506249,-112.142953,6.3,polycrystalline,169,17,2016-04-01,hybrid,active
SOL-000145,CUST-0001173,XFMR-000182,FDR-0002,SUB-001,33.505438,-112.143237,11.9,thin-film,197,26,2019-06-01,hybrid,active
SOL-000146,CUST-0001174,XFMR-000182,FDR-0002,SUB-001,33.505067,-112.1438,142.2,monocrystalline,159,34,2022-01-01,string,active
SOL-000147,CUST-0001180,XFMR-000182,FDR-0002,SUB-001,33.505609,-112.143645,431.3,polycrystalline,183,34,2020-09-01,hybrid,active
SOL-000148,CUST-0001194,XFMR-000185,FDR-0002,SUB-001,33.504305,-112.143283,4.4,thin-film,183,29,2018-09-01,micro,active
SOL-000149,CUST-0001209,XFMR-000187,FDR-0002,SUB-001,33.504394,-112.142965,10.1,thin-film,156,19,2017-04-01,micro,active
SOL-000150,CUST-0001214,XFMR-000188,FDR-0002,SUB-001,33.503518,-112.143813,11.2,monocrystalline,150,28,2018-01-01,micro,inactive
SOL-000151,CUST-0001216,XFMR-000188,FDR-0002,SUB-001,33.503777,-112.143784,5.2,polycrystalline,210,31,2023-03-01,hybrid,active
SOL-000152,CUST-0001217,XFMR-000188,FDR-0002,SUB-001,33.50349,-112.143783,3.5,polycrystalline,162,18,2024-05-01,string,active
SOL-000153,CUST-0001232,XFMR-000193,FDR-0002,SUB-001,33.502335,-112.142995,38.4,thin-film,202,18,2023-07-01,micro,active
SOL-000154,CUST-0001234,XFMR-000193,FDR-0002,SUB-001,33.502738,-112.143092,8.4,thin-film,159,26,2023-09-01,string,active
SOL-000155,CUST-0001235,XFMR-000193,FDR-0002,SUB-001,33.50264,-112.143154,268.7,polycrystalline,180,35,2023-04-01,string,active
SOL-000156,CUST-0001250,XFMR-000196,FDR-0002,SUB-001,33.50156,-112.14361,7.9,thin-film,203,28,2023-12-01,micro,active
SOL-000157,CUST-0001274,XFMR-000201,FDR-0002,SUB-001,33.500129,-112.14311,6.2,thin-film,175,20,2023-03-01,string,active
SOL-000158,CUST-0001275,XFMR-000201,FDR-0002,SUB-001,33.500667,-112.143622,8.3,monocrystalline,184,21,2016-06-01,string,active
SOL-000159,CUST-0001278,XFMR-000201,FDR-0002,SUB-001,33.500257,-112.143734,3.5,polycrystalline,170,17,2022-11-01,string,active
SOL-000160,CUST-0001294,XFMR-000204,FDR-0002,SUB-001,33.499842,-112.143225,6.4,monocrystalline,205,18,2021-11-01,micro,active
SOL-000161,CUST-0001310,XFMR-000208,FDR-0002,SUB-001,33.498024,-112.143091,7.6,polycrystalline,190,29,2020-10-01,string,active
SOL-000162,CUST-0001316,XFMR-000209,FDR-0002,SUB-001,33.498279,-112.143682,3.8,thin-film,170,19,2018-04-01,micro,active
SOL-000163,CUST-0001325,XFMR-000210,FDR-0002,SUB-001,33.498029,-112.143311,8.7,monocrystalline,169,27,2019-03-01,micro,active
SOL-000164,CUST-0001335,XFMR-000211,FDR-0002,SUB-001,33.497825,-112.143703,9.2,thin-film,197,33,2022-05-01,string,active
SOL-000165,CUST-0001344,XFMR-000212,FDR-0002,SUB-001,33.497186,-112.143063,7.1,thin-film,185,21,2018-05-01,string,active
SOL-000166,CUST-0001347,XFMR-000212,FDR-0002,SUB-001,33.497656,-112.143685,5.1,thin-film,194,33,2020-09-01,hybrid,active
SOL-000167,CUST-0001358,XFMR-000214,FDR-0002,SUB-001,33.497058,-112.143146,444.6,monocrystalline,208,28,2023-02-01,string,active
SOL-000168,CUST-0001363,XFMR-000215,FDR-0002,SUB-001,33.496636,-112.143237,8.8,thin-film,182,18,2016-05-01,micro,active
SOL-000169,CUST-0001377,XFMR-000217,FDR-0002,SUB-001,33.495757,-112.143039,5.4,monocrystalline,198,18,2019-10-01,string,active
SOL-000170,CUST-0001384,XFMR-000218,FDR-0002,SUB-001,33.495695,-112.143198,3.3,polycrystalline,151,34,2024-05-01,micro,active
SOL-000171,CUST-0001387,XFMR-000218,FDR-0002,SUB-001,33.495765,-112.143322,8.2,polycrystalline,210,18,2020-09-01,micro,active
SOL-000172,CUST-0001401,XFMR-000220,FDR-0002,SUB-001,33.495063,-112.143195,43.1,thin-film,188,25,2024-08-01,micro,active
SOL-000173,CUST-0001404,XFMR-000220,FDR-0002,SUB-001,33.495239,-112.143671,57.8,polycrystalline,205,19,2018-07-01,micro,active
SOL-000174,CUST-0001417,XFMR-000221,FDR-0002,SUB-001,33.494671,-112.143393,7.5,polycrystalline,151,23,2023-10-01,hybrid,active
SOL-000175,CUST-0001428,XFMR-000224,FDR-0002,SUB-001,33.493905,-112.143623,10.7,monocrystalline,195,30,2024-09-01,hybrid,active
SOL-000176,CUST-0001448,XFMR-000227,FDR-0002,SUB-001,33.49316,-112.143456,9.0,thin-film,200,19,2024-09-01,micro,active
SOL-000177,CUST-0001453,XFMR-000227,FDR-0002,SUB-001,33.492993,-112.143818,6.6,thin-film,180,21,2016-03-01,micro,active
SOL-000178,CUST-0001462,XFMR-000229,FDR-0002,SUB-001,33.492739,-112.143913,3.7,polycrystalline,205,21,2024-10-01,string,active
SOL-000179,CUST-0001467,XFMR-000230,FDR-0002,SUB-001,33.492125,-112.143448,9.3,thin-film,155,27,2017-09-01,string,inactive
SOL-000180,CUST-0001468,XFMR-000230,FDR-0002,SUB-001,33.492579,-112.143457,8.7,polycrystalline,159,17,2022-01-01,string,active
SOL-000181,CUST-0001498,XFMR-000234,FDR-0002,SUB-001,33.491315,-112.14375,8.2,monocrystalline,189,32,2021-10-01,string,active
SOL-000182,CUST-0001510,XFMR-000235,FDR-0002,SUB-001,33.491046,-112.143084,8.8,polycrystalline,203,19,2017-09-01,hybrid,active
SOL-000183,CUST-0001518,XFMR-000236,FDR-0002,SUB-001,33.490756,-112.143609,11.6,monocrystalline,190,17,2017-04-01,hybrid,active
SOL-000184,CUST-0001526,XFMR-000238,FDR-0002,SUB-001,33.490619,-112.143784,10.9,thin-film,180,32,2019-12-01,string,inactive
SOL-000185,CUST-0001527,XFMR-000239,FDR-0002,SUB-001,33.489936,-112.143769,395.1,monocrystalline,200,34,2024-11-01,string,active
SOL-000186,CUST-0001541,XFMR-000240,FDR-0002,SUB-001,33.489299,-112.14387,9.3,polycrystalline,183,26,2020-01-01,micro,active
SOL-000187,CUST-0001544,XFMR-000240,FDR-0002,SUB-001,33.490024,-112.143295,11.3,polycrystalline,208,31,2020-04-01,micro,active
