node_id,node_type,substation_id,feeder_id,latitude,longitude,nominal_voltage_kv,equipment_class,rated_capacity,rated_capacity_units,phase,installation_year,status
FDR-0010-HEAD,feeder_breaker,SUB-003,FDR-0010,33.287954,-111.914005,13.8,breaker,11.3,MW,ABC,,closed
FDR-0010-TAIL,feeder_endpoint,SUB-003,FDR-0010,33.280214,-111.869749,13.8,open_point,,,ABC,,open
FDR-0011-HEAD,feeder_breaker,SUB-003,FDR-0011,33.287954,-111.914005,13.8,breaker,13.7,MW,ABC,,closed
FDR-0011-TAIL,feeder_endpoint,SUB-003,FDR-0011,33.513747,-111.855166,13.8,open_point,,,ABC,,open
FDR-0012-HEAD,feeder_breaker,SUB-004,FDR-0012,33.386386,-112.273095,12.47,breaker,13.6,MW,ABC,,closed
FDR-0012-TAIL,feeder_endpoint,SUB-004,FDR-0012,33.457252,-112.18689,12.47,open_point,,,ABC,,open
FDR-0013-HEAD,feeder_breaker,SUB-004,FDR-0013,33.386386,-112.273095,12.47,breaker,11.0,MW,ABC,,closed
FDR-0013-TAIL,feeder_endpoint,SUB-004,FDR-0013,33.517033,-112.422607,12.47,open_point,,,ABC,,open
FDR-0014-HEAD,feeder_breaker,SUB-004,FDR-0014,33.386386,-112.273095,12.47,breaker,11.0,MW,ABC,,closed
FDR-0014-TAIL,feeder_endpoint,SUB-004,FDR-0014,33.316136,-112.283484,12.47,open_point,,,ABC,,open
FDR-0015-HEAD,feeder_breaker,SUB-005,FDR-0015,33.383869,-112.1261,13.8,breaker,19.6,MW,ABC,,closed
FDR-0015-TAIL,feeder_endpoint,SUB-005,FDR-0015,33.483593,-112.009245,13.8,open_point,,,ABC,,open
FDR-0016-HEAD,feeder_breaker,SUB-005,FDR-0016,33.383869,-112.1261,13.8,breaker,18.4,MW,ABC,,closed
FDR-0016-TAIL,feeder_endpoint,SUB-005,FDR-0016,33.525061,-112.110701,13.8,open_point,,,ABC,,open
FDR-0017-HEAD,feeder_breaker,SUB-005,FDR-0017,33.383869,-112.1261,13.8,breaker,19.1,MW,ABC,,closed
FDR-0017-TAIL,feeder_endpoint,SUB-005,FDR-0017,33.508595,-112.351915,13.8,open_point,,,ABC,,open
FDR-0018-HEAD,feeder_breaker,SUB-005,FDR-0018,33.383869,-112.1261,13.8,breaker,15.9,MW,ABC,,closed
FDR-0018-TAIL,feeder_endpoint,SUB-005,FDR-0018,33.248785,-112.337323,13.8,open_point,,,ABC,,open
FDR-0019-HEAD,feeder_breaker,SUB-005,FDR-0019,33.383869,-112.1261,13.8,breaker,16.8,MW,ABC,,closed
FDR-0019-TAIL,feeder_endpoint,SUB-005,FDR-0019,33.130363,-112.133808,13.8,open_point,,,ABC,,open
FDR-0020-HEAD,feeder_breaker,SUB-005,FDR-0020,33.383869,-112.1261,13.8,breaker,19.0,MW,ABC,,closed
FDR-0020-TAIL,feeder_endpoint,SUB-005,FDR-0020,33.278653,-112.000603,13.8,open_point,,,ABC,,open
FDR-0021-HEAD,feeder_breaker,SUB-006,FDR-0021,33.395141,-111.997918,24.9,breaker,18.3,MW,ABC,,closed
FDR-0021-TAIL,feeder_endpoint,SUB-006,FDR-0021,33.446753,-111.839444,24.9,open_point,,,ABC,,open
FDR-0022-HEAD,feeder_breaker,SUB-006,FDR-0022,33.395141,-111.997918,24.9,breaker,13.0,MW,ABC,,closed
FDR-0022-TAIL,feeder_endpoint,SUB-006,FDR-0022,33.432808,-111.998939,24.9,open_point,,,ABC,,open
FDR-0023-HEAD,feeder_breaker,SUB-006,FDR-0023,33.395141,-111.997918,24.9,breaker,11.8,MW,ABC,,closed
FDR-0023-TAIL,feeder_endpoint,SUB-006,FDR-0023,33.416591,-112.071674,24.9,open_point,,,ABC,,open
FDR-0024-HEAD,feeder_breaker,SUB-006,FDR-0024,33.395141,-111.997918,24.9,breaker,19.1,MW,ABC,,closed
FDR-0024-TAIL,feeder_endpoint,SUB-006,FDR-0024,33.338978,-112.078899,24.9,open_point,,,ABC,,open
FDR-0025-HEAD,feeder_breaker,SUB-006,FDR-0025,33.395141,-111.997918,24.9,breaker,8.9,MW,ABC,,closed
FDR-0025-TAIL,feeder_endpoint,SUB-006,FDR-0025,33.134539,-112.009724,24.9,open_point,,,ABC,,open
FDR-0026-HEAD,feeder_breaker,SUB-006,FDR-0026,33.395141,-111.997918,24.9,breaker,18.6,MW,ABC,,closed
FDR-0026-TAIL,feeder_endpoint,SUB-006,FDR-0026,33.318912,-111.918413,24.9,open_point,,,ABC,,open
FDR-0027-HEAD,feeder_breaker,SUB-007,FDR-0027,33.389116,-111.878424,12.47,breaker,14.3,MW,ABC,,closed
FDR-0027-TAIL,feeder_endpoint,SUB-007,FDR-0027,33.252799,-111.775159,12.47,open_point,,,ABC,,open
FDR-0028-HEAD,feeder_breaker,SUB-007,FDR-0028,33.389116,-111.878424,12.47,breaker,11.2,MW,ABC,,closed
FDR-0028-TAIL,feeder_endpoint,SUB-007,FDR-0028,33.413453,-111.830642,12.47,open_point,,,ABC,,open
FDR-0029-HEAD,feeder_breaker,SUB-007,FDR-0029,33.389116,-111.878424,12.47,breaker,12.1,MW,ABC,,closed
FDR-0029-TAIL,feeder_endpoint,SUB-007,FDR-0029,33.553872,-111.838328,12.47,open_point,,,ABC,,open
FDR-0030-HEAD,feeder_breaker,SUB-007,FDR-0030,33.389116,-111.878424,12.47,breaker,9.1,MW,ABC,,closed
FDR-0030-TAIL,feeder_endpoint,SUB-007,FDR-0030,33.424021,-111.958068,12.47,open_point,,,ABC,,open
FDR-0031-HEAD,feeder_breaker,SUB-007,FDR-0031,33.389116,-111.878424,12.47,breaker,15.6,MW,ABC,,closed
FDR-0031-TAIL,feeder_endpoint,SUB-007,FDR-0031,33.33231,-111.967677,12.47,open_point,,,ABC,,open
FDR-0032-HEAD,feeder_breaker,SUB-008,FDR-0032,33.486506,-112.275789,13.8,breaker,18.8,MW,ABC,,closed
FDR-0032-TAIL,feeder_endpoint,SUB-008,FDR-0032,33.433038,-112.288987,13.8,open_point,,,ABC,,open
FDR-0033-HEAD,feeder_breaker,SUB-008,FDR-0033,33.486506,-112.275789,13.8,breaker,8.5,MW,ABC,,closed
FDR-0033-TAIL,feeder_endpoint,SUB-008,FDR-0033,33.442916,-112.229246,13.8,open_point,,,ABC,,open
FDR-0034-HEAD,feeder_breaker,SUB-008,FDR-0034,33.486506,-112.275789,13.8,breaker,16.0,MW,ABC,,closed
FDR-0034-TAIL,feeder_endpoint,SUB-008,FDR-0034,33.522951,-112.206532,13.8,open_point,,,ABC,,open
FDR-0035-HEAD,feeder_breaker,SUB-008,FDR-0035,33.486506,-112.275789,13.8,breaker,18.4,MW,ABC,,closed
FDR-0035-TAIL,feeder_endpoint,SUB-008,FDR-0035,33.689401,-112.276956,13.8,open_point,,,ABC,,open
FDR-0036-HEAD,feeder_breaker,SUB-008,FDR-0036,33.486506,-112.275789,13.8,breaker,19.1,MW,ABC,,closed
FDR-0036-TAIL,feeder_endpoint,SUB-008,FDR-0036,33.505372,-112.30501,13.8,open_point,,,ABC,,open
FDR-0037-HEAD,feeder_breaker,SUB-008,FDR-0037,33.486506,-112.275789,13.8,breaker,11.2,MW,ABC,,closed
FDR-0037-TAIL,feeder_endpoint,SUB-008,FDR-0037,33.391801,-112.484272,13.8,open_point,,,ABC,,open
FDR-0038-HEAD,feeder_breaker,SUB-009,FDR-0038,33.486846,-112.130835,13.8,breaker,12.2,MW,ABC,,closed
FDR-0038-TAIL,feeder_endpoint,SUB-009,FDR-0038,33.441824,-112.063308,13.8,open_point,,,ABC,,open
FDR-0039-HEAD,feeder_breaker,SUB-009,FDR-0039,33.486846,-112.130835,13.8,breaker,11.9,MW,ABC,,closed
FDR-0039-TAIL,feeder_endpoint,SUB-009,FDR-0039,33.538572,-111.955705,13.8,open_point,,,ABC,,open
FDR-0040-HEAD,feeder_breaker,SUB-009,FDR-0040,33.486846,-112.130835,13.8,breaker,19.8,MW,ABC,,closed
FDR-0040-TAIL,feeder_endpoint,SUB-009,FDR-0040,33.634488,-112.138218,13.8,open_point,,,ABC,,open
FDR-0041-HEAD,feeder_breaker,SUB-009,FDR-0041,33.486846,-112.130835,13.8,breaker,15.0,MW,ABC,,closed
FDR-0041-TAIL,feeder_endpoint,SUB-009,FDR-0041,33.586936,-112.363873,13.8,open_point,,,ABC,,open
FDR-0042-HEAD,feeder_breaker,SUB-009,FDR-0042,33.486846,-112.130835,13.8,breaker,17.4,MW,ABC,,closed
FDR-0042-TAIL,feeder_endpoint,SUB-009,FDR-0042,33.389129,-112.217233,13.8,open_point,,,ABC,,open
FDR-0043-HEAD,feeder_breaker,SUB-010,FDR-0043,33.507385,-111.986286,12.47,breaker,8.0,MW,ABC,,closed
FDR-0043-TAIL,feeder_endpoint,SUB-010,FDR-0043,33.478845,-111.959516,12.47,open_point,,,ABC,,open
FDR-0044-HEAD,feeder_breaker,SUB-010,FDR-0044,33.507385,-111.986286,12.47,breaker,19.0,MW,ABC,,closed
FDR-0044-TAIL,feeder_endpoint,SUB-010,FDR-0044,33.530628,-111.947838,12.47,open_point,,,ABC,,open
FDR-0045-HEAD,feeder_breaker,SUB-010,FDR-0045,33.507385,-111.986286,12.47,breaker,16.0,MW,ABC,,closed
FDR-0045-TAIL,feeder_endpoint,SUB-010,FDR-0045,33.596427,-112.028521,12.47,open_point,,,ABC,,open
FDR-0046-HEAD,feeder_breaker,SUB-010,FDR-0046,33.507385,-111.986286,12.47,breaker,19.3,MW,ABC,,closed
FDR-0046-TAIL,feeder_endpoint,SUB-010,FDR-0046,33.505202,-112.060167,12.47,open_point,,,ABC,,open
FDR-0047-HEAD,feeder_breaker,SUB-010,FDR-0047,33.507385,-111.986286,12.47,breaker,18.0,MW,ABC,,closed
FDR-0047-TAIL,feeder_endpoint,SUB-010,FDR-0047,33.411848,-112.010473,12.47,open_point,,,ABC,,open
FDR-0048-HEAD,feeder_breaker,SUB-011,FDR-0048,33.516525,-111.867313,13.8,breaker,13.3,MW,ABC,,closed
FDR-0048-TAIL,feeder_endpoint,SUB-011,FDR-0048,33.416495,-111.837607,13.8,open_point,,,ABC,,open
FDR-0049-HEAD,feeder_breaker,SUB-011,FDR-0049,33.516525,-111.867313,13.8,breaker,10.0,MW,ABC,,closed
FDR-0049-TAIL,feeder_endpoint,SUB-011,FDR-0049,33.538377,-111.616088,13.8,open_point,,,ABC,,open
FDR-0050-HEAD,feeder_breaker,SUB-011,FDR-0050,33.516525,-111.867313,13.8,breaker,16.1,MW,ABC,,closed
FDR-0050-TAIL,feeder_endpoint,SUB-011,FDR-0050,33.71533,-111.71693,13.8,open_point,,,ABC,,open
FDR-0051-HEAD,feeder_breaker,SUB-011,FDR-0051,33.516525,-111.867313,13.8,breaker,15.3,MW,ABC,,closed
FDR-0051-TAIL,feeder_endpoint,SUB-011,FDR-0051,33.547878,-111.890726,13.8,open_point,,,ABC,,open
FDR-0052-HEAD,feeder_breaker,SUB-011,FDR-0052,33.516525,-111.867313,13.8,breaker,16.6,MW,ABC,,closed
FDR-0052-TAIL,feeder_endpoint,SUB-011,FDR-0052,33.434382,-112.022247,13.8,open_point,,,ABC,,open
FDR-0053-HEAD,feeder_breaker,SUB-012,FDR-0053,33.590595,-112.230135,24.9,breaker,17.3,MW,ABC,,closed
FDR-0053-TAIL,feeder_endpoint,SUB-012,FDR-0053,33.794297,-112.110507,24.9,open_point,,,ABC,,open
FDR-0054-HEAD,feeder_breaker,SUB-012,FDR-0054,33.590595,-112.230135,24.9,breaker,13.5,MW,ABC,,closed
FDR-0054-TAIL,feeder_endpoint,SUB-012,FDR-0054,33.623643,-112.310567,24.9,open_point,,,ABC,,open
FDR-0055-HEAD,feeder_breaker,SUB-012,FDR-0055,33.590595,-112.230135,24.9,breaker,17.8,MW,ABC,,closed
FDR-0055-TAIL,feeder_endpoint,SUB-012,FDR-0055,33.405967,-112.082765,24.9,open_point,,,ABC,,open
FDR-0056-HEAD,feeder_breaker,SUB-013,FDR-0056,33.588773,-112.050098,13.8,breaker,11.1,MW,ABC,,closed
FDR-0056-TAIL,feeder_endpoint,SUB-013,FDR-0056,33.707354,-112.245988,13.8,open_point,,,ABC,,open
FDR-0057-HEAD,feeder_breaker,SUB-013,FDR-0057,33.588773,-112.050098,13.8,breaker,10.9,MW,ABC,,closed
FDR-0057-TAIL,feeder_endpoint,SUB-013,FDR-0057,33.474981,-112.146714,13.8,open_point,,,ABC,,open
FDR-0058-HEAD,feeder_breaker,SUB-013,FDR-0058,33.588773,-112.050098,13.8,breaker,9.0,MW,ABC,,closed
FDR-0058-TAIL,feeder_endpoint,SUB-013,FDR-0058,33.481559,-112.047475,13.8,open_point,,,ABC,,open
FDR-0059-HEAD,feeder_breaker,SUB-013,FDR-0059,33.588773,-112.050098,13.8,breaker,13.0,MW,ABC,,closed
FDR-0059-TAIL,feeder_endpoint,SUB-013,FDR-0059,33.546057,-111.862137,13.8,open_point,,,ABC,,open
FDR-0060-HEAD,feeder_breaker,SUB-013,FDR-0060,33.588773,-112.050098,13.8,breaker,12.7,MW,ABC,,closed
FDR-0060-TAIL,feeder_endpoint,SUB-013,FDR-0060,33.635675,-111.989268,13.8,open_point,,,ABC,,open
FDR-0061-HEAD,feeder_breaker,SUB-013,FDR-0061,33.588773,-112.050098,13.8,breaker,13.7,MW,ABC,,closed
FDR-0061-TAIL,feeder_endpoint,SUB-013,FDR-0061,33.7785,-112.129823,13.8,open_point,,,ABC,,open
FDR-0062-HEAD,feeder_breaker,SUB-014,FDR-0062,33.611683,-111.973114,13.8,breaker,16.8,MW,ABC,,closed
FDR-0062-TAIL,feeder_endpoint,SUB-014,FDR-0062,33.535502,-111.872643,13.8,open_point,,,ABC,,open
FDR-0063-HEAD,feeder_breaker,SUB-014,FDR-0063,33.611683,-111.973114,13.8,breaker,8.3,MW,ABC,,closed
FDR-0063-TAIL,feeder_endpoint,SUB-014,FDR-0063,33.64163,-111.885328,13.8,open_point,,,ABC,,open
FDR-0064-HEAD,feeder_breaker,SUB-014,FDR-0064,33.611683,-111.973114,13.8,breaker,19.8,MW,ABC,,closed
FDR-0064-TAIL,feeder_endpoint,SUB-014,FDR-0064,33.832155,-112.007828,13.8,open_point,,,ABC,,open
FDR-0065-HEAD,feeder_breaker,SUB-014,FDR-0065,33.611683,-111.973114,13.8,breaker,15.7,MW,ABC,,closed
FDR-0065-TAIL,feeder_endpoint,SUB-014,FDR-0065,33.654621,-112.150603,13.8,open_point,,,ABC,,open
FDR-0066-HEAD,feeder_breaker,SUB-014,FDR-0066,33.611683,-111.973114,13.8,breaker,10.5,MW,ABC,,closed
FDR-0066-TAIL,feeder_endpoint,SUB-014,FDR-0066,33.548927,-112.037423,13.8,open_point,,,ABC,,open
FDR-0067-HEAD,feeder_breaker,SUB-015,FDR-0067,33.602129,-111.852303,24.9,breaker,13.6,MW,ABC,,closed
FDR-0067-TAIL,feeder_endpoint,SUB-015,FDR-0067,33.517115,-111.834024,24.9,open_point,,,ABC,,open
FDR-0068-HEAD,feeder_breaker,SUB-015,FDR-0068,33.602129,-111.852303,24.9,breaker,8.8,MW,ABC,,closed
FDR-0068-TAIL,feeder_endpoint,SUB-015,FDR-0068,33.635999,-111.747495,24.9,open_point,,,ABC,,open
FDR-0069-HEAD,feeder_breaker,SUB-015,FDR-0069,33.602129,-111.852303,24.9,breaker,18.1,MW,ABC,,closed
FDR-0069-TAIL,feeder_endpoint,SUB-015,FDR-0069,33.848012,-111.893288,24.9,open_point,,,ABC,,open
FDR-0070-HEAD,feeder_breaker,SUB-015,FDR-0070,33.602129,-111.852303,24.9,breaker,19.4,MW,ABC,,closed
FDR-0070-TAIL,feeder_endpoint,SUB-015,FDR-0070,33.640793,-112.032254,24.9,open_point,,,ABC,,open
XFMR-000001,transformer,SUB-001,FDR-0001,33.305506,-112.239034,12.47,distribution_transformer,333,kVA,AC,,active
XFMR-000002,transformer,SUB-001,FDR-0001,33.30555,-112.238954,12.47,distribution_transformer,50,kVA,BC,,active
XFMR-000003,transformer,SUB-001,FDR-0001,33.306019,-112.238449,12.47,distribution_transformer,500,kVA,B,,active
XFMR-000004,transformer,SUB-001,FDR-0001,33.306152,-112.238278,12.47,distribution_transformer,15,kVA,ABC,,active
XFMR-000005,transformer,SUB-001,FDR-0001,33.306143,-112.238251,12.47,distribution_transformer,250,kVA,AC,,active
XFMR-000006,transformer,SUB-001,FDR-0001,33.306113,-112.238244,12.47,distribution_transformer,75,kVA,AC,,active
XFMR-000007,transformer,SUB-001,FDR-0001,33.306492,-112.237829,12.47,distribution_transformer,500,kVA,C,,active
XFMR-000008,transformer,SUB-001,FDR-0001,33.306663,-112.237622,12.47,distribution_transformer,75,kVA,ABC,,active
XFMR-000009,transformer,SUB-001,FDR-0001,33.306583,-112.237665,12.47,distribution_transformer,167,kVA,BC,,active
XFMR-000010,transformer,SUB-001,FDR-0001,33.30676,-112.237451,12.47,distribution_transformer,167,kVA,B,,active
XFMR-000011,transformer,SUB-001,FDR-0001,33.307052,-112.237123,12.47,distribution_transformer,50,kVA,BC,,active
XFMR-000012,transformer,SUB-001,FDR-0001,33.307255,-112.236884,12.47,distribution_transformer,167,kVA,BC,,active
XFMR-000013,transformer,SUB-001,FDR-0001,33.307246,-112.236856,12.47,distribution_transformer,10,kVA,A,,active
XFMR-000014,transformer,SUB-001,FDR-0001,33.307264,-112.236801,12.47,distribution_transformer,333,kVA,C,,active
XFMR-000015,transformer,SUB-001,FDR-0001,33.307807,-112.236222,12.47,distribution_transformer,250,kVA,C,,active
XFMR-000016,transformer,SUB-001,FDR-0001,33.307489,-112.236503,12.47,distribution_transformer,15,kVA,AC,,active
XFMR-000017,transformer,SUB-001,FDR-0001,33.308037,-112.235918,12.47,distribution_transformer,25,kVA,B,,active
XFMR-000018,transformer,SUB-001,FDR-0001,33.308182,-112.235737,12.47,distribution_transformer,250,kVA,BC,,active
XFMR-000019,transformer,SUB-001,FDR-0001,33.307941,-112.235941,12.47,distribution_transformer,50,kVA,A,,active
XFMR-000020,transformer,SUB-001,FDR-0001,33.308185,-112.235661,12.47,distribution_transformer,25,kVA,AC,,active
XFMR-000021,transformer,SUB-001,FDR-0001,33.308264,-112.235546,12.47,distribution_transformer,167,kVA,C,,active
XFMR-000022,transformer,SUB-001,FDR-0001,33.308397,-112.235375,12.47,distribution_transformer,15,kVA,AB,,active
XFMR-000023,transformer,SUB-001,FDR-0001,33.308272,-112.235464,12.47,distribution_transformer,25,kVA,ABC,,active
XFMR-000024,transformer,SUB-001,FDR-0001,33.308827,-112.234873,12.47,distribution_transformer,333,kVA,BC,,active
XFMR-000025,transformer,SUB-001,FDR-0001,33.308763,-112.2349,12.47,distribution_transformer,333,kVA,AB,,active
XFMR-000026,transformer,SUB-001,FDR-0001,33.309202,-112.234424,12.47,distribution_transformer,15,kVA,ABC,,active
XFMR-000027,transformer,SUB-001,FDR-0001,33.308804,-112.234786,12.47,distribution_transformer,37.5,kVA,B,,active
XFMR-000028,transformer,SUB-001,FDR-0001,33.309297,-112.234256,12.47,distribution_transformer,167,kVA,C,,active
XFMR-000029,transformer,SUB-001,FDR-0001,33.309434,-112.234083,12.47,distribution_transformer,167,kVA,A,,active
XFMR-000030,transformer,SUB-001,FDR-0001,33.309624,-112.233857,12.47,distribution_transformer,37.5,kVA,AB,,active
XFMR-000031,transformer,SUB-001,FDR-0001,33.309815,-112.233629,12.47,distribution_transformer,25,kVA,A,,active
XFMR-000032,transformer,SUB-001,FDR-0001,33.309893,-112.233514,12.47,distribution_transformer,50,kVA,AB,,active
XFMR-000033,transformer,SUB-001,FDR-0001,33.309769,-112.233601,12.47,distribution_transformer,50,kVA,BC,,active
XFMR-000034,transformer,SUB-001,FDR-0001,33.31019,-112.233144,12.47,distribution_transformer,75,kVA,BC,,active
XFMR-000035,transformer,SUB-001,FDR-0001,33.31019,-112.233108,12.47,distribution_transformer,333,kVA,BC,,active
XFMR-000036,transformer,SUB-001,FDR-0001,33.310372,-112.232889,12.47,distribution_transformer,25,kVA,AB,,active
XFMR-000037,transformer,SUB-001,FDR-0001,33.310305,-112.23292,12.47,distribution_transformer,167,kVA,A,,active
XFMR-000038,transformer,SUB-001,FDR-0001,33.310574,-112.232614,12.47,distribution_transformer,25,kVA,C,,active
XFMR-000039,transformer,SUB-001,FDR-0001,33.310868,-112.232284,12.47,distribution_transformer,250,kVA,A,,active
XFMR-000040,transformer,SUB-001,FDR-0001,33.310499,-112.232616,12.47,distribution_transformer,100,kVA,ABC,,active
XFMR-000041,transformer,SUB-001,FDR-0001,33.310591,-112.232487,12.47,distribution_transformer,250,kVA,C,,active
XFMR-000042,transformer,SUB-001,FDR-0001,33.310809,-112.232232,12.47,distribution_transformer,250,kVA,B,,active
XFMR-000043,transformer,SUB-001,FDR-0001,33.310833,-112.232172,12.47,distribution_transformer,500,kVA,BC,,active
XFMR-000044,transformer,SUB-001,FDR-0001,33.311276,-112.231692,12.47,distribution_transformer,15,kVA,B,,active
XFMR-000045,transformer,SUB-001,FDR-0001,33.311166,-112.231766,12.47,distribution_transformer,50,kVA,BC,,active
XFMR-000046,transformer,SUB-001,FDR-0001,33.311349,-112.231547,12.47,distribution_transformer,250,kVA,B,,active
XFMR-000047,transformer,SUB-001,FDR-0001,33.311859,-112.231,12.47,distribution_transformer,15,kVA,C,,active
XFMR-000048,transformer,SUB-001,FDR-0001,33.311461,-112.231361,12.47,distribution_transformer,50,kVA,ABC,,active
XFMR-000049,transformer,SUB-001,FDR-0001,33.311796,-112.23099,12.47,distribution_transformer,250,kVA,ABC,,active
XFMR-000050,transformer,SUB-001,FDR-0001,33.312306,-112.230443,12.47,distribution_transformer,37.5,kVA,BC,,active
XFMR-000051,transformer,SUB-001,FDR-0001,33.312293,-112.230419,12.47,distribution_transformer,100,kVA,AB,,active
XFMR-000052,transformer,SUB-001,FDR-0001,33.312554,-112.230122,12.47,distribution_transformer,75,kVA,ABC,,active
XFMR-000053,transformer,SUB-001,FDR-0001,33.312378,-112.230261,12.47,distribution_transformer,25,kVA,AB,,active
XFMR-000054,transformer,SUB-001,FDR-0001,33.312392,-112.230211,12.47,distribution_transformer,333,kVA,AC,,active
XFMR-000055,transformer,SUB-001,FDR-0001,33.312873,-112.229693,12.47,distribution_transformer,250,kVA,AB,,active
XFMR-000056,transformer,SUB-001,FDR-0001,33.312783,-112.229747,12.47,distribution_transformer,250,kVA,A,,active
XFMR-000057,transformer,SUB-001,FDR-0001,33.312792,-112.229702,12.47,distribution_transformer,37.5,kVA,AC,,active
XFMR-000058,transformer,SUB-001,FDR-0001,33.31317,-112.229286,12.47,distribution_transformer,15,kVA,AB,,active
XFMR-000059,transformer,SUB-001,FDR-0001,33.312904,-112.229516,12.47,distribution_transformer,10,kVA,C,,active
XFMR-000060,transformer,SUB-001,FDR-0001,33.313324,-112.229059,12.47,distribution_transformer,333,kVA,AC,,active
XFMR-000061,transformer,SUB-001,FDR-0001,33.313657,-112.22869,12.47,distribution_transformer,333,kVA,AC,,active
XFMR-000062,transformer,SUB-001,FDR-0001,33.31354,-112.228771,12.47,distribution_transformer,50,kVA,AB,,active
XFMR-000063,transformer,SUB-001,FDR-0001,33.313671,-112.228603,12.47,distribution_transformer,50,kVA,AC,,active
XFMR-000064,transformer,SUB-001,FDR-0001,33.314113,-112.228124,12.47,distribution_transformer,50,kVA,AC,,active
XFMR-000065,transformer,SUB-001,FDR-0001,33.313831,-112.22837,12.47,distribution_transformer,100,kVA,ABC,,active
XFMR-000066,transformer,SUB-001,FDR-0001,33.313994,-112.22817,12.47,distribution_transformer,50,kVA,AC,,active
XFMR-000067,transformer,SUB-001,FDR-0001,33.313912,-112.228216,12.47,distribution_transformer,500,kVA,ABC,,active
XFMR-000068,transformer,SUB-001,FDR-0001,33.314579,-112.227513,12.47,distribution_transformer,50,kVA,ABC,,active
