edge_id,from_node_id,to_node_id,feeder_id,substation_id,edge_type,conductor_type,phase,length_miles,length_ft,impedance_r_ohm_per_mile,impedance_x_ohm_per_mile,impedance_z0_ohm_per_mile,rated_amps,nominal_voltage_kv,num_phases,is_overhead,installation_year,status
EDGE-000011,JCT-FDR-0001-001,FUSE-XFMR-000005,FDR-0001,SUB-001,lateral_overhead,#4 CU,BC,0.005,28.5,1.4565,0.5068,1.007,100,12.47,2,1,,closed
EDGE-000012,FUSE-XFMR-000005,XFMR-000005,FDR-0001,SUB-001,lateral_overhead,#4 CU,BC,0.031,161.6,1.3547,0.5028,1.007,100,12.47,2,1,,closed
EDGE-000013,JCT-FDR-0001-001,FUSE-XFMR-000006,FDR-0001,SUB-001,lateral_overhead,4/0 AL,AB,0.007,37.2,0.2877,0.4587,0.3655,340,12.47,2,1,,closed
EDGE-000014,FUSE-XFMR-000006,XFMR-000006,FDR-0001,SUB-001,lateral_overhead,4/0 AL,AB,0.04,210.9,0.2757,0.4139,0.3655,340,12.47,2,1,,closed
EDGE-000015,JCT-FDR-0001-001,FUSE-XFMR-000007,FDR-0001,SUB-001,lateral_overhead,1/0 AL,AB,0.009,46.7,0.5844,0.5208,0.5345,230,12.47,2,1,,closed
EDGE-000016,FUSE-XFMR-000007,XFMR-000007,FDR-0001,SUB-001,lateral_overhead,1/0 AL,AB,0.05,264.8,0.5639,0.4528,0.5345,230,12.47,2,1,,closed
EDGE-000017,JCT-FDR-0001-001,FUSE-XFMR-000008,FDR-0001,SUB-001,lateral_underground,#4 CU,A,0.009,49.9,1.6158,0.4928,1.007,100,12.47,1,0,,closed
EDGE-000018,FUSE-XFMR-000008,XFMR-000008,FDR-0001,SUB-001,lateral_underground,#4 CU,A,0.054,282.7,1.419,0.5221,1.007,100,12.47,1,0,,closed
EDGE-000019,JCT-FDR-0001-001,FUSE-XFMR-000009,FDR-0001,SUB-001,lateral_overhead,4/0 AL,ABC,0.011,57.0,0.2979,0.4354,0.3655,340,12.47,3,1,,closed
EDGE-000020,FUSE-XFMR-000009,XFMR-000009,FDR-0001,SUB-001,lateral_overhead,4/0 AL,ABC,0.061,323.1,0.2782,0.397,0.3655,340,12.47,3,1,,closed
EDGE-000021,JCT-FDR-0001-001,FUSE-XFMR-000010,FDR-0001,SUB-001,lateral_overhead,4/0 AL,AB,0.012,65.7,0.3161,0.4481,0.3655,340,12.47,2,1,,closed
EDGE-000022,FUSE-XFMR-000010,XFMR-000010,FDR-0001,SUB-001,lateral_overhead,4/0 AL,AB,0.071,372.5,0.2823,0.4681,0.3655,340,12.47,2,1,,closed
EDGE-000023,JCT-FDR-0001-001,FUSE-XFMR-000011,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,A,0.013,69.7,0.8943,0.5073,0.6985,150,12.47,1,1,,closed
EDGE-000024,FUSE-XFMR-000011,XFMR-000011,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,A,0.075,394.9,0.9388,0.5401,0.6985,150,12.47,1,1,,closed
EDGE-000025,JCT-FDR-0001-001,FUSE-XFMR-000012,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,A,0.015,78.4,0.9498,0.5453,0.6985,150,12.47,1,1,,closed
EDGE-000026,FUSE-XFMR-000012,XFMR-000012,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,A,0.084,444.3,0.8594,0.453,0.6985,150,12.47,1,1,,closed
EDGE-000027,JCT-FDR-0001-001,FUSE-XFMR-000013,FDR-0001,SUB-001,lateral_underground,#2 ACSR,AC,0.016,84.0,0.8258,0.4927,0.6985,150,12.47,2,0,,closed
EDGE-000028,FUSE-XFMR-000013,XFMR-000013,FDR-0001,SUB-001,lateral_underground,#2 ACSR,AC,0.09,475.7,0.9055,0.5133,0.6985,150,12.47,2,0,,closed
EDGE-000029,JCT-FDR-0001-001,FUSE-XFMR-000014,FDR-0001,SUB-001,lateral_overhead,#4 CU,AB,0.017,91.9,1.6169,0.5559,1.007,100,12.47,2,1,,closed
EDGE-000030,FUSE-XFMR-000014,XFMR-000014,FDR-0001,SUB-001,lateral_overhead,#4 CU,AB,0.099,520.6,1.5426,0.4869,1.007,100,12.47,2,1,,closed
EDGE-000031,JCT-FDR-0001-001,FUSE-XFMR-000015,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,C,0.019,102.2,0.8975,0.5011,0.6985,150,12.47,1,1,,closed
EDGE-000032,FUSE-XFMR-000015,XFMR-000015,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,C,0.11,579.0,0.899,0.5491,0.6985,150,12.47,1,1,,closed
EDGE-000033,JCT-FDR-0001-001,FUSE-XFMR-000016,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,BC,0.021,110.1,0.8378,0.4523,0.6985,150,12.47,2,1,,closed
EDGE-000034,FUSE-XFMR-000016,XFMR-000016,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,BC,0.118,623.8,0.8425,0.5178,0.6985,150,12.47,2,1,,closed
EDGE-000035,JCT-FDR-0001-001,FUSE-XFMR-000017,FDR-0001,SUB-001,lateral_overhead,#4 CU,C,0.022,114.8,1.4735,0.4997,1.007,100,12.47,1,1,,closed
EDGE-000036,FUSE-XFMR-000017,XFMR-000017,FDR-0001,SUB-001,lateral_overhead,#4 CU,C,0.123,650.8,1.4981,0.4962,1.007,100,12.47,1,1,,closed
EDGE-000037,JCT-FDR-0001-001,FUSE-XFMR-000018,FDR-0001,SUB-001,lateral_overhead,4/0 AL,C,0.023,122.8,0.3051,0.4275,0.3655,340,12.47,1,1,,closed
EDGE-000038,FUSE-XFMR-000018,XFMR-000018,FDR-0001,SUB-001,lateral_overhead,4/0 AL,C,0.132,695.6,0.2779,0.4349,0.3655,340,12.47,1,1,,closed
EDGE-000039,JCT-FDR-0001-001,FUSE-XFMR-000019,FDR-0001,SUB-001,lateral_underground,4/0 AL,A,0.024,126.7,0.2863,0.3994,0.3655,340,12.47,1,0,,closed
EDGE-000040,FUSE-XFMR-000019,XFMR-000019,FDR-0001,SUB-001,lateral_underground,4/0 AL,A,0.136,718.1,0.304,0.4077,0.3655,340,12.47,1,0,,closed
EDGE-000041,JCT-FDR-0001-001,FUSE-XFMR-000020,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,BC,0.026,137.8,0.8195,0.5473,0.6985,150,12.47,2,1,,closed
EDGE-000042,FUSE-XFMR-000020,XFMR-000020,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,BC,0.148,780.9,0.8667,0.4647,0.6985,150,12.47,2,1,,closed
EDGE-000043,JCT-FDR-0001-001,FUSE-XFMR-000021,FDR-0001,SUB-001,lateral_overhead,1/0 AL,AB,0.027,140.2,0.6256,0.4427,0.5345,230,12.47,2,1,,closed
EDGE-000044,FUSE-XFMR-000021,XFMR-000021,FDR-0001,SUB-001,lateral_overhead,1/0 AL,AB,0.15,794.4,0.5497,0.4671,0.5345,230,12.47,2,1,,closed
EDGE-000045,JCT-FDR-0001-001,FUSE-XFMR-000022,FDR-0001,SUB-001,lateral_overhead,1/0 AL,ABC,0.028,148.9,0.5399,0.442,0.5345,230,12.47,3,1,,closed
EDGE-000046,FUSE-XFMR-000022,XFMR-000022,FDR-0001,SUB-001,lateral_overhead,1/0 AL,ABC,0.16,843.7,0.5709,0.4364,0.5345,230,12.47,3,1,,closed
EDGE-000047,JCT-FDR-0001-001,FUSE-XFMR-000023,FDR-0001,SUB-001,lateral_overhead,4/0 AL,A,0.029,155.2,0.3027,0.4227,0.3655,340,12.47,1,1,,closed
EDGE-000048,FUSE-XFMR-000023,XFMR-000023,FDR-0001,SUB-001,lateral_overhead,4/0 AL,A,0.167,879.6,0.2984,0.4717,0.3655,340,12.47,1,1,,closed
EDGE-000049,JCT-FDR-0001-001,FUSE-XFMR-000024,FDR-0001,SUB-001,lateral_overhead,1/0 AL,A,0.03,160.8,0.5711,0.4333,0.5345,230,12.47,1,1,,closed
EDGE-000050,FUSE-XFMR-000024,XFMR-000024,FDR-0001,SUB-001,lateral_overhead,1/0 AL,A,0.173,911.1,0.5368,0.4954,0.5345,230,12.47,1,1,,closed
EDGE-000051,JCT-FDR-0001-001,FUSE-XFMR-000025,FDR-0001,SUB-001,lateral_overhead,1/0 AL,ABC,0.032,167.9,0.6426,0.4379,0.5345,230,12.47,3,1,,closed
EDGE-000052,FUSE-XFMR-000025,XFMR-000025,FDR-0001,SUB-001,lateral_overhead,1/0 AL,ABC,0.18,951.5,0.5677,0.4754,0.5345,230,12.47,3,1,,closed
EDGE-000053,JCT-FDR-0001-001,FUSE-XFMR-000026,FDR-0001,SUB-001,lateral_overhead,#4 CU,AC,0.034,179.0,1.4641,0.5037,1.007,100,12.47,2,1,,closed
EDGE-000054,FUSE-XFMR-000026,XFMR-000026,FDR-0001,SUB-001,lateral_overhead,#4 CU,AC,0.192,1014.3,1.447,0.4659,1.007,100,12.47,2,1,,closed
EDGE-000055,JCT-FDR-0001-001,FUSE-XFMR-000027,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,BC,0.035,182.2,0.8658,0.5147,0.6985,150,12.47,2,1,,closed
EDGE-000056,FUSE-XFMR-000027,XFMR-000027,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,BC,0.196,1032.2,0.9732,0.4954,0.6985,150,12.47,2,1,,closed
EDGE-000057,JCT-FDR-0001-001,FUSE-XFMR-000028,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,C,0.036,191.7,0.8395,0.5107,0.6985,150,12.47,1,1,,closed
EDGE-000058,FUSE-XFMR-000028,XFMR-000028,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,C,0.206,1086.1,0.9121,0.4749,0.6985,150,12.47,1,1,,closed
EDGE-000059,JCT-FDR-0001-001,FUSE-XFMR-000029,FDR-0001,SUB-001,lateral_overhead,#4 CU,AB,0.037,195.6,1.6414,0.4953,1.007,100,12.47,2,1,,closed
EDGE-000060,FUSE-XFMR-000029,XFMR-000029,FDR-0001,SUB-001,lateral_overhead,#4 CU,AB,0.21,1108.5,1.3763,0.462,1.007,100,12.47,2,1,,closed
EDGE-000061,JCT-FDR-0001-001,FUSE-XFMR-000030,FDR-0001,SUB-001,lateral_overhead,4/0 AL,B,0.039,205.9,0.3069,0.4392,0.3655,340,12.47,1,1,,closed
EDGE-000062,FUSE-XFMR-000030,XFMR-000030,FDR-0001,SUB-001,lateral_overhead,4/0 AL,B,0.221,1166.9,0.2685,0.4262,0.3655,340,12.47,1,1,,closed
EDGE-000063,JCT-FDR-0001-001,FUSE-XFMR-000031,FDR-0001,SUB-001,lateral_overhead,4/0 AL,ABC,0.04,209.9,0.2981,0.4297,0.3655,340,12.47,3,1,,closed
EDGE-000064,FUSE-XFMR-000031,XFMR-000031,FDR-0001,SUB-001,lateral_overhead,4/0 AL,ABC,0.225,1189.3,0.3243,0.4184,0.3655,340,12.47,3,1,,closed
EDGE-000065,JCT-FDR-0001-001,FUSE-XFMR-000032,FDR-0001,SUB-001,lateral_overhead,1/0 AL,AC,0.041,218.6,0.628,0.4721,0.5345,230,12.47,2,1,,closed
EDGE-000066,FUSE-XFMR-000032,XFMR-000032,FDR-0001,SUB-001,lateral_overhead,1/0 AL,AC,0.235,1238.7,0.5495,0.5017,0.5345,230,12.47,2,1,,closed
EDGE-000067,JCT-FDR-0001-001,FUSE-XFMR-000033,FDR-0001,SUB-001,lateral_overhead,#4 CU,C,0.043,227.3,1.4124,0.4879,1.007,100,12.47,1,1,,closed
EDGE-000068,FUSE-XFMR-000033,XFMR-000033,FDR-0001,SUB-001,lateral_overhead,#4 CU,C,0.244,1288.1,1.3762,0.5314,1.007,100,12.47,1,1,,closed
EDGE-000069,JCT-FDR-0001-001,FUSE-XFMR-000034,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,A,0.044,232.8,0.8561,0.4805,0.6985,150,12.47,1,1,,closed
EDGE-000070,FUSE-XFMR-000034,XFMR-000034,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,A,0.25,1319.5,0.8355,0.5012,0.6985,150,12.47,1,1,,closed
EDGE-000071,JCT-FDR-0001-001,FUSE-XFMR-000035,FDR-0001,SUB-001,lateral_overhead,#4 CU,B,0.046,241.6,1.493,0.5362,1.007,100,12.47,1,1,,closed
EDGE-000072,FUSE-XFMR-000035,XFMR-000035,FDR-0001,SUB-001,lateral_overhead,#4 CU,B,0.259,1368.8,1.3923,0.5536,1.007,100,12.47,1,1,,closed
EDGE-000073,JCT-FDR-0001-001,FUSE-XFMR-000036,FDR-0001,SUB-001,lateral_overhead,#4 CU,ABC,0.046,245.5,1.3568,0.5092,1.007,100,12.47,3,1,,closed
EDGE-000074,FUSE-XFMR-000036,XFMR-000036,FDR-0001,SUB-001,lateral_overhead,#4 CU,ABC,0.264,1391.3,1.3904,0.5244,1.007,100,12.47,3,1,,closed
EDGE-000075,JCT-FDR-0001-001,FUSE-XFMR-000037,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,B,0.048,252.6,0.8654,0.5487,0.6985,150,12.47,1,1,,closed
EDGE-000076,FUSE-XFMR-000037,XFMR-000037,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,B,0.271,1431.7,0.9588,0.4566,0.6985,150,12.47,1,1,,closed
EDGE-000077,JCT-FDR-0001-001,FUSE-XFMR-000038,FDR-0001,SUB-001,lateral_underground,1/0 AL,ABC,0.05,262.2,0.5459,0.4808,0.5345,230,12.47,3,0,,closed
EDGE-000078,FUSE-XFMR-000038,XFMR-000038,FDR-0001,SUB-001,lateral_underground,1/0 AL,ABC,0.281,1485.5,0.6051,0.4418,0.5345,230,12.47,3,0,,closed
EDGE-000079,JCT-FDR-0001-001,FUSE-XFMR-000039,FDR-0001,SUB-001,lateral_underground,4/0 AL,AB,0.051,269.3,0.2717,0.3961,0.3655,340,12.47,2,0,,closed
EDGE-000080,FUSE-XFMR-000039,XFMR-000039,FDR-0001,SUB-001,lateral_underground,4/0 AL,AB,0.289,1525.9,0.2857,0.4064,0.3655,340,12.47,2,0,,closed
EDGE-000081,JCT-FDR-0001-001,FUSE-XFMR-000040,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,B,0.053,278.0,0.8402,0.4779,0.6985,150,12.47,1,1,,closed
EDGE-000082,FUSE-XFMR-000040,XFMR-000040,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,B,0.298,1575.3,0.8234,0.5201,0.6985,150,12.47,1,1,,closed
EDGE-000083,JCT-FDR-0001-001,FUSE-XFMR-000041,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,B,0.054,283.5,0.8942,0.4606,0.6985,150,12.47,1,1,,closed
EDGE-000084,FUSE-XFMR-000041,XFMR-000041,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,B,0.304,1606.7,0.9025,0.4659,0.6985,150,12.47,1,1,,closed
EDGE-000085,JCT-FDR-0001-001,FUSE-XFMR-000042,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,B,0.055,292.2,0.8356,0.5394,0.6985,150,12.47,1,1,,closed
EDGE-000086,FUSE-XFMR-000042,XFMR-000042,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,B,0.314,1656.1,0.8273,0.5434,0.6985,150,12.47,1,1,,closed
EDGE-000087,JCT-FDR-0001-001,FUSE-XFMR-000043,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,AC,0.056,295.4,0.8947,0.5076,0.6985,150,12.47,2,1,,closed
EDGE-000088,FUSE-XFMR-000043,XFMR-000043,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,AC,0.317,1674.0,0.9636,0.507,0.6985,150,12.47,2,1,,closed
EDGE-000089,JCT-FDR-0001-001,FUSE-XFMR-000044,FDR-0001,SUB-001,lateral_overhead,#4 CU,A,0.058,304.1,1.3788,0.4799,1.007,100,12.47,1,1,,closed
EDGE-000090,FUSE-XFMR-000044,XFMR-000044,FDR-0001,SUB-001,lateral_overhead,#4 CU,A,0.326,1723.4,1.5136,0.4913,1.007,100,12.47,1,1,,closed
EDGE-000091,JCT-FDR-0001-001,FUSE-XFMR-000045,FDR-0001,SUB-001,lateral_overhead,4/0 AL,AC,0.059,312.0,0.2813,0.4372,0.3655,340,12.47,2,1,,closed
EDGE-000092,FUSE-XFMR-000045,XFMR-000045,FDR-0001,SUB-001,lateral_overhead,4/0 AL,AC,0.335,1768.3,0.309,0.4319,0.3655,340,12.47,2,1,,closed
EDGE-000093,JCT-FDR-0001-001,JCT-FDR-0001-002,FDR-0001,SUB-001,primary_overhead,795 ACSR,ABC,0.33,1742.4,0.1426,0.4145,0.2424,700,12.47,3,1,,closed
EDGE-000094,JCT-FDR-0001-002,FUSE-XFMR-000046,FDR-0001,SUB-001,lateral_underground,#2 ACSR,ABC,0.002,7.9,0.9299,0.461,0.6985,150,12.47,3,0,,closed
EDGE-000095,FUSE-XFMR-000046,XFMR-000046,FDR-0001,SUB-001,lateral_underground,#2 ACSR,ABC,0.009,44.9,0.977,0.4866,0.6985,150,12.47,3,0,,closed
EDGE-000096,JCT-FDR-0001-002,FUSE-XFMR-000047,FDR-0001,SUB-001,lateral_overhead,#4 CU,ABC,0.002,10.3,1.4846,0.5029,1.007,100,12.47,3,1,,closed
EDGE-000097,FUSE-XFMR-000047,XFMR-000047,FDR-0001,SUB-001,lateral_overhead,#4 CU,ABC,0.011,58.3,1.6015,0.522,1.007,100,12.47,3,1,,closed
EDGE-000098,JCT-FDR-0001-002,FUSE-XFMR-000048,FDR-0001,SUB-001,lateral_overhead,1/0 AL,B,0.004,19.8,0.6182,0.4699,0.5345,230,12.47,1,1,,closed
EDGE-000099,FUSE-XFMR-000048,XFMR-000048,FDR-0001,SUB-001,lateral_overhead,1/0 AL,B,0.021,112.2,0.6078,0.4457,0.5345,230,12.47,1,1,,closed
EDGE-000100,JCT-FDR-0001-002,FUSE-XFMR-000049,FDR-0001,SUB-001,lateral_overhead,1/0 AL,B,0.004,23.0,0.5424,0.5214,0.5345,230,12.47,1,1,,closed
EDGE-000101,FUSE-XFMR-000049,XFMR-000049,FDR-0001,SUB-001,lateral_overhead,1/0 AL,B,0.025,130.2,0.5945,0.45,0.5345,230,12.47,1,1,,closed
EDGE-000102,JCT-FDR-0001-002,FUSE-XFMR-000050,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,ABC,0.006,34.1,0.8825,0.5402,0.6985,150,12.47,3,1,,closed
EDGE-000103,FUSE-XFMR-000050,XFMR-000050,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,ABC,0.037,193.0,0.898,0.5416,0.6985,150,12.47,3,1,,closed
EDGE-000104,JCT-FDR-0001-002,FUSE-XFMR-000051,FDR-0001,SUB-001,lateral_overhead,4/0 AL,BC,0.007,39.6,0.309,0.4398,0.3655,340,12.47,2,1,,closed
EDGE-000105,FUSE-XFMR-000051,XFMR-000051,FDR-0001,SUB-001,lateral_overhead,4/0 AL,BC,0.043,224.4,0.2914,0.4711,0.3655,340,12.47,2,1,,closed
EDGE-000106,JCT-FDR-0001-002,FUSE-XFMR-000052,FDR-0001,SUB-001,lateral_underground,#4 CU,BC,0.009,45.9,1.3671,0.557,1.007,100,12.47,2,0,,closed
EDGE-000107,FUSE-XFMR-000052,XFMR-000052,FDR-0001,SUB-001,lateral_underground,#4 CU,BC,0.049,260.3,1.5489,0.4721,1.007,100,12.47,2,0,,closed
EDGE-000108,JCT-FDR-0001-002,FUSE-XFMR-000053,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,AC,0.009,49.1,0.8337,0.5385,0.6985,150,12.47,2,1,,closed
EDGE-000109,FUSE-XFMR-000053,XFMR-000053,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,AC,0.053,278.3,0.9493,0.4744,0.6985,150,12.47,2,1,,closed
EDGE-000110,JCT-FDR-0001-002,FUSE-XFMR-000054,FDR-0001,SUB-001,lateral_overhead,4/0 AL,AC,0.011,59.4,0.3048,0.4016,0.3655,340,12.47,2,1,,closed
EDGE-000111,FUSE-XFMR-000054,XFMR-000054,FDR-0001,SUB-001,lateral_overhead,4/0 AL,AC,0.064,336.6,0.2842,0.4517,0.3655,340,12.47,2,1,,closed
EDGE-000112,JCT-FDR-0001-002,FUSE-XFMR-000055,FDR-0001,SUB-001,lateral_overhead,1/0 AL,BC,0.013,68.1,0.5413,0.4971,0.5345,230,12.47,2,1,,closed
EDGE-000113,FUSE-XFMR-000055,XFMR-000055,FDR-0001,SUB-001,lateral_overhead,1/0 AL,BC,0.073,386.0,0.5783,0.5126,0.5345,230,12.47,2,1,,closed
EDGE-000114,JCT-FDR-0001-002,FUSE-XFMR-000056,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,ABC,0.014,72.9,0.8524,0.5372,0.6985,150,12.47,3,1,,closed
EDGE-000115,FUSE-XFMR-000056,XFMR-000056,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,ABC,0.078,412.9,0.949,0.5327,0.6985,150,12.47,3,1,,closed
EDGE-000116,JCT-FDR-0001-002,FUSE-XFMR-000057,FDR-0001,SUB-001,lateral_overhead,1/0 AL,AB,0.015,79.2,0.6105,0.4653,0.5345,230,12.47,2,1,,closed
EDGE-000117,FUSE-XFMR-000057,XFMR-000057,FDR-0001,SUB-001,lateral_overhead,1/0 AL,AB,0.085,448.8,0.6477,0.5123,0.5345,230,12.47,2,1,,closed
EDGE-000118,JCT-FDR-0001-002,FUSE-XFMR-000058,FDR-0001,SUB-001,lateral_overhead,1/0 AL,AB,0.017,87.1,0.5746,0.4333,0.5345,230,12.47,2,1,,closed
EDGE-000119,FUSE-XFMR-000058,XFMR-000058,FDR-0001,SUB-001,lateral_overhead,1/0 AL,AB,0.093,493.7,0.5754,0.4571,0.5345,230,12.47,2,1,,closed
EDGE-000120,JCT-FDR-0001-002,FUSE-XFMR-000059,FDR-0001,SUB-001,lateral_overhead,#4 CU,A,0.018,95.0,1.38,0.4641,1.007,100,12.47,1,1,,closed
EDGE-000121,FUSE-XFMR-000059,XFMR-000059,FDR-0001,SUB-001,lateral_overhead,#4 CU,A,0.102,538.6,1.4999,0.5493,1.007,100,12.47,1,1,,closed
EDGE-000122,JCT-FDR-0001-002,FUSE-XFMR-000060,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,A,0.019,99.0,0.8401,0.5381,0.6985,150,12.47,1,1,,closed
EDGE-000123,FUSE-XFMR-000060,XFMR-000060,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,A,0.106,561.0,0.8592,0.4983,0.6985,150,12.47,1,1,,closed
EDGE-000124,JCT-FDR-0001-002,FUSE-XFMR-000061,FDR-0001,SUB-001,lateral_overhead,4/0 AL,C,0.02,105.3,0.32,0.4121,0.3655,340,12.47,1,1,,closed
EDGE-000125,FUSE-XFMR-000061,XFMR-000061,FDR-0001,SUB-001,lateral_overhead,4/0 AL,C,0.113,596.9,0.3111,0.4261,0.3655,340,12.47,1,1,,closed
EDGE-000126,JCT-FDR-0001-002,FUSE-XFMR-000062,FDR-0001,SUB-001,lateral_overhead,#4 CU,ABC,0.022,116.4,1.578,0.5059,1.007,100,12.47,3,1,,closed
EDGE-000127,FUSE-XFMR-000062,XFMR-000062,FDR-0001,SUB-001,lateral_overhead,#4 CU,ABC,0.125,659.7,1.3663,0.4954,1.007,100,12.47,3,1,,closed
EDGE-000128,JCT-FDR-0001-002,FUSE-XFMR-000063,FDR-0001,SUB-001,lateral_underground,4/0 AL,ABC,0.023,120.4,0.2728,0.4304,0.3655,340,12.47,3,0,,closed
EDGE-000129,FUSE-XFMR-000063,XFMR-000063,FDR-0001,SUB-001,lateral_underground,4/0 AL,ABC,0.129,682.2,0.2724,0.4253,0.3655,340,12.47,3,0,,closed
EDGE-000130,JCT-FDR-0001-002,FUSE-XFMR-000064,FDR-0001,SUB-001,lateral_overhead,1/0 AL,AC,0.025,129.9,0.5947,0.4411,0.5345,230,12.47,2,1,,closed
EDGE-000131,FUSE-XFMR-000064,XFMR-000064,FDR-0001,SUB-001,lateral_overhead,1/0 AL,AC,0.139,736.0,0.5387,0.5202,0.5345,230,12.47,2,1,,closed
EDGE-000132,JCT-FDR-0001-002,FUSE-XFMR-000065,FDR-0001,SUB-001,lateral_overhead,1/0 AL,B,0.025,133.8,0.5414,0.4611,0.5345,230,12.47,1,1,,closed
EDGE-000133,FUSE-XFMR-000065,XFMR-000065,FDR-0001,SUB-001,lateral_overhead,1/0 AL,B,0.144,758.5,0.5777,0.4312,0.5345,230,12.47,1,1,,closed
EDGE-000134,JCT-FDR-0001-002,FUSE-XFMR-000066,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,B,0.027,143.4,0.9565,0.5256,0.6985,150,12.47,1,1,,closed
EDGE-000135,FUSE-XFMR-000066,XFMR-000066,FDR-0001,SUB-001,lateral_overhead,#2 ACSR,B,0.154,812.3,0.8729,0.4606,0.6985,150,12.47,1,1,,closed
EDGE-000136,JCT-FDR-0001-002,FUSE-XFMR-000067,FDR-0001,SUB-001,lateral_overhead,#4 CU,B,0.028,147.3,1.4143,0.5547,1.007,100,12.47,1,1,,closed
EDGE-000137,FUSE-XFMR-000067,XFMR-000067,FDR-0001,SUB-001,lateral_overhead,#4 CU,B,0.158,834.8,1.4245,0.5353,1.007,100,12.47,1,1,,closed
EDGE-000138,JCT-FDR-0001-002,FUSE-XFMR-000068,FDR-0001,SUB-001,lateral_underground,4/0 AL,BC,0.03,157.6,0.3227,0.448,0.3655,340,12.47,2,0,,closed
