transformer_id,feeder_id,rated_kva,existing_der_kw,allocated_load_kw,thermal_hosting_capacity_kw,voltage_hosting_capacity_kw,limiting_factor,hosting_capacity_kw
XFMR-000103,FDR-0001,167.0,0,129.6,99.2,117.3,thermal,99.2
XFMR-000104,FDR-0001,15.0,17.9,10.5,0.7,0.0,voltage,0.0
XFMR-000105,FDR-0001,15.0,0,6.2,12.9,9.0,voltage,9.0
XFMR-000106,FDR-0001,25.0,4.5,14.0,17.0,7.0,voltage,7.0
XFMR-000107,FDR-0001,500.0,6.7,280.8,344.2,204.6,voltage,204.6
XFMR-000108,FDR-0001,100.0,6.6,47.7,59.0,36.3,voltage,36.3
XFMR-000109,FDR-0001,75.0,4.4,57.0,43.2,30.4,voltage,30.4
XFMR-000110,FDR-0001,25.0,0,17.4,17.7,10.0,voltage,10.0
XFMR-000111,FDR-0001,167.0,129.7,66.6,52.4,0.0,voltage,0.0
XFMR-000112,FDR-0001,50.0,486.3,37.1,0.0,0.0,voltage,0.0
XFMR-000113,FDR-0001,250.0,5.1,136.0,137.2,109.4,voltage,109.4
XFMR-000114,FDR-0001,500.0,0,336.2,275.3,215.8,voltage,215.8
XFMR-000115,FDR-0001,100.0,16.8,75.2,53.6,37.1,voltage,37.1
XFMR-000116,FDR-0001,15.0,17.2,6.3,2.3,0.0,voltage,0.0
XFMR-000117,FDR-0001,75.0,20.4,33.3,43.8,17.9,voltage,17.9
XFMR-000118,FDR-0001,25.0,0,16.5,15.9,11.3,voltage,11.3
XFMR-000119,FDR-0001,333.0,10.4,255.9,196.3,182.6,voltage,182.6
XFMR-000120,FDR-0001,250.0,11.6,94.2,174.6,98.7,voltage,98.7
XFMR-000121,FDR-0001,10.0,5.3,4.6,5.1,0.8,voltage,0.8
XFMR-000122,FDR-0001,333.0,0,161.6,259.8,140.4,voltage,140.4
XFMR-000123,FDR-0001,250.0,0,156.4,187.8,89.4,voltage,89.4
XFMR-000124,FDR-0001,25.0,6.2,8.0,14.5,7.7,voltage,7.7
XFMR-000125,FDR-0001,37.5,8.6,18.2,20.5,9.5,voltage,9.5
XFMR-000126,FDR-0001,167.0,9.9,107.2,99.7,77.3,voltage,77.3
XFMR-000127,FDR-0001,15.0,0,5.4,12.9,6.6,voltage,6.6
XFMR-000128,FDR-0001,75.0,10.8,47.7,45.7,27.5,voltage,27.5
XFMR-000129,FDR-0001,10.0,9.7,3.6,2.9,0.0,voltage,0.0
XFMR-000130,FDR-0001,50.0,0,32.7,33.1,16.6,voltage,16.6
XFMR-000131,FDR-0001,25.0,54.0,12.5,0.0,0.0,voltage,0.0
XFMR-000132,FDR-0001,25.0,384.1,13.7,0.0,0.0,voltage,0.0
XFMR-000133,FDR-0001,37.5,154.9,21.7,0.0,0.0,voltage,0.0
XFMR-000134,FDR-0001,25.0,11.8,18.7,9.3,4.4,voltage,4.4
XFMR-000135,FDR-0001,25.0,6.0,8.9,18.6,6.3,voltage,6.3
XFMR-000136,FDR-0001,500.0,0,187.3,442.5,226.9,voltage,226.9
XFMR-000137,FDR-0001,167.0,9.3,86.0,100.7,82.0,voltage,82.0
XFMR-000138,FDR-0001,50.0,0,36.3,28.5,22.2,voltage,22.2
XFMR-000139,FDR-0001,37.5,314.0,15.9,0.0,0.0,voltage,0.0
XFMR-000140,FDR-0001,100.0,23.3,64.1,50.3,31.8,voltage,31.8
XFMR-000141,FDR-0001,50.0,316.0,32.7,0.0,0.0,voltage,0.0
XFMR-000142,FDR-0001,37.5,8.4,26.2,17.1,15.5,voltage,15.5
XFMR-000143,FDR-0001,167.0,7.0,97.7,123.1,64.6,voltage,64.6
XFMR-000144,FDR-0001,250.0,78.7,118.8,125.2,80.4,voltage,80.4
XFMR-000145,FDR-0001,333.0,20.7,141.9,246.9,127.6,voltage,127.6
XFMR-000146,FDR-0001,50.0,31.7,34.1,19.6,6.1,voltage,6.1
XFMR-000147,FDR-0001,75.0,0,46.4,40.0,27.5,voltage,27.5
XFMR-000148,FDR-0001,333.0,25.4,247.8,165.3,166.4,thermal,165.3
XFMR-000149,FDR-0001,250.0,3.4,116.8,140.7,162.5,thermal,140.7
XFMR-000150,FDR-0001,10.0,0,5.7,6.8,4.5,voltage,4.5
XFMR-000151,FDR-0001,75.0,0,56.4,38.1,36.6,voltage,36.6
XFMR-000152,FDR-0001,333.0,0,207.4,214.6,168.9,voltage,168.9
XFMR-000153,FDR-0001,500.0,0,211.8,383.2,167.9,voltage,167.9
XFMR-000154,FDR-0001,333.0,0,234.0,220.8,163.5,voltage,163.5
XFMR-000155,FDR-0001,25.0,13.5,13.9,11.4,1.9,voltage,1.9
XFMR-000156,FDR-0001,37.5,28.0,22.2,12.7,0.0,voltage,0.0
XFMR-000157,FDR-0001,250.0,9.4,160.3,149.9,87.4,voltage,87.4
XFMR-000158,FDR-0001,500.0,294.9,286.4,169.8,0.0,voltage,0.0
XFMR-000159,FDR-0001,500.0,0,289.9,304.0,213.0,voltage,213.0
XFMR-000160,FDR-0001,37.5,5.8,21.1,26.1,14.0,voltage,14.0
XFMR-000161,FDR-0001,250.0,4.9,182.6,165.5,92.0,voltage,92.0
XFMR-000162,FDR-0001,75.0,79.1,54.0,6.8,0.0,voltage,0.0
XFMR-000163,FDR-0001,167.0,0,59.0,139.9,97.5,voltage,97.5
XFMR-000164,FDR-0001,25.0,502.9,8.6,0.0,0.0,voltage,0.0
XFMR-000165,FDR-0001,10.0,7.6,4.3,3.8,0.0,voltage,0.0
XFMR-000166,FDR-0001,10.0,10.9,4.9,1.8,0.0,voltage,0.0
XFMR-000167,FDR-0001,500.0,0,257.8,382.8,280.5,voltage,280.5
XFMR-000168,FDR-0001,500.0,0,277.2,360.0,200.7,voltage,200.7
XFMR-000169,FDR-0001,100.0,15.4,52.7,60.6,38.5,voltage,38.5
XFMR-000170,FDR-0001,10.0,5.5,6.8,4.0,0.9,voltage,0.9
XFMR-000171,FDR-0001,167.0,12.7,76.7,123.6,100.7,voltage,100.7
XFMR-000172,FDR-0001,75.0,10.0,32.4,45.0,21.4,voltage,21.4
XFMR-000173,FDR-0001,50.0,140.6,17.8,0.0,0.0,voltage,0.0
XFMR-000174,FDR-0001,250.0,0,177.1,175.6,118.5,voltage,118.5
XFMR-000175,FDR-0001,75.0,11.5,36.1,56.1,39.7,voltage,39.7
XFMR-000176,FDR-0001,50.0,0,28.4,31.3,35.5,thermal,31.3
XFMR-000177,FDR-0001,167.0,0,90.4,96.0,76.8,voltage,76.8
XFMR-000178,FDR-0001,15.0,17.5,7.0,2.0,0.0,voltage,0.0
XFMR-000179,FDR-0001,25.0,139.1,19.4,0.0,0.0,voltage,0.0
XFMR-000180,FDR-0001,37.5,509.4,15.3,0.0,0.0,voltage,0.0
XFMR-000181,FDR-0001,10.0,6.6,4.2,3.5,0.1,voltage,0.1
XFMR-000182,FDR-0001,15.0,0,4.9,12.7,6.3,voltage,6.3
XFMR-000183,FDR-0001,167.0,77.7,96.1,76.6,52.9,voltage,52.9
XFMR-000184,FDR-0001,10.0,255.4,7.8,0.0,0.0,voltage,0.0
XFMR-000185,FDR-0001,75.0,209.7,54.5,0.0,0.0,voltage,0.0
XFMR-000186,FDR-0001,10.0,0,5.1,7.5,5.5,voltage,5.5
XFMR-000187,FDR-0001,75.0,216.7,54.4,0.0,0.0,voltage,0.0
XFMR-000188,FDR-0001,500.0,38.3,397.2,310.2,286.2,voltage,286.2
XFMR-000189,FDR-0001,37.5,0,22.3,29.7,11.3,voltage,11.3
XFMR-000190,FDR-0001,250.0,0,179.8,167.0,174.8,thermal,167.0
XFMR-000191,FDR-0001,10.0,6.8,7.7,3.2,0.0,voltage,0.0
XFMR-000192,FDR-0001,167.0,0,69.0,137.7,62.9,voltage,62.9
XFMR-000193,FDR-0001,10.0,0,6.8,5.2,5.3,thermal,5.2
XFMR-000194,FDR-0001,37.5,8.5,18.0,21.2,9.6,voltage,9.6
XFMR-000195,FDR-0001,250.0,263.5,172.7,32.3,0.0,voltage,0.0
XFMR-000196,FDR-0001,500.0,29.4,223.5,294.1,283.7,voltage,283.7
XFMR-000197,FDR-0001,100.0,0,76.0,73.9,46.8,voltage,46.8
XFMR-000198,FDR-0001,10.0,144.0,7.7,0.0,0.0,voltage,0.0
XFMR-000199,FDR-0001,37.5,10.8,19.3,22.3,11.2,voltage,11.2
XFMR-000200,FDR-0001,10.0,0,3.9,8.6,5.5,voltage,5.5
XFMR-000201,FDR-0001,333.0,0,184.3,240.2,128.3,voltage,128.3
XFMR-000202,FDR-0001,37.5,10.2,23.8,17.0,12.0,voltage,12.0
XFMR-000203,FDR-0001,37.5,0,11.5,33.6,22.3,voltage,22.3
XFMR-000204,FDR-0001,50.0,22.9,19.3,29.1,3.7,voltage,3.7
XFMR-000205,FDR-0001,37.5,5.5,22.4,21.0,12.0,voltage,12.0
XFMR-000206,FDR-0001,10.0,7.5,5.5,3.4,0.2,voltage,0.2
XFMR-000207,FDR-0001,167.0,0,99.3,131.1,103.3,voltage,103.3
XFMR-000208,FDR-0001,167.0,79.9,125.3,61.7,10.0,voltage,10.0
XFMR-000209,FDR-0001,250.0,0,131.6,190.1,136.6,voltage,136.6
XFMR-000210,FDR-0001,15.0,8.8,7.3,7.0,3.7,voltage,3.7
XFMR-000211,FDR-0001,500.0,0,273.0,386.4,158.5,voltage,158.5
XFMR-000212,FDR-0001,250.0,14.9,110.2,188.0,132.6,voltage,132.6
XFMR-000213,FDR-0001,15.0,9.8,4.7,6.2,0.0,voltage,0.0
XFMR-000214,FDR-0001,50.0,0,28.9,31.5,22.1,voltage,22.1
XFMR-000215,FDR-0001,37.5,0,26.9,21.7,24.6,thermal,21.7
XFMR-000216,FDR-0001,100.0,0,70.2,65.3,30.7,voltage,30.7
XFMR-000217,FDR-0001,100.0,9.9,77.5,57.9,33.5,voltage,33.5
XFMR-000218,FDR-0001,37.5,0,24.0,26.9,24.1,voltage,24.1
XFMR-000219,FDR-0001,250.0,6.4,163.8,178.5,129.3,voltage,129.3
XFMR-000220,FDR-0001,100.0,0,77.4,56.4,66.7,thermal,56.4
XFMR-000221,FDR-0001,500.0,4.5,204.2,290.5,206.6,voltage,206.6
XFMR-000222,FDR-0001,250.0,0,129.2,202.0,111.4,voltage,111.4
XFMR-000223,FDR-0001,333.0,19.5,165.3,266.0,155.9,voltage,155.9
XFMR-000224,FDR-0001,167.0,0,59.4,133.2,92.1,voltage,92.1
XFMR-000225,FDR-0001,15.0,26.2,6.5,0.0,0.0,voltage,0.0
XFMR-000226,FDR-0001,500.0,0,318.1,322.5,282.0,voltage,282.0
XFMR-000227,FDR-0001,167.0,0,119.7,95.5,86.5,voltage,86.5
XFMR-000228,FDR-0001,15.0,10.1,7.8,6.2,0.0,voltage,0.0
XFMR-000229,FDR-0001,100.0,0,75.8,70.8,54.1,voltage,54.1
XFMR-000230,FDR-0001,333.0,11.9,167.5,218.1,133.2,voltage,133.2
XFMR-000231,FDR-0001,167.0,0,100.8,118.9,98.1,voltage,98.1
XFMR-000232,FDR-0001,75.0,9.9,28.4,48.5,20.8,voltage,20.8
XFMR-000233,FDR-0001,25.0,8.8,8.7,16.7,6.9,voltage,6.9
XFMR-000234,FDR-0001,167.0,0,128.0,86.9,80.5,voltage,80.5
XFMR-000235,FDR-0001,167.0,0,66.2,133.3,74.4,voltage,74.4
XFMR-000236,FDR-0001,333.0,0,190.5,268.3,118.6,voltage,118.6
XFMR-000237,FDR-0001,15.0,0,7.2,11.9,8.1,voltage,8.1
XFMR-000238,FDR-0001,167.0,10.9,91.0,107.1,60.7,voltage,60.7
XFMR-000239,FDR-0001,500.0,8.5,322.3,275.1,157.0,voltage,157.0
XFMR-000240,FDR-0001,100.0,0,38.5,78.9,60.2,voltage,60.2
XFMR-000241,FDR-0001,250.0,0,132.2,184.9,112.9,voltage,112.9
XFMR-000242,FDR-0001,37.5,6.8,25.2,24.5,14.7,voltage,14.7
XFMR-000243,FDR-0001,75.0,0,36.5,60.9,46.5,voltage,46.5
XFMR-000244,FDR-0001,167.0,0,126.5,93.8,114.2,thermal,93.8
XFMR-000245,FDR-0001,10.0,3.6,6.2,4.3,2.1,voltage,2.1
XFMR-000246,FDR-0001,75.0,0,52.3,43.1,40.6,voltage,40.6
XFMR-000247,FDR-0001,167.0,441.2,87.3,0.0,0.0,voltage,0.0
XFMR-000248,FDR-0001,10.0,0,7.8,6.4,3.6,voltage,3.6
XFMR-000249,FDR-0001,250.0,0,175.9,160.6,116.4,voltage,116.4
XFMR-000250,FDR-0001,500.0,8.0,354.7,295.5,233.3,voltage,233.3
XFMR-000251,FDR-0001,167.0,0,127.6,84.8,73.0,voltage,73.0
XFMR-000252,FDR-0001,333.0,6.3,122.3,266.5,200.8,voltage,200.8
XFMR-000253,FDR-0001,250.0,499.2,111.7,0.0,0.0,voltage,0.0
XFMR-000254,FDR-0001,75.0,0,41.9,58.4,49.3,voltage,49.3
XFMR-000255,FDR-0001,333.0,10.9,115.8,287.0,149.8,voltage,149.8
XFMR-000256,FDR-0001,25.0,3.4,11.7,14.3,9.6,voltage,9.6
XFMR-000257,FDR-0001,100.0,0,75.5,69.7,47.5,voltage,47.5
XFMR-000258,FDR-0001,250.0,0,140.9,182.2,107.0,voltage,107.0
XFMR-000259,FDR-0001,75.0,0,37.3,54.3,33.9,voltage,33.9
XFMR-000260,FDR-0001,100.0,15.8,56.6,68.1,43.9,voltage,43.9
XFMR-000261,FDR-0001,333.0,0,241.9,222.1,154.8,voltage,154.8
XFMR-000262,FDR-0001,167.0,0,133.4,109.7,62.9,voltage,62.9
XFMR-000263,FDR-0001,250.0,0,190.2,165.8,125.6,voltage,125.6
XFMR-000264,FDR-0001,50.0,0,20.2,35.1,20.6,voltage,20.6
XFMR-000265,FDR-0001,15.0,13.4,8.8,4.1,0.0,voltage,0.0
XFMR-000266,FDR-0001,25.0,4.9,18.5,11.9,10.1,voltage,10.1
XFMR-000267,FDR-0001,333.0,0,156.4,251.6,150.9,voltage,150.9
XFMR-000268,FDR-0001,25.0,127.4,13.1,0.0,0.0,voltage,0.0
XFMR-000269,FDR-0001,37.5,0,20.4,23.4,20.9,voltage,20.9
XFMR-000270,FDR-0001,500.0,0,383.1,323.9,308.5,voltage,308.5
XFMR-000271,FDR-0001,100.0,0,49.1,65.3,45.1,voltage,45.1
XFMR-000272,FDR-0001,15.0,11.8,5.8,4.8,0.0,voltage,0.0
XFMR-000273,FDR-0001,37.5,13.1,12.5,17.7,10.5,voltage,10.5
XFMR-000274,FDR-0001,333.0,168.7,164.1,163.9,80.9,voltage,80.9
XFMR-000275,FDR-0001,10.0,17.8,5.8,0.0,0.0,voltage,0.0
XFMR-000276,FDR-0001,25.0,0,19.2,17.2,10.7,voltage,10.7
XFMR-000277,FDR-0001,75.0,6.9,29.1,51.0,21.9,voltage,21.9
XFMR-000278,FDR-0001,100.0,4.6,56.3,76.7,38.6,voltage,38.6
XFMR-000279,FDR-0001,250.0,0,172.4,133.8,98.7,voltage,98.7
XFMR-000280,FDR-0001,25.0,17.3,18.7,7.0,0.0,voltage,0.0
XFMR-000281,FDR-0001,75.0,0,36.6,55.1,45.6,voltage,45.6
XFMR-000282,FDR-0001,500.0,8.9,197.6,334.8,218.8,voltage,218.8
XFMR-000283,FDR-0001,167.0,0,110.5,124.7,90.5,voltage,90.5
XFMR-000284,FDR-0001,37.5,221.7,24.1,0.0,0.0,voltage,0.0
XFMR-000285,FDR-0001,75.0,0,47.3,40.3,38.0,voltage,38.0
XFMR-000286,FDR-0001,10.0,0,7.4,7.5,4.0,voltage,4.0
XFMR-000287,FDR-0001,50.0,5.9,19.7,32.7,13.9,voltage,13.9
XFMR-000288,FDR-0001,250.0,0,152.4,150.3,170.5,thermal,150.3
XFMR-000289,FDR-0001,75.0,0,54.0,45.4,33.8,voltage,33.8
XFMR-000290,FDR-0001,37.5,11.0,25.9,21.0,4.7,voltage,4.7
XFMR-000291,FDR-0001,100.0,4.7,47.4,80.9,49.7,voltage,49.7
XFMR-000292,FDR-0001,15.0,17.6,5.5,2.6,0.0,voltage,0.0
XFMR-000293,FDR-0001,100.0,13.1,62.7,58.3,45.7,voltage,45.7
XFMR-000294,FDR-0001,10.0,16.1,4.1,0.0,0.0,voltage,0.0
XFMR-000295,FDR-0001,500.0,0,175.7,422.0,343.9,voltage,343.9
XFMR-000296,FDR-0001,167.0,0,101.9,102.0,84.4,voltage,84.4
XFMR-000297,FDR-0001,15.0,206.3,8.4,0.0,0.0,voltage,0.0
XFMR-000298,FDR-0001,167.0,0,118.6,122.3,88.2,voltage,88.2
XFMR-000299,FDR-0001,50.0,314.1,16.4,0.0,0.0,voltage,0.0
XFMR-000300,FDR-0001,10.0,0,3.3,7.7,4.7,voltage,4.7
XFMR-000301,FDR-0001,25.0,0,13.6,16.4,11.9,voltage,11.9
XFMR-000302,FDR-0001,37.5,0,17.1,25.8,17.7,voltage,17.7
XFMR-000303,FDR-0001,25.0,0,13.3,18.5,12.1,voltage,12.1
XFMR-000304,FDR-0001,75.0,4.9,40.7,51.2,37.1,voltage,37.1
XFMR-000305,FDR-0001,333.0,7.5,123.4,214.8,190.0,voltage,190.0
XFMR-000306,FDR-0001,250.0,20.3,178.6,141.5,146.6,thermal,141.5
XFMR-000307,FDR-0001,500.0,0,250.6,371.0,230.2,voltage,230.2
XFMR-000308,FDR-0001,15.0,0,7.9,9.5,6.7,voltage,6.7
XFMR-000309,FDR-0001,50.0,3.3,17.9,37.4,20.2,voltage,20.2
XFMR-000310,FDR-0001,15.0,4.4,10.3,6.6,2.6,voltage,2.6
XFMR-000311,FDR-0001,100.0,236.2,52.4,0.0,0.0,voltage,0.0
XFMR-000312,FDR-0001,75.0,11.8,56.2,41.7,32.1,voltage,32.1
XFMR-000313,FDR-0001,25.0,8.0,13.6,11.2,5.1,voltage,5.1
XFMR-000314,FDR-0001,37.5,0,18.1,22.4,17.6,voltage,17.6
XFMR-000315,FDR-0001,333.0,13.5,138.9,262.1,218.5,voltage,218.5
XFMR-000316,FDR-0001,100.0,7.6,30.2,63.0,46.5,voltage,46.5
XFMR-000317,FDR-0001,100.0,0,64.8,55.4,40.5,voltage,40.5
XFMR-000318,FDR-0001,25.0,0,13.2,14.5,10.9,voltage,10.9
XFMR-000319,FDR-0001,500.0,9.7,348.7,261.9,197.0,voltage,197.0
XFMR-000320,FDR-0001,15.0,301.8,5.9,0.0,0.0,voltage,0.0
XFMR-000321,FDR-0001,15.0,12.7,7.6,3.4,0.0,voltage,0.0
XFMR-000322,FDR-0001,167.0,0,55.8,136.7,91.6,voltage,91.6
XFMR-000323,FDR-0001,50.0,339.9,36.3,0.0,0.0,voltage,0.0
XFMR-000324,FDR-0001,167.0,0,117.1,128.1,86.3,voltage,86.3
XFMR-000325,FDR-0001,500.0,18.8,188.3,373.9,194.8,voltage,194.8
XFMR-000326,FDR-0001,167.0,10.1,79.5,121.9,99.5,voltage,99.5
XFMR-000327,FDR-0001,10.0,0,6.0,5.7,5.4,voltage,5.4
XFMR-000328,FDR-0001,333.0,0,248.7,178.5,165.5,voltage,165.5
