charger_id,customer_id,transformer_id,feeder_id,substation_id,latitude,longitude,charger_type,power_kw,connector,install_date,network,status
EV-000053,CUST-0000627,XFMR-000102,FDR-0001,SUB-001,33.527712,-112.156258,Level 2,11.5,J1772,2022-08-01,ChargePoint,active
EV-000054,CUST-0000645,XFMR-000104,FDR-0001,SUB-001,33.528457,-112.15634,DCFC,50,CCS,2020-02-01,Electrify America,active
EV-000055,CUST-0000673,XFMR-000108,FDR-0001,SUB-001,33.527802,-112.157663,Level 1,1.4,NEMA 5-15,2023-09-01,Blink,active
EV-000056,CUST-0000678,XFMR-000109,FDR-0001,SUB-001,33.527795,-112.157472,Level 2,19.2,J1772,2022-08-01,Tesla,active
EV-000057,CUST-0000692,XFMR-000112,FDR-0001,SUB-001,33.528332,-112.157597,Level 2,11.5,J1772,2021-04-01,private,active
EV-000058,CUST-0000730,XFMR-000117,FDR-0001,SUB-001,33.528422,-112.158686,Level 2,19.2,J1772,2024-05-01,Electrify America,active
EV-000059,CUST-0000731,XFMR-000117,FDR-0001,SUB-001,33.528529,-112.158273,Level 2,19.2,J1772,2022-09-01,Electrify America,active
EV-000060,CUST-0000748,XFMR-000120,FDR-0001,SUB-001,33.528002,-112.159014,Level 2,11.5,J1772,2019-06-01,Electrify America,active
EV-000061,CUST-0000753,XFMR-000122,FDR-0001,SUB-001,33.527759,-112.159308,Level 2,11.5,J1772,2022-01-01,ChargePoint,active
EV-000062,CUST-0000762,XFMR-000122,FDR-0001,SUB-001,33.528292,-112.159531,Level 2,11.5,J1772,2023-09-01,Blink,active
EV-000063,CUST-0000774,XFMR-000125,FDR-0001,SUB-001,33.528327,-112.159271,Level 2,11.5,J1772,2021-05-01,Blink,active
EV-000064,CUST-0000780,XFMR-000126,FDR-0001,SUB-001,33.528262,-112.159573,Level 2,19.2,J1772,2020-11-01,ChargePoint,active
EV-000065,CUST-0000813,XFMR-000130,FDR-0001,SUB-001,33.527911,-112.160494,Level 2,19.2,J1772,2019-10-01,EVgo,active
EV-000066,CUST-0000848,XFMR-000133,FDR-0001,SUB-001,33.52827,-112.161072,Level 2,7.7,J1772,2019-02-01,ChargePoint,active
EV-000067,CUST-0000850,XFMR-000133,FDR-0001,SUB-001,33.528268,-112.160465,Level 2,19.2,J1772,2019-05-01,EVgo,active
EV-000068,CUST-0000855,XFMR-000133,FDR-0001,SUB-001,33.527954,-112.160481,Level 2,19.2,J1772,2023-03-01,private,offline
EV-000069,CUST-0000856,XFMR-000134,FDR-0001,SUB-001,33.528333,-112.160426,Level 2,11.5,J1772,2021-03-01,Electrify America,active
EV-000070,CUST-0000897,XFMR-000140,FDR-0001,SUB-001,33.528423,-112.16168,Level 1,1.4,NEMA 5-15,2023-10-01,Blink,active
EV-000071,CUST-0000908,XFMR-000141,FDR-0001,SUB-001,33.528271,-112.161151,Level 2,7.7,J1772,2024-07-01,EVgo,active
EV-000072,CUST-0000912,XFMR-000141,FDR-0001,SUB-001,33.528174,-112.161168,Level 2,19.2,J1772,2021-07-01,private,active
EV-000073,CUST-0000959,XFMR-000149,FDR-0001,SUB-001,33.528094,-112.162388,Level 2,11.5,J1772,2023-10-01,ChargePoint,offline
EV-000074,CUST-0001031,XFMR-000161,FDR-0001,SUB-001,33.528418,-112.164412,Level 2,7.7,J1772,2024-11-01,EVgo,active
EV-000075,CUST-0001045,XFMR-000163,FDR-0001,SUB-001,33.528451,-112.164429,Level 2,11.5,J1772,2020-11-01,Electrify America,active
EV-000076,CUST-0001054,XFMR-000164,FDR-0001,SUB-001,33.528364,-112.164895,Level 2,7.7,J1772,2022-01-01,Electrify America,active
EV-000077,CUST-0001060,XFMR-000165,FDR-0001,SUB-001,33.528283,-112.164463,Level 1,1.4,NEMA 5-15,2023-09-01,Blink,active
EV-000078,CUST-0001068,XFMR-000166,FDR-0001,SUB-001,33.528307,-112.164391,Level 1,1.4,NEMA 5-15,2020-06-01,Blink,active
EV-000079,CUST-0001083,XFMR-000169,FDR-0001,SUB-001,33.528336,-112.164674,Level 1,1.4,NEMA 5-15,2020-08-01,Electrify America,active
EV-000080,CUST-0001126,XFMR-000174,FDR-0001,SUB-001,33.52854,-112.166165,Level 2,19.2,J1772,2021-08-01,Blink,active
EV-000081,CUST-0001128,XFMR-000175,FDR-0001,SUB-001,33.528519,-112.166257,Level 2,19.2,J1772,2021-11-01,private,active
EV-000082,CUST-0001129,XFMR-000175,FDR-0001,SUB-001,33.528465,-112.166291,Level 2,7.7,J1772,2020-08-01,ChargePoint,active
EV-000083,CUST-0001135,XFMR-000176,FDR-0001,SUB-001,33.527934,-112.166455,Level 2,19.2,J1772,2020-10-01,Electrify America,active
EV-000084,CUST-0001137,XFMR-000176,FDR-0001,SUB-001,33.528355,-112.166039,Level 2,7.7,J1772,2019-08-01,Electrify America,active
EV-000085,CUST-0001146,XFMR-000178,FDR-0001,SUB-001,33.528485,-112.166182,Level 2,19.2,J1772,2021-02-01,Electrify America,active
EV-000086,CUST-0001152,XFMR-000178,FDR-0001,SUB-001,33.528336,-112.166262,Level 2,11.5,J1772,2020-02-01,Tesla,active
EV-000087,CUST-0001153,XFMR-000179,FDR-0001,SUB-001,33.528509,-112.166185,DCFC,50,CCS,2021-07-01,Blink,active
EV-000088,CUST-0001158,XFMR-000179,FDR-0001,SUB-001,33.528004,-112.166184,Level 1,1.4,NEMA 5-15,2022-04-01,ChargePoint,active
EV-000089,CUST-0001163,XFMR-000179,FDR-0001,SUB-001,33.528343,-112.166137,DCFC,150,CCS,2020-03-01,ChargePoint,active
EV-000090,CUST-0001180,XFMR-000181,FDR-0001,SUB-001,33.527872,-112.166456,Level 1,1.4,NEMA 5-15,2022-08-01,Tesla,active
EV-000091,CUST-0001184,XFMR-000181,FDR-0001,SUB-001,33.527739,-112.166814,Level 1,1.4,NEMA 5-15,2020-04-01,Tesla,active
EV-000092,CUST-0001210,XFMR-000185,FDR-0001,SUB-001,33.528459,-112.167705,Level 2,7.7,J1772,2022-05-01,Tesla,active
EV-000093,CUST-0001211,XFMR-000186,FDR-0001,SUB-001,33.52825,-112.167675,Level 2,19.2,J1772,2023-09-01,Electrify America,active
EV-000094,CUST-0001265,XFMR-000195,FDR-0001,SUB-001,33.528274,-112.168518,Level 2,19.2,J1772,2020-07-01,ChargePoint,active
EV-000095,CUST-0001284,XFMR-000198,FDR-0001,SUB-001,33.528411,-112.168748,Level 2,7.7,J1772,2023-01-01,Tesla,active
EV-000096,CUST-0001293,XFMR-000199,FDR-0001,SUB-001,33.528019,-112.169015,Level 1,1.4,NEMA 5-15,2023-10-01,Electrify America,offline
EV-000097,CUST-0001303,XFMR-000203,FDR-0001,SUB-001,33.528335,-112.16919,Level 2,7.7,J1772,2019-04-01,private,active
EV-000098,CUST-0001324,XFMR-000207,FDR-0001,SUB-001,33.528171,-112.169767,Level 1,1.4,NEMA 5-15,2020-12-01,ChargePoint,active
EV-000099,CUST-0001364,XFMR-000213,FDR-0001,SUB-001,33.527889,-112.170566,Level 2,19.2,J1772,2024-02-01,private,active
EV-000100,CUST-0001371,XFMR-000213,FDR-0001,SUB-001,33.52825,-112.17077,DCFC,50,CCS,2022-09-01,Blink,active
EV-000101,CUST-0001392,XFMR-000216,FDR-0001,SUB-001,33.52781,-112.170954,Level 2,7.7,J1772,2020-05-01,Blink,active
EV-000102,CUST-0001401,XFMR-000217,FDR-0001,SUB-001,33.528283,-112.171651,Level 1,1.4,NEMA 5-15,2024-02-01,Blink,active
EV-000103,CUST-0001403,XFMR-000217,FDR-0001,SUB-001,33.528343,-112.171254,Level 2,19.2,J1772,2022-07-01,private,active
EV-000104,CUST-0001419,XFMR-000219,FDR-0001,SUB-001,33.528497,-112.171417,Level 2,7.7,J1772,2019-09-01,Blink,active
EV-000105,CUST-0001420,XFMR-000219,FDR-0001,SUB-001,33.528441,-112.171316,Level 2,7.7,J1772,2024-02-01,private,active
EV-000106,CUST-0001425,XFMR-000221,FDR-0001,SUB-001,33.528416,-112.171428,Level 2,11.5,J1772,2022-01-01,Blink,active
EV-000107,CUST-0001429,XFMR-000221,FDR-0001,SUB-001,33.528379,-112.1721,Level 2,19.2,J1772,2020-07-01,EVgo,active
EV-000108,CUST-0001436,XFMR-000223,FDR-0001,SUB-001,33.527991,-112.171628,Level 2,11.5,J1772,2020-04-01,EVgo,active
EV-000109,CUST-0001438,XFMR-000223,FDR-0001,SUB-001,33.528404,-112.171979,Level 2,19.2,J1772,2022-06-01,EVgo,offline
EV-000110,CUST-0001465,XFMR-000228,FDR-0001,SUB-001,33.528352,-112.172477,Level 2,7.7,J1772,2020-10-01,Blink,active
EV-000111,CUST-0001474,XFMR-000229,FDR-0001,SUB-001,33.528042,-112.173122,Level 2,11.5,J1772,2020-12-01,EVgo,active
EV-000112,CUST-0001479,XFMR-000230,FDR-0001,SUB-001,33.527778,-112.173388,DCFC,350,CCS,2021-08-01,EVgo,active
EV-000113,CUST-0001484,XFMR-000230,FDR-0001,SUB-001,33.527917,-112.172719,Level 2,11.5,J1772,2021-09-01,ChargePoint,active
EV-000114,CUST-0001502,XFMR-000233,FDR-0001,SUB-001,33.52827,-112.173223,Level 1,1.4,NEMA 5-15,2021-06-01,private,active
EV-000115,CUST-0001508,XFMR-000236,FDR-0001,SUB-001,33.528042,-112.173723,Level 2,19.2,J1772,2021-10-01,Blink,active
EV-000116,CUST-0001512,XFMR-000236,FDR-0001,SUB-001,33.528487,-112.173314,Level 2,19.2,J1772,2020-04-01,ChargePoint,active
EV-000117,CUST-0001523,XFMR-000239,FDR-0001,SUB-001,33.528264,-112.173831,Level 2,19.2,J1772,2024-06-01,Blink,active
EV-000118,CUST-0001525,XFMR-000239,FDR-0001,SUB-001,33.527838,-112.174103,Level 2,7.7,J1772,2021-06-01,private,active
EV-000119,CUST-0001530,XFMR-000240,FDR-0001,SUB-001,33.528359,-112.173855,Level 2,19.2,J1772,2022-11-01,private,active
EV-000120,CUST-0001535,XFMR-000240,FDR-0001,SUB-001,33.528499,-112.174237,Level 2,7.7,J1772,2021-06-01,Tesla,active
EV-000121,CUST-0001542,XFMR-000241,FDR-0001,SUB-001,33.528452,-112.174318,Level 2,7.7,J1772,2021-03-01,private,active
EV-000122,CUST-0001552,XFMR-000243,FDR-0001,SUB-001,33.528056,-112.175031,Level 2,19.2,J1772,2021-11-01,private,active
EV-000123,CUST-0001567,XFMR-000245,FDR-0001,SUB-001,33.527857,-112.17475,Level 2,11.5,J1772,2020-12-01,private,active
EV-000124,CUST-0001598,XFMR-000248,FDR-0001,SUB-001,33.528243,-112.175021,Level 1,1.4,NEMA 5-15,2019-09-01,private,active
EV-000125,CUST-0001607,XFMR-000249,FDR-0001,SUB-001,33.527854,-112.175566,Level 2,11.5,J1772,2023-05-01,private,active
EV-000126,CUST-0001619,XFMR-000251,FDR-0001,SUB-001,33.528268,-112.175815,Level 2,7.7,J1772,2021-12-01,Electrify America,active
EV-000127,CUST-0001633,XFMR-000252,FDR-0001,SUB-001,33.528161,-112.175428,Level 2,19.2,J1772,2023-12-01,ChargePoint,active
EV-000128,CUST-0001668,XFMR-000257,FDR-0001,SUB-001,33.527917,-112.177027,Level 2,19.2,J1772,2021-11-01,ChargePoint,active
EV-000129,CUST-0001681,XFMR-000260,FDR-0001,SUB-001,33.52799,-112.17672,Level 2,7.7,J1772,2021-10-01,EVgo,active
EV-000130,CUST-0001682,XFMR-000260,FDR-0001,SUB-001,33.528436,-112.177333,Level 2,11.5,J1772,2022-05-01,ChargePoint,active
EV-000131,CUST-0001734,XFMR-000266,FDR-0001,SUB-001,33.527884,-112.17748,Level 2,7.7,J1772,2020-02-01,Electrify America,active
EV-000132,CUST-0001735,XFMR-000266,FDR-0001,SUB-001,33.528386,-112.177866,Level 1,1.4,NEMA 5-15,2019-03-01,EVgo,active
EV-000133,CUST-0001736,XFMR-000266,FDR-0001,SUB-001,33.527998,-112.177622,Level 1,1.4,NEMA 5-15,2021-09-01,ChargePoint,active
EV-000134,CUST-0001741,XFMR-000267,FDR-0001,SUB-001,33.528469,-112.178005,Level 2,19.2,J1772,2024-06-01,Blink,active
EV-000135,CUST-0001742,XFMR-000267,FDR-0001,SUB-001,33.528489,-112.178165,Level 2,7.7,J1772,2023-02-01,EVgo,active
EV-000136,CUST-0001744,XFMR-000267,FDR-0001,SUB-001,33.527965,-112.178024,Level 2,7.7,J1772,2020-09-01,EVgo,active
EV-000137,CUST-0001746,XFMR-000267,FDR-0001,SUB-001,33.527874,-112.177931,Level 2,7.7,J1772,2020-01-01,Blink,active
EV-000138,CUST-0001747,XFMR-000268,FDR-0001,SUB-001,33.527825,-112.177513,DCFC,150,CCS,2024-05-01,Electrify America,active
EV-000139,CUST-0001765,XFMR-000272,FDR-0001,SUB-001,33.527749,-112.178855,Level 2,11.5,J1772,2019-09-01,EVgo,active
EV-000140,CUST-0001782,XFMR-000273,FDR-0001,SUB-001,33.527978,-112.178895,Level 2,11.5,J1772,2021-02-01,ChargePoint,active
EV-000141,CUST-0001783,XFMR-000274,FDR-0001,SUB-001,33.527881,-112.179086,Level 2,11.5,J1772,2023-12-01,private,active
EV-000142,CUST-0001792,XFMR-000274,FDR-0001,SUB-001,33.527782,-112.178562,Level 2,19.2,J1772,2020-04-01,Blink,active
EV-000143,CUST-0001794,XFMR-000275,FDR-0001,SUB-001,33.527966,-112.179094,Level 2,19.2,J1772,2024-06-01,Blink,active
EV-000144,CUST-0001799,XFMR-000275,FDR-0001,SUB-001,33.528278,-112.178862,Level 1,1.4,NEMA 5-15,2024-09-01,ChargePoint,active
EV-000145,CUST-0001801,XFMR-000275,FDR-0001,SUB-001,33.528013,-112.179242,Level 2,7.7,J1772,2023-06-01,ChargePoint,active
EV-000146,CUST-0001889,XFMR-000289,FDR-0001,SUB-001,33.527942,-112.180215,Level 2,7.7,J1772,2021-03-01,EVgo,active
EV-000147,CUST-0001897,XFMR-000292,FDR-0001,SUB-001,33.527955,-112.181022,Level 2,19.2,J1772,2021-05-01,private,active
EV-000148,CUST-0001903,XFMR-000293,FDR-0001,SUB-001,33.52828,-112.181431,Level 1,1.4,NEMA 5-15,2024-01-01,EVgo,active
EV-000149,CUST-0001910,XFMR-000294,FDR-0001,SUB-001,33.527797,-112.1814,Level 2,19.2,J1772,2019-03-01,Tesla,active
EV-000150,CUST-0001928,XFMR-000297,FDR-0001,SUB-001,33.528027,-112.181568,Level 2,19.2,J1772,2023-10-01,ChargePoint,active
EV-000151,CUST-0001974,XFMR-000305,FDR-0001,SUB-001,33.527962,-112.182448,Level 2,7.7,J1772,2024-11-01,EVgo,active
EV-000152,CUST-0001986,XFMR-000306,FDR-0001,SUB-001,33.527819,-112.183235,Level 1,1.4,NEMA 5-15,2022-07-01,Tesla,active
EV-000153,CUST-0002001,XFMR-000310,FDR-0001,SUB-001,33.527993,-112.18371,Level 1,1.4,NEMA 5-15,2019-03-01,EVgo,active
EV-000154,CUST-0002043,XFMR-000315,FDR-0001,SUB-001,33.527905,-112.183709,Level 2,11.5,J1772,2022-12-01,Tesla,active
EV-000155,CUST-0002054,XFMR-000317,FDR-0001,SUB-001,33.528388,-112.184429,Level 2,19.2,J1772,2023-02-01,private,active
EV-000156,CUST-0002093,XFMR-000323,FDR-0001,SUB-001,33.528104,-112.184629,Level 2,11.5,J1772,2024-11-01,Electrify America,active
EV-000157,CUST-0002121,XFMR-000327,FDR-0001,SUB-001,33.527786,-112.18552,Level 2,19.2,J1772,2024-09-01,Blink,active
EV-000158,CUST-0002122,XFMR-000327,FDR-0001,SUB-001,33.52814,-112.185333,Level 2,7.7,J1772,2020-01-01,Blink,active
EV-000159,CUST-0002130,XFMR-000328,FDR-0001,SUB-001,33.527997,-112.186002,Level 2,11.5,J1772,2024-07-01,Blink,active
EV-000160,CUST-0002131,XFMR-000328,FDR-0001,SUB-001,33.527992,-112.185166,Level 2,19.2,J1772,2021-04-01,private,active
EV-000161,CUST-0002138,XFMR-000329,FDR-0001,SUB-001,33.527851,-112.185337,Level 1,1.4,NEMA 5-15,2020-09-01,Tesla,active
EV-000162,CUST-0002144,XFMR-000329,FDR-0001,SUB-001,33.527823,-112.185286,Level 2,11.5,J1772,2024-04-01,EVgo,active
EV-000163,CUST-0002156,XFMR-000332,FDR-0001,SUB-001,33.527708,-112.185921,Level 2,19.2,J1772,2023-06-01,ChargePoint,active
EV-000164,CUST-0002200,XFMR-000338,FDR-0001,SUB-001,33.528221,-112.187022,Level 2,19.2,J1772,2022-09-01,ChargePoint,active
EV-000165,CUST-0002203,XFMR-000339,FDR-0001,SUB-001,33.528107,-112.186861,Level 1,1.4,NEMA 5-15,2020-05-01,Tesla,active
EV-000166,CUST-0002214,XFMR-000340,FDR-0001,SUB-001,33.528397,-112.187413,Level 1,1.4,NEMA 5-15,2021-04-01,Electrify America,active
EV-000167,CUST-0002230,XFMR-000342,FDR-0001,SUB-001,33.528325,-112.187739,Level 1,1.4,NEMA 5-15,2020-05-01,ChargePoint,active
EV-000168,CUST-0002247,XFMR-000345,FDR-0001,SUB-001,33.527804,-112.187707,Level 1,1.4,NEMA 5-15,2024-04-01,ChargePoint,active
EV-000169,CUST-0002257,XFMR-000347,FDR-0001,SUB-001,33.528395,-112.18856,DCFC,150,CCS,2024-09-01,Blink,active
EV-000170,CUST-0002265,XFMR-000349,FDR-0001,SUB-001,33.528345,-112.188529,Level 2,19.2,J1772,2023-02-01,private,active
EV-000171,CUST-0002272,XFMR-000350,FDR-0001,SUB-001,33.528476,-112.188768,Level 2,7.7,J1772,2021-04-01,private,active
EV-000172,CUST-0002301,XFMR-000353,FDR-0001,SUB-001,33.528329,-112.188647,DCFC,150,CCS,2021-03-01,ChargePoint,active
EV-000173,CUST-0002308,XFMR-000354,FDR-0001,SUB-001,33.528276,-112.189039,Level 2,19.2,J1772,2021-05-01,Tesla,active
EV-000174,CUST-0002318,XFMR-000355,FDR-0001,SUB-001,33.5279,-112.189184,Level 2,11.5,J1772,2019-01-01,private,active
EV-000175,CUST-0002340,XFMR-000360,FDR-0001,SUB-001,33.527894,-112.189638,Level 2,11.5,J1772,2019-03-01,Blink,active
EV-000176,CUST-0002356,XFMR-000362,FDR-0001,SUB-001,33.528153,-112.189925,Level 2,19.2,J1772,2022-05-01,Electrify America,active
EV-000177,CUST-0002375,XFMR-000365,FDR-0002,SUB-001,33.528836,-112.143934,Level 1,1.4,NEMA 5-15,2020-11-01,private,active
EV-000178,CUST-0002387,XFMR-000367,FDR-0002,SUB-001,33.52931,-112.143596,Level 2,7.7,J1772,2019-01-01,EVgo,active
EV-000179,CUST-0002400,XFMR-000369,FDR-0002,SUB-001,33.529889,-112.143687,Level 2,19.2,J1772,2022-10-01,private,active
EV-000180,CUST-0002411,XFMR-000372,FDR-0002,SUB-001,33.530674,-112.143597,Level 2,19.2,J1772,2023-08-01,Tesla,active
EV-000181,CUST-0002418,XFMR-000373,FDR-0002,SUB-001,33.531248,-112.143082,Level 2,19.2,J1772,2020-11-01,Tesla,active
EV-000182,CUST-0002430,XFMR-000374,FDR-0002,SUB-001,33.531541,-112.143931,Level 2,19.2,J1772,2021-04-01,Tesla,active
EV-000183,CUST-0002441,XFMR-000376,FDR-0002,SUB-001,33.532111,-112.143215,Level 1,1.4,NEMA 5-15,2024-03-01,Electrify America,active
EV-000184,CUST-0002452,XFMR-000378,FDR-0002,SUB-001,33.532371,-112.142957,Level 1,1.4,NEMA 5-15,2024-05-01,Electrify America,active
EV-000185,CUST-0002453,XFMR-000378,FDR-0002,SUB-001,33.532856,-112.143517,Level 1,1.4,NEMA 5-15,2024-10-01,Electrify America,active
EV-000186,CUST-0002461,XFMR-000379,FDR-0002,SUB-001,33.532404,-112.143061,Level 1,1.4,NEMA 5-15,2019-07-01,Tesla,active
EV-000187,CUST-0002477,XFMR-000382,FDR-0002,SUB-001,33.533877,-112.143686,Level 1,1.4,NEMA 5-15,2020-12-01,private,active
