bess_id,customer_id,transformer_id,feeder_id,substation_id,latitude,longitude,power_mw,energy_mwh,chemistry,charge_efficiency,discharge_efficiency,min_soc_fraction,max_soc_fraction,augment_threshold,capex_per_kwh,application_type,manufacturer,install_date,status
CBESS-0011,CUST-0184747,XFMR-028461,FDR-0084,SUB-018,33.434035,-112.206672,1.036,4.144,NMC,0.93,0.931,0.1,0.9,0.8,312,peak_shaving,Tesla,2024-02-01,active
CBESS-0012,CUST-0165552,XFMR-025546,FDR-0077,SUB-017,33.448118,-112.071571,0.98,3.92,LFP,0.904,0.903,0.1,0.9,0.8,235,peak_shaving,Powin,2022-11-01,active
CBESS-0013,CUST-0126929,XFMR-019584,FDR-0059,SUB-013,33.4771,-111.871464,1.773,3.546,NMC,0.931,0.935,0.1,0.9,0.8,336,backup,EnerSys,2024-11-01,active
CBESS-0014,CUST-0002784,XFMR-000431,FDR-0002,SUB-001,33.548891,-112.143894,0.325,1.3,LFP,0.947,0.927,0.1,0.9,0.8,218,peak_shaving,Fluence,2021-02-01,active
CBESS-0015,CUST-0117394,XFMR-018121,FDR-0057,SUB-013,33.477492,-111.964291,1.444,5.776,LFP,0.934,0.943,0.1,0.9,0.8,312,solar_shifting,EnerSys,2023-01-01,active
CBESS-0016,CUST-0045118,XFMR-006995,FDR-0021,SUB-006,33.520961,-112.161263,1.528,6.112,LFP,0.909,0.9,0.1,0.9,0.8,273,backup,Samsung SDI,2024-04-01,active
CBESS-0017,CUST-0166194,XFMR-025655,FDR-0077,SUB-017,33.448472,-112.125423,0.743,2.972,NMC,0.95,0.916,0.1,0.9,0.8,257,demand_charge_mgmt,Fluence,2023-02-01,active
CBESS-0018,CUST-0149536,XFMR-023110,FDR-0070,SUB-015,33.58641,-112.106502,1.002,4.008,NMC,0.944,0.914,0.1,0.9,0.8,291,backup,Fluence,2021-08-01,active
CBESS-0019,CUST-0085665,XFMR-013260,FDR-0041,SUB-010,33.492151,-111.952329,0.671,1.342,LFP,0.945,0.904,0.1,0.9,0.8,304,demand_charge_mgmt,Tesla,2022-02-01,active
CBESS-0020,CUST-0130900,XFMR-020224,FDR-0060,SUB-014,33.361439,-112.072194,1.403,2.806,LFP,0.916,0.904,0.1,0.9,0.8,235,peak_shaving,Tesla,2022-10-01,active
CBESS-0021,CUST-0190525,XFMR-029368,FDR-0086,SUB-019,33.636871,-111.970296,0.95,1.9,NMC,0.923,0.904,0.1,0.9,0.8,203,solar_shifting,EnerSys,2021-02-01,active
CBESS-0022,CUST-0040344,XFMR-006244,FDR-0018,SUB-005,33.455168,-112.004736,0.303,1.212,NMC,0.912,0.944,0.1,0.9,0.8,283,backup,EnerSys,2024-01-01,active
CBESS-0023,CUST-0010125,XFMR-001573,FDR-0005,SUB-002,33.578761,-112.073814,1.06,2.12,LFP,0.921,0.937,0.1,0.9,0.8,296,demand_charge_mgmt,Fluence,2021-06-01,active
CBESS-0024,CUST-0038819,XFMR-006010,FDR-0017,SUB-005,33.477328,-111.954314,1.011,2.022,NMC,0.903,0.928,0.1,0.9,0.8,252,backup,Fluence,2022-06-01,active
CBESS-0025,CUST-0117936,XFMR-018213,FDR-0057,SUB-013,33.47774,-111.992829,1.972,3.944,NMC,0.903,0.934,0.1,0.9,0.8,315,peak_shaving,Samsung SDI,2022-09-01,commissioning
CBESS-0026,CUST-0202674,XFMR-031210,FDR-0090,SUB-020,33.36165,-112.22101,1.786,7.144,NMC,0.937,0.915,0.1,0.9,0.8,284,peak_shaving,Tesla,2022-06-01,active
CBESS-0027,CUST-0234669,XFMR-036196,FDR-0103,SUB-023,33.627856,-112.021647,1.649,3.298,LFP,0.905,0.932,0.1,0.9,0.8,340,backup,BYD,2023-05-01,active
CBESS-0028,CUST-0119878,XFMR-018498,FDR-0058,SUB-013,33.469082,-111.952582,0.734,1.468,NMC,0.948,0.944,0.1,0.9,0.8,310,solar_shifting,Powin,2024-05-01,active
CBESS-0029,CUST-0140937,XFMR-021784,FDR-0065,SUB-014,33.278954,-112.021793,0.746,1.492,NMC,0.916,0.914,0.1,0.9,0.8,294,demand_charge_mgmt,Powin,2022-06-01,active
CBESS-0030,CUST-0074368,XFMR-011525,FDR-0036,SUB-009,33.437523,-112.10845,0.578,2.312,LFP,0.926,0.916,0.1,0.9,0.8,240,backup,Powin,2022-09-01,active
CBESS-0031,CUST-0115677,XFMR-017856,FDR-0055,SUB-013,33.477071,-111.844517,0.571,2.284,NMC,0.901,0.901,0.1,0.9,0.8,302,solar_shifting,Samsung SDI,2021-03-01,active
