feeder_id,timestamp,load_mw,load_mvar,voltage_pu,power_factor
FDR-0001,2024-01-16 12:00,2.491,1.084,1.0315,0.917
FDR-0001,2024-01-16 13:00,2.348,1.104,1.0137,0.905
FDR-0001,2024-01-16 14:00,2.073,0.914,1.0317,0.915
FDR-0001,2024-01-16 15:00,2.247,1.056,0.9643,0.905
FDR-0001,2024-01-16 16:00,2.678,1.236,1.025,0.908
FDR-0001,2024-01-16 17:00,2.822,0.602,0.9986,0.978
FDR-0001,2024-01-16 18:00,2.935,1.329,0.9557,0.911
FDR-0001,2024-01-16 19:00,2.576,1.09,1.0457,0.921
FDR-0001,2024-01-16 20:00,2.036,0.766,1.0196,0.936
FDR-0001,2024-01-16 21:00,1.72,0.577,1.0433,0.948
FDR-0001,2024-01-16 22:00,1.64,0.876,1.0344,0.882
FDR-0001,2024-01-16 23:00,1.525,0.794,1.0405,0.887
FDR-0001,2024-01-17 00:00,1.266,0.264,1.0016,0.979
FDR-0001,2024-01-17 01:00,1.363,0.581,0.9855,0.92
FDR-0001,2024-01-17 02:00,1.456,0.377,0.9997,0.968
FDR-0001,2024-01-17 03:00,1.322,0.563,1.0296,0.92
FDR-0001,2024-01-17 04:00,1.36,0.52,1.014,0.934
FDR-0001,2024-01-17 05:00,1.307,0.58,0.9696,0.914
FDR-0001,2024-01-17 06:00,1.425,0.706,0.9827,0.896
FDR-0001,2024-01-17 07:00,1.675,0.835,0.9884,0.895
FDR-0001,2024-01-17 08:00,1.763,0.834,0.9749,0.904
FDR-0001,2024-01-17 09:00,2.204,0.939,1.0258,0.92
FDR-0001,2024-01-17 10:00,2.397,1.078,0.9955,0.912
FDR-0001,2024-01-17 11:00,2.305,0.707,0.9874,0.956
FDR-0001,2024-01-17 12:00,2.346,1.208,1.0397,0.889
FDR-0001,2024-01-17 13:00,2.24,1.027,0.9652,0.909
FDR-0001,2024-01-17 14:00,2.113,0.679,0.9567,0.952
FDR-0001,2024-01-17 15:00,2.108,0.49,0.9838,0.974
FDR-0001,2024-01-17 16:00,2.469,0.691,1.0256,0.963
FDR-0001,2024-01-17 17:00,2.65,0.629,0.9788,0.973
FDR-0001,2024-01-17 18:00,2.858,1.511,1.0379,0.884
FDR-0001,2024-01-17 19:00,2.733,0.648,1.0102,0.973
FDR-0001,2024-01-17 20:00,1.894,0.458,0.9944,0.972
FDR-0001,2024-01-17 21:00,1.753,0.839,0.974,0.902
FDR-0001,2024-01-17 22:00,1.847,0.455,0.9994,0.971
FDR-0001,2024-01-17 23:00,1.611,0.725,1.0479,0.912
FDR-0001,2024-01-18 00:00,1.173,0.449,1.0296,0.934
FDR-0001,2024-01-18 01:00,1.418,0.629,0.9719,0.914
FDR-0001,2024-01-18 02:00,1.386,0.347,0.9986,0.97
FDR-0001,2024-01-18 03:00,1.507,0.479,1.021,0.953
FDR-0001,2024-01-18 04:00,1.274,0.454,0.9579,0.942
FDR-0001,2024-01-18 05:00,1.317,0.533,1.0215,0.927
FDR-0001,2024-01-18 06:00,1.337,0.435,1.0019,0.951
FDR-0001,2024-01-18 07:00,1.608,0.444,0.959,0.964
FDR-0001,2024-01-18 08:00,1.851,0.969,1.0175,0.886
FDR-0001,2024-01-18 09:00,1.945,0.958,0.9901,0.897
FDR-0001,2024-01-18 10:00,2.415,0.819,0.9981,0.947
FDR-0001,2024-01-18 11:00,2.51,1.046,0.9627,0.923
FDR-0001,2024-01-18 12:00,2.342,0.607,1.0413,0.968
FDR-0001,2024-01-18 13:00,2.208,0.694,0.9585,0.954
FDR-0001,2024-01-18 14:00,2.185,0.734,0.9716,0.948
FDR-0001,2024-01-18 15:00,2.189,0.872,1.0257,0.929
FDR-0001,2024-01-18 16:00,2.494,0.667,1.0497,0.966
FDR-0001,2024-01-18 17:00,2.925,1.408,0.9566,0.901
FDR-0001,2024-01-18 18:00,2.684,0.814,1.0064,0.957
FDR-0001,2024-01-18 19:00,2.413,0.694,0.971,0.961
FDR-0001,2024-01-18 20:00,1.931,0.739,1.0375,0.934
FDR-0001,2024-01-18 21:00,2.002,0.51,1.0069,0.969
FDR-0001,2024-01-18 22:00,1.864,0.897,1.0318,0.901
FDR-0001,2024-01-18 23:00,1.717,0.807,0.9768,0.905
FDR-0001,2024-01-19 00:00,1.215,0.619,0.9921,0.891
FDR-0001,2024-01-19 01:00,1.329,0.432,1.0141,0.951
FDR-0001,2024-01-19 02:00,1.399,0.705,1.0043,0.893
FDR-0001,2024-01-19 03:00,1.307,0.691,1.0127,0.884
FDR-0001,2024-01-19 04:00,1.388,0.604,1.0094,0.917
FDR-0001,2024-01-19 05:00,1.25,0.454,0.983,0.94
FDR-0001,2024-01-19 06:00,1.313,0.515,1.0384,0.931
FDR-0001,2024-01-19 07:00,1.511,0.385,0.977,0.969
FDR-0001,2024-01-19 08:00,2.008,0.978,0.978,0.899
FDR-0001,2024-01-19 09:00,2.262,0.633,1.0072,0.963
FDR-0001,2024-01-19 10:00,2.368,0.77,1.0043,0.951
FDR-0001,2024-01-19 11:00,2.439,0.721,0.974,0.959
FDR-0001,2024-01-19 12:00,2.454,1.0,0.9977,0.926
FDR-0001,2024-01-19 13:00,2.194,0.605,0.9844,0.964
FDR-0001,2024-01-19 14:00,2.266,0.597,0.9525,0.967
FDR-0001,2024-01-19 15:00,2.13,1.073,1.043,0.893
FDR-0001,2024-01-19 16:00,2.515,1.182,0.963,0.905
FDR-0001,2024-01-19 17:00,2.848,0.593,0.9956,0.979
FDR-0001,2024-01-19 18:00,2.587,0.895,0.9975,0.945
FDR-0001,2024-01-19 19:00,2.526,1.266,0.9878,0.894
FDR-0001,2024-01-19 20:00,1.945,0.712,0.9812,0.939
FDR-0001,2024-01-19 21:00,1.732,0.419,0.9752,0.972
FDR-0001,2024-01-19 22:00,1.753,0.408,1.0455,0.974
FDR-0001,2024-01-19 23:00,1.727,0.621,1.0461,0.941
FDR-0001,2024-01-20 00:00,0.991,0.379,0.9923,0.934
FDR-0001,2024-01-20 01:00,1.165,0.312,1.0224,0.966
FDR-0001,2024-01-20 02:00,1.151,0.298,0.9597,0.968
FDR-0001,2024-01-20 03:00,1.247,0.663,1.0292,0.883
FDR-0001,2024-01-20 04:00,1.091,0.574,0.9899,0.885
FDR-0001,2024-01-20 05:00,1.099,0.229,1.0169,0.979
FDR-0001,2024-01-20 06:00,1.149,0.496,0.9665,0.918
FDR-0001,2024-01-20 07:00,1.49,0.8,1.047,0.881
FDR-0001,2024-01-20 08:00,1.475,0.689,1.0328,0.906
FDR-0001,2024-01-20 09:00,1.729,0.556,1.0191,0.952
FDR-0001,2024-01-20 10:00,1.771,0.727,1.0249,0.925
FDR-0001,2024-01-20 11:00,1.984,0.623,0.9868,0.954
FDR-0001,2024-01-20 12:00,2.181,0.896,1.015,0.925
FDR-0001,2024-01-20 13:00,2.143,1.157,1.0172,0.88
FDR-0001,2024-01-20 14:00,1.821,0.856,0.9843,0.905
FDR-0001,2024-01-20 15:00,2.027,0.882,1.0205,0.917
FDR-0001,2024-01-20 16:00,2.293,1.149,1.0225,0.894
FDR-0001,2024-01-20 17:00,2.192,0.736,1.0238,0.948
FDR-0001,2024-01-20 18:00,2.44,1.317,1.0167,0.88
FDR-0001,2024-01-20 19:00,2.312,0.548,0.9641,0.973
FDR-0001,2024-01-20 20:00,1.616,0.353,0.9867,0.977
FDR-0001,2024-01-20 21:00,1.485,0.624,1.017,0.922
FDR-0001,2024-01-20 22:00,1.562,0.572,0.9784,0.939
FDR-0001,2024-01-20 23:00,1.372,0.737,0.9623,0.881
FDR-0001,2024-01-21 00:00,1.025,0.287,1.0133,0.963
FDR-0001,2024-01-21 01:00,1.141,0.51,1.0328,0.913
FDR-0001,2024-01-21 02:00,1.131,0.399,0.9771,0.943
FDR-0001,2024-01-21 03:00,1.128,0.543,1.0426,0.901
FDR-0001,2024-01-21 04:00,1.121,0.281,1.0006,0.97
FDR-0001,2024-01-21 05:00,1.056,0.23,0.9891,0.977
FDR-0001,2024-01-21 06:00,1.221,0.619,0.9571,0.892
FDR-0001,2024-01-21 07:00,1.327,0.407,0.9806,0.956
FDR-0001,2024-01-21 08:00,1.668,0.542,0.9666,0.951
FDR-0001,2024-01-21 09:00,1.663,0.615,1.0059,0.938
FDR-0001,2024-01-21 10:00,2.049,0.709,0.9941,0.945
FDR-0001,2024-01-21 11:00,2.131,0.588,1.0204,0.964
FDR-0001,2024-01-21 12:00,2.04,0.634,0.9711,0.955
FDR-0001,2024-01-21 13:00,2.048,0.644,1.0002,0.954
FDR-0001,2024-01-21 14:00,2.032,0.646,0.9703,0.953
FDR-0001,2024-01-21 15:00,1.942,0.984,0.9602,0.892
FDR-0001,2024-01-21 16:00,2.322,0.747,0.9604,0.952
FDR-0001,2024-01-21 17:00,2.509,1.172,1.0493,0.906
FDR-0001,2024-01-21 18:00,2.361,0.67,0.9821,0.962
FDR-0001,2024-01-21 19:00,2.317,1.089,1.0105,0.905
FDR-0001,2024-01-21 20:00,1.703,0.689,1.0216,0.927
FDR-0001,2024-01-21 21:00,1.459,0.539,0.9733,0.938
FDR-0001,2024-01-21 22:00,1.52,0.749,1.0269,0.897
FDR-0001,2024-01-21 23:00,1.314,0.393,1.0183,0.958
FDR-0001,2024-04-15 00:00,1.162,0.357,0.9678,0.956
FDR-0001,2024-04-15 01:00,1.193,0.605,1.0348,0.892
FDR-0001,2024-04-15 02:00,1.114,0.475,1.0374,0.92
FDR-0001,2024-04-15 03:00,1.224,0.29,0.9792,0.973
FDR-0001,2024-04-15 04:00,1.093,0.386,1.0194,0.943
FDR-0001,2024-04-15 05:00,1.107,0.405,0.9767,0.939
FDR-0001,2024-04-15 06:00,1.116,0.544,0.9531,0.899
FDR-0001,2024-04-15 07:00,1.405,0.491,0.9938,0.944
FDR-0001,2024-04-15 08:00,1.629,0.803,0.9572,0.897
FDR-0001,2024-04-15 09:00,1.849,0.725,0.9893,0.931
FDR-0001,2024-04-15 10:00,1.949,1.036,0.9954,0.883
FDR-0001,2024-04-15 11:00,2.086,0.514,0.9763,0.971
FDR-0001,2024-04-15 12:00,2.0,0.784,1.0244,0.931
FDR-0001,2024-04-15 13:00,2.013,0.929,1.0347,0.908
FDR-0001,2024-04-15 14:00,1.803,0.411,1.0239,0.975
FDR-0001,2024-04-15 15:00,2.039,1.067,0.9774,0.886
FDR-0001,2024-04-15 16:00,2.029,0.702,1.0357,0.945
FDR-0001,2024-04-15 17:00,2.193,0.908,1.0498,0.924
FDR-0001,2024-04-15 18:00,2.505,0.649,1.0293,0.968
FDR-0001,2024-04-15 19:00,2.273,0.663,1.0181,0.96
FDR-0001,2024-04-15 20:00,1.806,0.796,0.9812,0.915
FDR-0001,2024-04-15 21:00,1.582,0.585,0.9816,0.938
FDR-0001,2024-04-15 22:00,1.58,0.706,0.9723,0.913
FDR-0001,2024-04-15 23:00,1.352,0.459,1.0135,0.947
FDR-0001,2024-04-16 00:00,1.086,0.51,1.0219,0.905
FDR-0001,2024-04-16 01:00,1.055,0.449,1.0472,0.92
FDR-0001,2024-04-16 02:00,1.147,0.562,1.0349,0.898
FDR-0001,2024-04-16 03:00,1.203,0.28,0.9685,0.974
FDR-0001,2024-04-16 04:00,1.23,0.25,1.0087,0.98
FDR-0001,2024-04-16 05:00,1.177,0.557,1.001,0.904
FDR-0001,2024-04-16 06:00,1.184,0.331,0.9762,0.963
FDR-0001,2024-04-16 07:00,1.329,0.651,1.0431,0.898
FDR-0001,2024-04-16 08:00,1.584,0.694,1.0385,0.916
FDR-0001,2024-04-16 09:00,1.799,0.814,1.0237,0.911
FDR-0001,2024-04-16 10:00,1.778,0.645,1.0075,0.94
FDR-0001,2024-04-16 11:00,1.862,0.891,1.0003,0.902
FDR-0001,2024-04-16 12:00,1.898,0.892,1.0161,0.905
FDR-0001,2024-04-16 13:00,2.052,0.487,1.0092,0.973
FDR-0001,2024-04-16 14:00,1.918,0.61,0.956,0.953
FDR-0001,2024-04-16 15:00,1.802,0.452,1.001,0.97
FDR-0001,2024-04-16 16:00,2.195,0.961,1.0039,0.916
FDR-0001,2024-04-16 17:00,2.397,0.523,1.0142,0.977
FDR-0001,2024-04-16 18:00,2.552,0.793,1.0293,0.955
FDR-0001,2024-04-16 19:00,2.328,1.18,0.9933,0.892
FDR-0001,2024-04-16 20:00,1.78,0.867,1.0395,0.899
FDR-0001,2024-04-16 21:00,1.515,0.308,1.04,0.98
FDR-0001,2024-04-16 22:00,1.461,0.34,1.0323,0.974
FDR-0001,2024-04-16 23:00,1.383,0.403,0.9601,0.96
FDR-0001,2024-04-17 00:00,1.14,0.249,1.0,0.977
FDR-0001,2024-04-17 01:00,1.22,0.632,1.0348,0.888
FDR-0001,2024-04-17 02:00,1.148,0.513,0.9899,0.913
FDR-0001,2024-04-17 03:00,1.207,0.553,1.0366,0.909
FDR-0001,2024-04-17 04:00,1.167,0.508,1.0324,0.917
FDR-0001,2024-04-17 05:00,1.079,0.293,1.02,0.965
FDR-0001,2024-04-17 06:00,1.161,0.491,1.0043,0.921
FDR-0001,2024-04-17 07:00,1.4,0.485,0.9879,0.945
FDR-0001,2024-04-17 08:00,1.639,0.632,1.0439,0.933
FDR-0001,2024-04-17 09:00,1.706,0.653,1.0402,0.934
FDR-0001,2024-04-17 10:00,1.837,0.419,1.0255,0.975
FDR-0001,2024-04-17 11:00,1.911,0.876,1.0398,0.909
FDR-0001,2024-04-17 12:00,1.886,0.809,1.0034,0.919
FDR-0001,2024-04-17 13:00,1.98,1.047,0.9725,0.884
FDR-0001,2024-04-17 14:00,1.884,0.733,0.9837,0.932
FDR-0001,2024-04-17 15:00,2.011,0.968,1.0,0.901
FDR-0001,2024-04-17 16:00,2.133,1.14,0.9518,0.882
FDR-0001,2024-04-17 17:00,2.231,1.074,1.0179,0.901
FDR-0001,2024-04-17 18:00,2.404,0.773,1.0122,0.952
FDR-0001,2024-04-17 19:00,2.208,0.6,0.9958,0.965
FDR-0001,2024-04-17 20:00,1.776,0.778,1.0441,0.916
FDR-0001,2024-04-17 21:00,1.627,0.546,1.0372,0.948
FDR-0001,2024-04-17 22:00,1.543,0.68,1.0204,0.915
FDR-0001,2024-04-17 23:00,1.379,0.703,0.9536,0.891
FDR-0001,2024-04-18 00:00,1.057,0.45,1.0016,0.92
FDR-0001,2024-04-18 01:00,1.178,0.334,0.9713,0.962
FDR-0001,2024-04-18 02:00,1.232,0.355,1.0436,0.961
FDR-0001,2024-04-18 03:00,1.184,0.501,1.0375,0.921
FDR-0001,2024-04-18 04:00,1.193,0.621,0.9563,0.887
FDR-0001,2024-04-18 05:00,1.151,0.257,1.0426,0.976
FDR-0001,2024-04-18 06:00,1.283,0.515,0.9935,0.928
FDR-0001,2024-04-18 07:00,1.305,0.469,0.9892,0.941
FDR-0001,2024-04-18 08:00,1.494,0.567,1.0259,0.935
FDR-0001,2024-04-18 09:00,1.843,0.559,1.0494,0.957
FDR-0001,2024-04-18 10:00,1.825,0.613,1.0268,0.948
FDR-0001,2024-04-18 11:00,1.899,0.508,0.9664,0.966
FDR-0001,2024-04-18 12:00,1.947,0.425,0.9732,0.977
FDR-0001,2024-04-18 13:00,1.888,0.465,0.9827,0.971
FDR-0001,2024-04-18 14:00,1.961,0.737,1.0294,0.936
FDR-0001,2024-04-18 15:00,1.821,0.432,1.0011,0.973
FDR-0001,2024-04-18 16:00,2.306,0.716,1.024,0.955
FDR-0001,2024-04-18 17:00,2.322,1.183,1.0,0.891
FDR-0001,2024-04-18 18:00,2.228,0.578,1.0347,0.968
FDR-0001,2024-04-18 19:00,2.33,1.128,1.0329,0.9
FDR-0001,2024-04-18 20:00,1.566,0.379,1.048,0.972
FDR-0001,2024-04-18 21:00,1.477,0.677,1.0397,0.909
FDR-0001,2024-04-18 22:00,1.407,0.657,1.0226,0.906
FDR-0001,2024-04-18 23:00,1.335,0.608,1.028,0.91
FDR-0001,2024-04-19 00:00,1.031,0.367,1.0174,0.942
FDR-0001,2024-04-19 01:00,1.117,0.462,0.9901,0.924
FDR-0001,2024-04-19 02:00,1.092,0.586,0.9731,0.881
FDR-0001,2024-04-19 03:00,1.278,0.464,1.0476,0.94
FDR-0001,2024-04-19 04:00,1.258,0.669,1.0356,0.883
FDR-0001,2024-04-19 05:00,1.06,0.266,0.9618,0.97
FDR-0001,2024-04-19 06:00,1.137,0.424,0.9723,0.937
FDR-0001,2024-04-19 07:00,1.305,0.676,0.9826,0.888
FDR-0001,2024-04-19 08:00,1.572,0.351,0.9795,0.976
FDR-0001,2024-04-19 09:00,1.824,0.638,0.968,0.944
FDR-0001,2024-04-19 10:00,1.863,0.632,0.9942,0.947
FDR-0001,2024-04-19 11:00,2.147,0.862,1.0282,0.928
FDR-0001,2024-04-19 12:00,2.115,0.657,1.0192,0.955
FDR-0001,2024-04-19 13:00,1.996,0.698,1.028,0.944
FDR-0001,2024-04-19 14:00,1.864,0.855,0.9674,0.909
FDR-0001,2024-04-19 15:00,1.87,0.963,1.0088,0.889
FDR-0001,2024-04-19 16:00,2.137,0.79,1.045,0.938
FDR-0001,2024-04-19 17:00,2.486,0.99,1.0373,0.929
FDR-0001,2024-04-19 18:00,2.348,0.875,0.9927,0.937
FDR-0001,2024-04-19 19:00,2.26,1.01,0.9934,0.913
FDR-0001,2024-04-19 20:00,1.65,0.399,0.9981,0.972
FDR-0001,2024-04-19 21:00,1.508,0.81,0.9834,0.881
FDR-0001,2024-04-19 22:00,1.492,0.662,0.9718,0.914
FDR-0001,2024-04-19 23:00,1.392,0.349,0.9851,0.97
FDR-0001,2024-04-20 00:00,0.92,0.21,1.0135,0.975
FDR-0001,2024-04-20 01:00,0.998,0.375,0.9518,0.936
FDR-0001,2024-04-20 02:00,1.078,0.513,0.9957,0.903
FDR-0001,2024-04-20 03:00,1.039,0.527,0.9746,0.892
FDR-0001,2024-04-20 04:00,1.066,0.444,1.0001,0.923
FDR-0001,2024-04-20 05:00,1.019,0.53,1.004,0.887
FDR-0001,2024-04-20 06:00,1.093,0.578,0.9906,0.884
FDR-0001,2024-04-20 07:00,1.114,0.401,0.9909,0.941
FDR-0001,2024-04-20 08:00,1.408,0.629,0.9831,0.913
FDR-0001,2024-04-20 09:00,1.582,0.595,1.0028,0.936
FDR-0001,2024-04-20 10:00,1.608,0.723,1.0162,0.912
FDR-0001,2024-04-20 11:00,1.716,0.415,0.9964,0.972
FDR-0001,2024-04-20 12:00,1.691,0.473,0.9578,0.963
FDR-0001,2024-04-20 13:00,1.735,0.816,0.9648,0.905
FDR-0001,2024-04-20 14:00,1.662,0.379,0.9615,0.975
FDR-0001,2024-04-20 15:00,1.659,0.503,1.0282,0.957
FDR-0001,2024-04-20 16:00,1.859,0.781,0.9739,0.922
FDR-0001,2024-04-20 17:00,1.921,1.011,1.0036,0.885
FDR-0001,2024-04-20 18:00,1.94,0.917,1.0062,0.904
FDR-0001,2024-04-20 19:00,1.83,0.512,0.9699,0.963
FDR-0001,2024-04-20 20:00,1.491,0.57,0.9891,0.934
FDR-0001,2024-04-20 21:00,1.325,0.664,1.0129,0.894
FDR-0001,2024-04-20 22:00,1.257,0.371,1.0189,0.959
FDR-0001,2024-04-20 23:00,1.135,0.304,0.9759,0.966
FDR-0001,2024-04-21 00:00,0.932,0.475,1.027,0.891
FDR-0001,2024-04-21 01:00,0.923,0.371,1.0328,0.928
FDR-0001,2024-04-21 02:00,1.077,0.265,0.9873,0.971
FDR-0001,2024-04-21 03:00,0.961,0.241,1.0109,0.97
FDR-0001,2024-04-21 04:00,0.999,0.398,1.0205,0.929
FDR-0001,2024-04-21 05:00,0.943,0.333,1.0267,0.943
FDR-0001,2024-04-21 06:00,1.044,0.491,1.0303,0.905
FDR-0001,2024-04-21 07:00,1.264,0.538,1.0497,0.92
FDR-0001,2024-04-21 08:00,1.339,0.679,1.0307,0.892
FDR-0001,2024-04-21 09:00,1.568,0.649,0.9991,0.924
FDR-0001,2024-04-21 10:00,1.538,0.719,1.0246,0.906
FDR-0001,2024-04-21 11:00,1.698,0.354,1.0191,0.979
FDR-0001,2024-04-21 12:00,1.828,0.859,1.0069,0.905
FDR-0001,2024-04-21 13:00,1.712,0.74,1.0241,0.918
FDR-0001,2024-04-21 14:00,1.535,0.357,1.0458,0.974
FDR-0001,2024-04-21 15:00,1.724,0.79,0.993,0.909
FDR-0001,2024-04-21 16:00,1.805,0.679,1.0224,0.936
FDR-0001,2024-04-21 17:00,2.079,0.539,1.0194,0.968
FDR-0001,2024-04-21 18:00,2.023,0.837,0.9549,0.924
FDR-0001,2024-04-21 19:00,1.819,0.666,0.9949,0.939
FDR-0001,2024-04-21 20:00,1.474,0.559,1.0151,0.935
FDR-0001,2024-04-21 21:00,1.447,0.369,1.0344,0.969
FDR-0001,2024-04-21 22:00,1.198,0.284,1.0104,0.973
FDR-0001,2024-04-21 23:00,1.26,0.533,1.0206,0.921
FDR-0001,2024-07-15 00:00,1.924,0.632,1.0052,0.95
FDR-0001,2024-07-15 01:00,1.813,0.64,1.0283,0.943
FDR-0001,2024-07-15 02:00,1.911,0.785,0.9981,0.925
FDR-0001,2024-07-15 03:00,2.118,0.837,1.0366,0.93
FDR-0001,2024-07-15 04:00,1.953,0.82,1.0143,0.922
FDR-0001,2024-07-15 05:00,1.828,0.371,1.0069,0.98
FDR-0001,2024-07-15 06:00,2.123,0.603,0.9845,0.962
FDR-0001,2024-07-15 07:00,2.331,1.258,1.0075,0.88
FDR-0001,2024-07-15 08:00,2.749,0.942,1.0186,0.946
FDR-0001,2024-07-15 09:00,2.795,1.393,0.9579,0.895
FDR-0001,2024-07-15 10:00,3.345,1.135,0.9712,0.947
FDR-0001,2024-07-15 11:00,3.594,1.487,0.9882,0.924
FDR-0001,2024-07-15 12:00,3.293,0.908,0.9699,0.964
FDR-0001,2024-07-15 13:00,3.233,1.52,0.985,0.905
FDR-0001,2024-07-15 14:00,3.445,1.668,1.0407,0.9
FDR-0001,2024-07-15 15:00,3.445,1.841,1.017,0.882
FDR-0001,2024-07-15 16:00,3.914,1.714,1.049,0.916
FDR-0001,2024-07-15 17:00,4.025,1.189,1.0071,0.959
FDR-0001,2024-07-15 18:00,3.687,1.075,0.9929,0.96
FDR-0001,2024-07-15 19:00,3.963,1.886,1.0333,0.903
FDR-0001,2024-07-15 20:00,2.824,0.856,0.9827,0.957
FDR-0001,2024-07-15 21:00,2.586,1.368,0.9881,0.884
FDR-0001,2024-07-15 22:00,2.309,0.558,1.0356,0.972
FDR-0001,2024-07-15 23:00,2.259,1.016,1.02,0.912
FDR-0001,2024-07-16 00:00,1.748,0.696,1.0144,0.929
FDR-0001,2024-07-16 01:00,1.951,1.021,1.0184,0.886
FDR-0001,2024-07-16 02:00,2.04,1.09,0.9997,0.882
FDR-0001,2024-07-16 03:00,1.942,0.528,0.9638,0.965
FDR-0001,2024-07-16 04:00,1.981,0.665,1.0123,0.948
FDR-0001,2024-07-16 05:00,1.93,0.475,1.0119,0.971
FDR-0001,2024-07-16 06:00,2.049,1.05,1.0089,0.89
FDR-0001,2024-07-16 07:00,2.315,1.18,0.9568,0.891
FDR-0001,2024-07-16 08:00,2.829,0.858,1.0487,0.957
FDR-0001,2024-07-16 09:00,3.052,1.461,1.0395,0.902
FDR-0001,2024-07-16 10:00,3.002,0.64,1.029,0.978
FDR-0001,2024-07-16 11:00,3.401,1.761,0.9702,0.888
FDR-0001,2024-07-16 12:00,3.365,1.287,0.9614,0.934
FDR-0001,2024-07-16 13:00,3.085,1.441,0.9911,0.906
FDR-0001,2024-07-16 14:00,3.399,0.725,0.9795,0.978
FDR-0001,2024-07-16 15:00,3.234,1.63,1.0397,0.893
FDR-0001,2024-07-16 16:00,3.459,1.829,0.9575,0.884
FDR-0001,2024-07-16 17:00,4.217,1.667,0.9738,0.93
FDR-0001,2024-07-16 18:00,4.201,1.497,1.0337,0.942
FDR-0001,2024-07-16 19:00,3.7,0.894,0.9812,0.972
FDR-0001,2024-07-16 20:00,2.835,0.59,0.952,0.979
FDR-0001,2024-07-16 21:00,2.495,0.668,0.9916,0.966
FDR-0001,2024-07-16 22:00,2.505,0.823,1.0155,0.95
FDR-0001,2024-07-16 23:00,2.469,1.037,1.0115,0.922
FDR-0001,2024-07-17 00:00,1.822,0.913,1.0147,0.894
FDR-0001,2024-07-17 01:00,1.977,0.469,0.9805,0.973
FDR-0001,2024-07-17 02:00,1.87,0.601,0.9643,0.952
FDR-0001,2024-07-17 03:00,1.872,0.943,0.9616,0.893
FDR-0001,2024-07-17 04:00,2.031,0.527,0.9623,0.968
FDR-0001,2024-07-17 05:00,1.948,0.818,0.9836,0.922
FDR-0001,2024-07-17 06:00,2.068,0.619,0.9699,0.958
FDR-0001,2024-07-17 07:00,2.233,1.193,1.0031,0.882
FDR-0001,2024-07-17 08:00,2.502,0.638,0.9815,0.969
FDR-0001,2024-07-17 09:00,2.98,0.707,1.0266,0.973
FDR-0001,2024-07-17 10:00,3.01,0.627,1.0029,0.979
FDR-0001,2024-07-17 11:00,3.508,1.226,1.007,0.944
FDR-0001,2024-07-17 12:00,3.228,1.654,0.9915,0.89
FDR-0001,2024-07-17 13:00,3.369,1.745,1.003,0.888
FDR-0001,2024-07-17 14:00,3.452,1.353,1.0386,0.931
