timestamp,equipment,alarm_code,message,state
2024-08-13 17:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.10000000000001 > 85.0,ACTIVE
2024-08-13 18:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.4 returned below 85.0,CLEARED
2024-08-13 18:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.2 > 85.0,ACTIVE
2024-08-13 18:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.0 returned below 85.0,CLEARED
2024-08-14 08:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.10000000000001 > 85.0,ACTIVE
2024-08-14 09:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.8 returned below 85.0,CLEARED
2024-08-14 09:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.2 > 85.0,ACTIVE
2024-08-14 11:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.0 returned below 85.0,CLEARED
2024-08-14 12:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 86.1 > 85.0,ACTIVE
2024-08-14 15:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.89999999999999 returned below 85.0,CLEARED
2024-08-14 15:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.6 > 85.0,ACTIVE
2024-08-14 16:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.5 returned below 85.0,CLEARED
2024-08-14 16:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.39999999999999 > 85.0,ACTIVE
2024-08-14 17:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.9 returned below 85.0,CLEARED
2024-08-14 17:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.30000000000001 > 85.0,ACTIVE
2024-08-14 17:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.4 returned below 85.0,CLEARED
2024-08-14 18:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.30000000000001 > 85.0,ACTIVE
2024-08-14 18:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.9 returned below 85.0,CLEARED
2024-08-14 19:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.60000000000001 > 85.0,ACTIVE
2024-08-14 20:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 81.4 returned below 85.0,CLEARED
2024-08-15 09:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.5 > 85.0,ACTIVE
2024-08-15 10:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.9 returned below 85.0,CLEARED
2024-08-15 10:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.5 > 85.0,ACTIVE
2024-08-15 17:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.9 returned below 85.0,CLEARED
2024-08-15 17:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.80000000000001 > 85.0,ACTIVE
2024-08-15 20:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 83.4 returned below 85.0,CLEARED
2024-08-16 08:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.10000000000001 > 85.0,ACTIVE
2024-08-16 08:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 83.9 returned below 85.0,CLEARED
2024-08-16 08:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 86.0 > 85.0,ACTIVE
2024-08-16 17:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.9 returned below 85.0,CLEARED
2024-08-16 18:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 86.1 > 85.0,ACTIVE
2024-08-16 20:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.4 returned below 85.0,CLEARED
2024-08-17 08:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.3 > 85.0,ACTIVE
2024-08-17 09:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.8 returned below 85.0,CLEARED
2024-08-17 09:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.3 > 85.0,ACTIVE
2024-08-17 14:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.39999999999999 returned below 85.0,CLEARED
2024-08-17 15:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 86.7 > 85.0,ACTIVE
2024-08-17 19:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.0 returned below 85.0,CLEARED
2024-08-18 08:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.9 > 85.0,ACTIVE
2024-08-18 09:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.8 returned below 85.0,CLEARED
2024-08-18 09:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 86.3 > 85.0,ACTIVE
2024-08-18 14:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.7 returned below 85.0,CLEARED
2024-08-18 14:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.39999999999999 > 85.0,ACTIVE
2024-08-18 20:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 83.4 returned below 85.0,CLEARED
2024-08-19 07:30,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 86.7 > 85.0,ACTIVE
2024-08-19 07:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.7 returned below 85.0,CLEARED
2024-08-19 08:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.8 > 85.0,ACTIVE
2024-08-19 20:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.4 returned below 85.0,CLEARED
2024-08-19 21:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 86.19999999999999 > 85.0,ACTIVE
2024-08-19 21:15,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.0 returned below 85.0,CLEARED
2024-08-19 21:45,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 85.2 > 85.0,ACTIVE
2024-08-19 22:00,U1-BFPB,HIGH_BRG_TEMP,BRG_NDE_TEMP = 84.4 returned below 85.0,CLEARED
