transformer_id,inspection_date,work_order_id,inspection_type,condition_before,condition_after
XFMR-004700,2024-05-03 18:36:36.049092,WO-000103,routine,3,3
XFMR-005710,2016-11-22 18:36:36.049113,WO-000104,routine,5,4
XFMR-005594,2020-12-31 18:36:36.049134,WO-000105,routine,4,3
XFMR-010570,2021-06-17 18:36:36.049154,WO-000106,routine,3,2
XFMR-010570,2025-05-06 18:36:36.049165,WO-000107,routine,1,2
XFMR-010570,2020-08-28 18:36:36.049176,WO-000108,preventive,2,2
XFMR-003480,2016-11-23 18:36:36.049196,WO-000109,routine,4,3
XFMR-005503,2023-12-16 18:36:36.049216,WO-000110,preventive,1,2
XFMR-005503,2017-07-31 18:36:36.049227,WO-000111,routine,3,2
XFMR-013168,2019-08-03 18:36:36.049247,WO-000112,routine,1,1
XFMR-013168,2021-05-13 18:36:36.049258,WO-000113,routine,1,1
XFMR-013446,2023-02-28 18:36:36.049278,WO-000114,routine,2,2
XFMR-002324,2018-01-14 18:36:36.049298,WO-000115,preventive,4,4
XFMR-002324,2024-07-30 18:36:36.049309,WO-000116,emergency,5,4
XFMR-016322,2022-01-05 18:36:36.049329,WO-000117,routine,3,4
XFMR-016322,2023-12-06 18:36:36.049339,WO-000118,routine,3,4
XFMR-016322,2017-11-11 18:36:36.049349,WO-000119,routine,4,4
XFMR-016218,2023-01-18 18:36:36.049369,WO-000120,routine,4,3
XFMR-005460,2024-07-04 18:36:36.049390,WO-000121,routine,3,4
XFMR-017848,2022-10-16 18:36:36.049411,WO-000122,preventive,4,4
XFMR-010747,2025-04-14 18:36:36.049434,WO-000123,routine,1,2
XFMR-010747,2021-04-26 18:36:36.049448,WO-000124,routine,2,2
XFMR-019280,2019-05-24 18:36:36.049470,WO-000125,routine,2,3
XFMR-013239,2023-10-16 18:36:36.049493,WO-000126,routine,3,3
XFMR-013953,2017-07-24 18:36:36.049515,WO-000127,routine,4,3
XFMR-021007,2019-10-21 18:36:36.049538,WO-000128,routine,2,3
XFMR-008939,2023-07-18 18:36:36.049561,WO-000129,emergency,3,4
XFMR-008939,2019-01-08 18:36:36.049573,WO-000130,routine,5,4
XFMR-014626,2022-11-29 18:36:36.049595,WO-000131,routine,3,3
XFMR-020125,2022-05-13 18:36:36.049617,WO-000132,preventive,1,2
XFMR-004033,2020-12-02 18:36:36.049640,WO-000133,preventive,3,2
XFMR-013338,2024-08-10 18:36:36.049662,WO-000134,preventive,2,2
XFMR-013338,2020-01-24 18:36:36.049674,WO-000135,routine,2,2
XFMR-013338,2019-03-28 18:36:36.049685,WO-000136,routine,2,2
XFMR-021081,2024-06-07 18:36:36.049706,WO-000137,preventive,5,5
XFMR-011153,2024-01-27 18:36:36.049729,WO-000138,preventive,2,3
XFMR-011153,2025-01-09 18:36:36.049741,WO-000139,emergency,3,3
XFMR-017394,2018-05-29 18:36:36.049762,WO-000140,routine,2,3
XFMR-017394,2024-08-10 18:36:36.049774,WO-000141,preventive,2,3
XFMR-017394,2017-12-23 18:36:36.049785,WO-000142,routine,4,3
XFMR-009995,2024-07-27 18:36:36.049807,WO-000143,routine,4,4
XFMR-009995,2019-12-21 18:36:36.049818,WO-000144,emergency,4,4
XFMR-018199,2019-06-17 18:36:36.049840,WO-000145,routine,1,2
XFMR-018199,2023-10-13 18:36:36.049852,WO-000146,preventive,3,2
XFMR-003722,2017-11-10 18:36:36.049874,WO-000147,routine,5,5
XFMR-003722,2016-12-04 18:36:36.049884,WO-000148,routine,4,5
XFMR-003722,2024-12-01 18:36:36.049894,WO-000149,routine,5,5
XFMR-020542,2017-02-22 18:36:36.049915,WO-000150,routine,2,1
XFMR-020542,2022-01-27 18:36:36.049925,WO-000151,routine,2,1
XFMR-020542,2023-09-03 18:36:36.049935,WO-000152,routine,1,1
XFMR-006420,2020-05-24 18:36:36.049955,WO-000153,preventive,4,3
XFMR-006420,2022-08-25 18:36:36.049966,WO-000154,routine,3,3
XFMR-006660,2025-08-08 18:36:36.049985,WO-000155,routine,3,3
XFMR-006660,2018-12-05 18:36:36.049996,WO-000156,routine,2,3
XFMR-021349,2020-12-19 18:36:36.050016,WO-000157,routine,4,3
XFMR-021349,2025-09-25 18:36:36.050026,WO-000158,routine,4,3
XFMR-021349,2024-07-21 18:36:36.050036,WO-000159,routine,3,3
XFMR-003844,2016-02-25 18:36:36.050056,WO-000160,emergency,4,4
XFMR-003844,2019-05-31 18:36:36.050067,WO-000161,routine,5,4
XFMR-003844,2023-06-04 18:36:36.050077,WO-000162,routine,5,4
XFMR-018197,2022-11-19 18:36:36.050097,WO-000163,emergency,2,3
XFMR-000607,2016-10-01 18:36:36.050117,WO-000164,routine,5,5
XFMR-012734,2021-08-20 18:36:36.050137,WO-000165,routine,2,1
XFMR-012734,2025-12-29 18:36:36.050148,WO-000166,routine,1,1
XFMR-014497,2020-01-26 18:36:36.050168,WO-000167,routine,2,3
XFMR-012888,2016-09-02 18:36:36.050188,WO-000168,routine,2,3
XFMR-012888,2016-10-03 18:36:36.050199,WO-000169,routine,3,3
XFMR-012888,2019-10-17 18:36:36.050209,WO-000170,emergency,3,3
XFMR-012341,2016-12-05 18:36:36.050229,WO-000171,routine,2,3
XFMR-012341,2019-05-06 18:36:36.050240,WO-000172,routine,3,3
XFMR-010331,2016-11-13 18:36:36.050259,WO-000173,routine,2,2
XFMR-006563,2020-03-29 18:36:36.050283,WO-000174,preventive,3,3
XFMR-007535,2025-03-16 18:36:36.050307,WO-000175,routine,1,2
XFMR-007535,2016-02-16 18:36:36.050319,WO-000176,emergency,1,2
XFMR-007535,2017-07-21 18:36:36.050330,WO-000177,routine,1,2
XFMR-006416,2025-10-10 18:36:36.050351,WO-000178,emergency,2,2
XFMR-006416,2016-07-17 18:36:36.050363,WO-000179,preventive,3,2
XFMR-009839,2024-06-13 18:36:36.050384,WO-000180,routine,2,2
XFMR-009839,2021-07-27 18:36:36.050396,WO-000181,emergency,1,2
XFMR-009839,2023-10-27 18:36:36.050407,WO-000182,routine,1,2
XFMR-016362,2023-06-07 18:36:36.050428,WO-000183,emergency,5,5
XFMR-016362,2020-08-28 18:36:36.050440,WO-000184,emergency,5,5
XFMR-016362,2017-05-18 18:36:36.050451,WO-000185,preventive,5,5
XFMR-005567,2020-10-09 18:36:36.050472,WO-000186,routine,4,5
XFMR-002251,2025-09-21 18:36:36.050495,WO-000187,routine,1,1
XFMR-002251,2022-01-29 18:36:36.050507,WO-000188,preventive,2,1
XFMR-015585,2025-09-24 18:36:36.050529,WO-000189,preventive,5,4
XFMR-015585,2016-11-05 18:36:36.050540,WO-000190,routine,3,4
XFMR-015585,2023-07-28 18:36:36.050551,WO-000191,emergency,3,4
XFMR-017936,2017-12-21 18:36:36.050573,WO-000192,routine,4,3
XFMR-017936,2018-09-01 18:36:36.050585,WO-000193,routine,4,3
XFMR-009556,2022-11-10 18:36:36.050607,WO-000194,emergency,4,4
XFMR-017707,2021-12-07 18:36:36.050629,WO-000195,emergency,2,3
XFMR-017707,2025-11-18 18:36:36.050641,WO-000196,routine,4,3
XFMR-017707,2025-01-11 18:36:36.050651,WO-000197,routine,4,3
XFMR-005130,2016-12-03 18:36:36.050673,WO-000198,routine,1,2
XFMR-005130,2019-03-22 18:36:36.050685,WO-000199,routine,3,2
XFMR-005130,2023-08-22 18:36:36.050695,WO-000200,routine,2,2
XFMR-006129,2023-07-06 18:36:36.050718,WO-000201,routine,1,2
XFMR-015000,2021-06-01 18:36:36.050738,WO-000202,routine,5,4
XFMR-015000,2024-11-06 18:36:36.050749,WO-000203,routine,4,4
XFMR-019225,2020-09-10 18:36:36.050769,WO-000204,routine,3,2
XFMR-007752,2020-10-29 18:36:36.050789,WO-000205,routine,3,2
XFMR-007752,2019-08-29 18:36:36.050800,WO-000206,routine,3,2
XFMR-016845,2020-07-13 18:36:36.050820,WO-000207,preventive,5,4
XFMR-016845,2025-11-26 18:36:36.050830,WO-000208,routine,3,4
XFMR-017168,2017-09-24 18:36:36.050850,WO-000209,routine,5,5
XFMR-017168,2022-04-25 18:36:36.050861,WO-000210,routine,5,5
XFMR-017168,2021-03-03 18:36:36.050871,WO-000211,routine,4,5
XFMR-001806,2024-05-11 18:36:36.050891,WO-000212,emergency,2,3
XFMR-001806,2018-10-12 18:36:36.050901,WO-000213,routine,4,3
XFMR-010753,2024-04-16 18:36:36.050921,WO-000214,routine,2,3
XFMR-007050,2025-07-22 18:36:36.050941,WO-000215,routine,4,3
XFMR-007050,2023-12-05 18:36:36.050952,WO-000216,routine,2,3
XFMR-007050,2023-07-02 18:36:36.050962,WO-000217,routine,3,3
XFMR-019371,2022-11-21 18:36:36.050982,WO-000218,routine,2,3
XFMR-019371,2020-11-22 18:36:36.050992,WO-000219,routine,2,3
XFMR-004743,2023-03-07 18:36:36.051012,WO-000220,emergency,1,1
XFMR-004743,2021-06-18 18:36:36.051023,WO-000221,routine,1,1
XFMR-017022,2017-08-14 18:36:36.051043,WO-000222,emergency,4,4
XFMR-003966,2023-10-24 18:36:36.051063,WO-000223,routine,4,3
XFMR-003966,2019-02-10 18:36:36.051074,WO-000224,routine,2,3
XFMR-012787,2024-11-26 18:36:36.051094,WO-000225,routine,3,2
XFMR-007232,2017-09-02 18:36:36.051114,WO-000226,routine,3,3
XFMR-006012,2018-06-15 18:36:36.051134,WO-000227,preventive,3,2
XFMR-007628,2018-07-10 18:36:36.051155,WO-000228,routine,2,3
XFMR-010773,2019-06-30 18:36:36.051175,WO-000229,emergency,4,4
XFMR-021260,2023-10-21 18:36:36.051196,WO-000230,routine,3,3
XFMR-021260,2017-11-19 18:36:36.051206,WO-000231,emergency,4,3
XFMR-016939,2020-05-24 18:36:36.051226,WO-000232,routine,2,3
XFMR-016939,2025-08-07 18:36:36.051237,WO-000233,emergency,2,3
XFMR-006004,2022-09-28 18:36:36.051257,WO-000234,emergency,2,2
XFMR-006004,2022-10-28 18:36:36.051268,WO-000235,routine,1,2
XFMR-013093,2022-02-11 18:36:36.051288,WO-000236,preventive,4,3
XFMR-013093,2019-08-22 18:36:36.051299,WO-000237,routine,3,3
XFMR-006668,2022-02-15 18:36:36.051319,WO-000238,routine,3,3
XFMR-006668,2022-11-15 18:36:36.051329,WO-000239,routine,3,3
XFMR-006484,2016-10-20 18:36:36.051349,WO-000240,preventive,1,2
XFMR-006484,2022-08-02 18:36:36.051360,WO-000241,routine,2,2
XFMR-006484,2023-04-23 18:36:36.051370,WO-000242,routine,2,2
XFMR-021426,2016-04-01 18:36:36.051389,WO-000243,routine,4,3
XFMR-013489,2019-09-17 18:36:36.051410,WO-000244,preventive,1,2
XFMR-009039,2016-10-20 18:36:36.051430,WO-000245,routine,4,3
XFMR-009039,2017-03-18 18:36:36.051441,WO-000246,routine,2,3
XFMR-000564,2020-12-31 18:36:36.051460,WO-000247,preventive,3,2
XFMR-009614,2016-05-09 18:36:36.051481,WO-000248,routine,1,2
XFMR-009614,2022-06-04 18:36:36.051492,WO-000249,routine,3,2
XFMR-009614,2018-11-03 18:36:36.051502,WO-000250,routine,3,2
XFMR-020112,2016-05-21 18:36:36.051521,WO-000251,routine,4,4
XFMR-020112,2022-03-06 18:36:36.051532,WO-000252,routine,4,4
XFMR-015498,2017-09-13 18:36:36.051552,WO-000253,routine,3,3
XFMR-010251,2026-01-02 18:36:36.051572,WO-000254,routine,2,2
XFMR-010251,2022-06-06 18:36:36.051583,WO-000255,routine,2,2
XFMR-004548,2024-05-10 18:36:36.051602,WO-000256,routine,5,5
XFMR-004548,2017-06-01 18:36:36.051613,WO-000257,routine,5,5
XFMR-005217,2021-04-05 18:36:36.051632,WO-000258,routine,4,3
XFMR-005217,2024-08-10 18:36:36.051643,WO-000259,routine,3,3
XFMR-005217,2019-02-27 18:36:36.051654,WO-000260,routine,3,3
XFMR-020639,2022-01-23 18:36:36.051673,WO-000261,preventive,4,3
XFMR-006815,2017-06-25 18:36:36.051694,WO-000262,routine,1,2
XFMR-006815,2017-01-25 18:36:36.051705,WO-000263,preventive,2,2
XFMR-019387,2023-10-12 18:36:36.051725,WO-000264,preventive,3,2
XFMR-000555,2016-12-06 18:36:36.051745,WO-000265,routine,1,2
XFMR-000555,2017-07-13 18:36:36.051756,WO-000266,routine,1,2
XFMR-007478,2024-06-06 18:36:36.051775,WO-000267,routine,2,1
XFMR-007478,2023-11-29 18:36:36.051786,WO-000268,routine,2,1
XFMR-007478,2025-06-07 18:36:36.051796,WO-000269,routine,2,1
XFMR-016338,2017-01-09 18:36:36.051816,WO-000270,routine,3,3
XFMR-016338,2025-07-10 18:36:36.051827,WO-000271,routine,4,3
XFMR-016338,2016-08-07 18:36:36.051837,WO-000272,routine,3,3
XFMR-002335,2023-02-08 18:36:36.051857,WO-000273,emergency,3,2
XFMR-002335,2022-11-01 18:36:36.051867,WO-000274,routine,2,2
XFMR-002335,2017-06-12 18:36:36.051877,WO-000275,routine,1,2
XFMR-013720,2021-12-14 18:36:36.051897,WO-000276,routine,1,2
XFMR-013720,2016-06-09 18:36:36.051908,WO-000277,routine,3,2
XFMR-004085,2019-12-30 18:36:36.051928,WO-000278,routine,5,5
XFMR-001088,2021-08-01 18:36:36.051948,WO-000279,routine,1,2
XFMR-001088,2019-04-23 18:36:36.051959,WO-000280,preventive,1,2
XFMR-016938,2016-11-19 18:36:36.051979,WO-000281,routine,5,4
XFMR-016938,2017-06-23 18:36:36.051990,WO-000282,routine,5,4
XFMR-016938,2024-03-01 18:36:36.052000,WO-000283,routine,4,4
XFMR-009273,2020-01-12 18:36:36.052020,WO-000284,routine,3,3
XFMR-009273,2023-03-17 18:36:36.052031,WO-000285,routine,3,3
XFMR-008592,2016-05-10 18:36:36.052051,WO-000286,routine,2,3
XFMR-018116,2019-11-06 18:36:36.052071,WO-000287,routine,1,1
XFMR-018116,2016-04-02 18:36:36.052082,WO-000288,routine,2,1
XFMR-018116,2023-04-06 18:36:36.052092,WO-000289,routine,1,1
XFMR-005216,2018-11-06 18:36:36.052112,WO-000290,routine,4,4
XFMR-005216,2023-09-18 18:36:36.052123,WO-000291,emergency,5,4
XFMR-007882,2016-11-04 18:36:36.052143,WO-000292,routine,2,2
XFMR-007882,2023-07-23 18:36:36.052154,WO-000293,routine,1,2
XFMR-006341,2019-11-23 18:36:36.052173,WO-000294,emergency,1,2
XFMR-007657,2022-06-10 18:36:36.052194,WO-000295,routine,3,4
XFMR-007657,2016-07-24 18:36:36.052205,WO-000296,preventive,5,4
XFMR-012404,2018-07-28 18:36:36.052224,WO-000297,emergency,2,3
XFMR-012404,2023-02-10 18:36:36.052235,WO-000298,routine,4,3
XFMR-020665,2017-07-21 18:36:36.052255,WO-000299,preventive,2,3
XFMR-020665,2022-04-04 18:36:36.052265,WO-000300,routine,3,3
XFMR-020665,2021-01-22 18:36:36.052275,WO-000301,emergency,4,3
XFMR-015810,2018-10-09 18:36:36.052295,WO-000302,routine,2,3
XFMR-010529,2020-07-03 18:36:36.052316,WO-000303,routine,5,4
XFMR-006827,2017-12-09 18:36:36.052336,WO-000304,routine,2,3
XFMR-006827,2019-05-24 18:36:36.052347,WO-000305,preventive,4,3
XFMR-006827,2025-11-11 18:36:36.052357,WO-000306,routine,4,3
XFMR-010224,2020-12-04 18:36:36.052377,WO-000307,preventive,2,2
XFMR-010224,2021-08-25 18:36:36.052387,WO-000308,preventive,2,2
XFMR-020066,2022-01-25 18:36:36.052407,WO-000309,routine,3,3
XFMR-019511,2025-04-09 18:36:36.052428,WO-000310,routine,3,3
XFMR-019511,2023-05-28 18:36:36.052439,WO-000311,routine,3,3
XFMR-019511,2022-09-14 18:36:36.052449,WO-000312,routine,4,3
XFMR-015420,2020-05-08 18:36:36.052468,WO-000313,routine,1,2
XFMR-014488,2018-04-07 18:36:36.052489,WO-000314,routine,2,2
XFMR-011508,2020-02-10 18:36:36.052509,WO-000315,preventive,4,3
XFMR-011508,2023-12-30 18:36:36.052520,WO-000316,preventive,4,3
XFMR-005722,2021-12-31 18:36:36.052540,WO-000317,preventive,2,3
XFMR-005722,2023-01-13 18:36:36.052551,WO-000318,routine,4,3
XFMR-015960,2016-12-27 18:36:36.052570,WO-000319,routine,1,1
XFMR-015960,2019-11-13 18:36:36.052581,WO-000320,routine,2,1
XFMR-015960,2020-12-19 18:36:36.052591,WO-000321,routine,2,1
XFMR-019184,2024-10-17 18:36:36.052611,WO-000322,routine,4,5
XFMR-019184,2024-08-25 18:36:36.052621,WO-000323,routine,4,5
XFMR-019184,2017-01-01 18:36:36.052631,WO-000324,routine,5,5
XFMR-013944,2023-01-15 18:36:36.052651,WO-000325,routine,3,2
XFMR-013944,2021-01-25 18:36:36.052662,WO-000326,emergency,1,2
XFMR-021481,2025-04-13 18:36:36.052682,WO-000327,routine,4,3
XFMR-021481,2017-10-02 18:36:36.052692,WO-000328,routine,4,3
XFMR-012640,2022-03-07 18:36:36.052712,WO-000329,preventive,3,4
XFMR-012640,2024-07-16 18:36:36.052723,WO-000330,routine,3,4
XFMR-012640,2022-01-20 18:36:36.052733,WO-000331,preventive,3,4
XFMR-009882,2026-01-11 18:36:36.052753,WO-000332,preventive,5,5
XFMR-009882,2023-12-29 18:36:36.052763,WO-000333,routine,5,5
XFMR-008442,2022-03-01 18:36:36.052783,WO-000334,routine,3,2
XFMR-017285,2017-08-20 18:36:36.052803,WO-000335,routine,4,4
XFMR-017285,2018-02-13 18:36:36.052814,WO-000336,routine,4,4
XFMR-017285,2024-03-21 18:36:36.052824,WO-000337,routine,4,4
XFMR-018752,2018-08-27 18:36:36.052844,WO-000338,routine,3,3
XFMR-018752,2023-07-20 18:36:36.052854,WO-000339,routine,3,3
XFMR-008059,2025-03-13 18:36:36.052874,WO-000340,routine,2,3
XFMR-002146,2019-08-11 18:36:36.052894,WO-000341,emergency,3,4
XFMR-002146,2025-02-18 18:36:36.052905,WO-000342,emergency,3,4
XFMR-002146,2021-07-13 18:36:36.052915,WO-000343,routine,3,4
XFMR-017017,2023-12-02 18:36:36.052934,WO-000344,routine,3,2
XFMR-017017,2020-06-03 18:36:36.052944,WO-000345,preventive,2,2
XFMR-016740,2019-09-05 18:36:36.052964,WO-000346,routine,4,3
XFMR-013502,2021-11-27 18:36:36.052983,WO-000347,routine,3,2
XFMR-013502,2025-09-10 18:36:36.052994,WO-000348,emergency,2,2
XFMR-013502,2016-09-27 18:36:36.053004,WO-000349,routine,3,2
XFMR-017283,2016-12-15 18:36:36.053023,WO-000350,routine,4,4
XFMR-005953,2025-02-14 18:36:36.053043,WO-000351,routine,1,2
XFMR-005953,2020-11-04 18:36:36.053053,WO-000352,preventive,1,2
XFMR-004157,2023-07-29 18:36:36.053073,WO-000353,routine,5,5
XFMR-004157,2019-03-13 18:36:36.053083,WO-000354,routine,5,5
XFMR-007749,2023-10-07 18:36:36.053103,WO-000355,preventive,2,3
XFMR-007749,2018-05-07 18:36:36.053113,WO-000356,preventive,4,3
XFMR-002755,2024-12-17 18:36:36.053132,WO-000357,preventive,3,4
XFMR-002755,2019-05-04 18:36:36.053143,WO-000358,preventive,5,4
XFMR-002755,2016-03-15 18:36:36.053152,WO-000359,routine,4,4
XFMR-017196,2023-07-13 18:36:36.053172,WO-000360,routine,4,4
XFMR-001093,2017-05-02 18:36:36.053192,WO-000361,routine,3,4
XFMR-010257,2018-09-13 18:36:36.053211,WO-000362,emergency,4,3
XFMR-010257,2019-11-09 18:36:36.053222,WO-000363,routine,4,3
XFMR-010257,2018-09-09 18:36:36.053232,WO-000364,routine,4,3
XFMR-002699,2020-09-05 18:36:36.053251,WO-000365,routine,2,2
XFMR-009624,2020-10-19 18:36:36.053271,WO-000366,routine,2,3
XFMR-017288,2023-02-28 18:36:36.053290,WO-000367,routine,2,3
XFMR-009239,2017-08-24 18:36:36.053310,WO-000368,routine,3,4
XFMR-002154,2016-02-20 18:36:36.053330,WO-000369,routine,2,2
XFMR-002154,2019-12-23 18:36:36.053341,WO-000370,preventive,1,2
XFMR-007884,2025-11-12 18:36:36.053360,WO-000371,routine,1,2
XFMR-009566,2017-01-28 18:36:36.053380,WO-000372,routine,2,2
XFMR-009566,2016-05-12 18:36:36.053390,WO-000373,routine,1,2
