transformer_id,feeder_id,kva_rating,install_year,manufacturer,type,health_index,condition_score,age_years
XFMR-000082,FDR-0001,50.0,2011,Siemens,dry,4,85,14
XFMR-000083,FDR-0001,15.0,1990,Prolec,oil,2,43,35
XFMR-000084,FDR-0001,15.0,2019,Prolec,oil,3,73,6
XFMR-000085,FDR-0001,10.0,2009,Eaton,oil,3,58,16
XFMR-000086,FDR-0001,333.0,2003,Eaton,oil,3,55,22
XFMR-000087,FDR-0001,25.0,2013,ABB,oil,4,73,12
XFMR-000088,FDR-0001,75.0,1987,GE,oil,2,31,38
XFMR-000089,FDR-0001,100.0,2020,Siemens,oil,4,79,5
XFMR-000090,FDR-0001,167.0,1985,ABB,dry,2,40,40
XFMR-000091,FDR-0001,167.0,2021,Siemens,oil,4,76,4
XFMR-000092,FDR-0001,167.0,2020,ABB,oil,4,74,5
XFMR-000093,FDR-0001,50.0,2000,Howard Industries,dry,3,75,25
XFMR-000094,FDR-0001,15.0,1983,Prolec,oil,2,33,42
XFMR-000095,FDR-0001,100.0,1998,GE,oil,3,75,27
XFMR-000096,FDR-0001,75.0,1982,GE,oil,2,35,43
XFMR-000097,FDR-0001,15.0,2019,Siemens,oil,4,71,6
XFMR-000098,FDR-0001,250.0,1982,ABB,oil,2,31,43
XFMR-000099,FDR-0002,10.0,2002,ABB,oil,2,45,23
XFMR-000100,FDR-0002,37.5,2002,Howard Industries,dry,2,54,23
XFMR-000101,FDR-0002,100.0,1986,Prolec,oil,1,32,39
XFMR-000102,FDR-0002,50.0,2003,GE,dry,3,72,22
XFMR-000103,FDR-0002,15.0,2019,Prolec,oil,4,82,6
XFMR-000104,FDR-0002,75.0,2005,Prolec,oil,3,70,20
XFMR-000105,FDR-0002,10.0,1985,ABB,dry,3,56,40
XFMR-000106,FDR-0002,167.0,1998,GE,oil,3,74,27
XFMR-000107,FDR-0002,100.0,1981,Prolec,oil,2,55,44
XFMR-000108,FDR-0002,10.0,1986,ABB,oil,2,34,39
XFMR-000109,FDR-0002,25.0,2006,GE,oil,3,74,19
XFMR-000110,FDR-0002,25.0,1990,Prolec,oil,1,26,35
XFMR-000111,FDR-0002,15.0,1997,ABB,oil,3,62,28
XFMR-000112,FDR-0002,333.0,1984,Siemens,oil,1,24,41
XFMR-000113,FDR-0002,25.0,1980,GE,oil,2,32,45
XFMR-000114,FDR-0002,100.0,1991,ABB,oil,2,52,34
XFMR-000115,FDR-0002,37.5,2020,Howard Industries,oil,4,73,5
XFMR-000116,FDR-0002,75.0,2009,ABB,oil,3,64,16
XFMR-000117,FDR-0002,500.0,1984,Siemens,oil,2,47,41
XFMR-000118,FDR-0002,500.0,1984,GE,oil,1,12,41
XFMR-000119,FDR-0002,500.0,1987,ABB,oil,2,36,38
XFMR-000120,FDR-0002,167.0,2001,GE,oil,3,57,24
XFMR-000121,FDR-0002,333.0,1995,Howard Industries,oil,2,40,30
XFMR-000122,FDR-0002,167.0,2004,Howard Industries,dry,3,74,21
XFMR-000123,FDR-0002,167.0,2019,Howard Industries,oil,4,78,6
XFMR-000124,FDR-0002,167.0,2001,GE,oil,2,49,24
XFMR-000125,FDR-0002,500.0,1984,Prolec,oil,2,41,41
XFMR-000126,FDR-0002,50.0,2003,ABB,oil,3,54,22
XFMR-000127,FDR-0002,50.0,2016,Howard Industries,oil,4,70,9
XFMR-000128,FDR-0002,500.0,2016,Prolec,oil,4,83,9
XFMR-000129,FDR-0002,500.0,1992,GE,dry,1,34,33
XFMR-000130,FDR-0002,75.0,2012,Eaton,oil,4,72,13
XFMR-000131,FDR-0002,15.0,1982,GE,oil,2,44,43
XFMR-000132,FDR-0002,25.0,1980,Howard Industries,dry,1,19,45
XFMR-000133,FDR-0002,10.0,1981,Prolec,oil,1,35,44
XFMR-000134,FDR-0002,167.0,2005,Siemens,oil,3,59,20
XFMR-000135,FDR-0002,167.0,2000,Howard Industries,oil,4,72,25
XFMR-000136,FDR-0002,333.0,2021,Prolec,oil,5,97,4
XFMR-000137,FDR-0002,250.0,2006,ABB,oil,3,55,19
XFMR-000138,FDR-0002,100.0,1996,GE,oil,3,54,29
XFMR-000139,FDR-0002,250.0,2000,ABB,oil,3,73,25
XFMR-000140,FDR-0002,500.0,2016,ABB,oil,5,87,9
XFMR-000141,FDR-0002,167.0,2019,ABB,oil,5,98,6
XFMR-000142,FDR-0002,15.0,2009,GE,dry,3,66,16
XFMR-000143,FDR-0002,15.0,1986,Howard Industries,oil,2,41,39
XFMR-000144,FDR-0002,25.0,2024,Howard Industries,dry,5,93,1
XFMR-000145,FDR-0002,500.0,1991,GE,oil,2,55,34
XFMR-000146,FDR-0002,100.0,2022,Prolec,oil,4,72,3
XFMR-000147,FDR-0002,75.0,2002,Eaton,oil,3,67,23
XFMR-000148,FDR-0002,25.0,1990,GE,dry,2,33,35
XFMR-000149,FDR-0002,167.0,2016,ABB,oil,3,63,9
XFMR-000150,FDR-0002,50.0,2012,ABB,oil,4,75,13
XFMR-000151,FDR-0002,250.0,2022,Prolec,oil,5,100,3
XFMR-000152,FDR-0002,500.0,2017,GE,dry,4,84,8
XFMR-000153,FDR-0002,100.0,1993,Prolec,dry,1,26,32
XFMR-000154,FDR-0002,15.0,2019,Siemens,oil,4,74,6
XFMR-000155,FDR-0002,75.0,2004,Prolec,dry,4,75,21
XFMR-000156,FDR-0002,25.0,2002,Siemens,oil,3,70,23
XFMR-000157,FDR-0002,333.0,1984,ABB,oil,2,55,41
XFMR-000158,FDR-0002,250.0,2023,Eaton,oil,5,89,2
XFMR-000159,FDR-0002,10.0,2009,Prolec,oil,3,68,16
XFMR-000160,FDR-0002,333.0,2001,GE,dry,3,63,24
XFMR-000161,FDR-0002,250.0,2004,Prolec,dry,3,53,21
XFMR-000162,FDR-0002,25.0,1989,ABB,dry,2,34,36
XFMR-000163,FDR-0002,37.5,1980,Siemens,dry,1,20,45
XFMR-000164,FDR-0002,167.0,2019,Prolec,oil,4,71,6
XFMR-000165,FDR-0002,15.0,2005,Eaton,oil,2,51,20
XFMR-000166,FDR-0002,75.0,2017,Eaton,dry,4,71,8
XFMR-000167,FDR-0002,10.0,1995,Howard Industries,dry,2,49,30
XFMR-000168,FDR-0002,50.0,1991,Siemens,oil,1,21,34
XFMR-000169,FDR-0002,25.0,1996,Siemens,dry,2,45,29
XFMR-000170,FDR-0002,25.0,2017,Howard Industries,dry,4,86,8
XFMR-000171,FDR-0002,37.5,2019,GE,dry,4,73,6
XFMR-000172,FDR-0002,25.0,1985,Howard Industries,oil,1,23,40
XFMR-000173,FDR-0002,25.0,1988,ABB,oil,2,36,37
XFMR-000174,FDR-0002,500.0,1983,Eaton,dry,2,44,42
XFMR-000175,FDR-0002,167.0,1983,GE,oil,2,45,42
XFMR-000176,FDR-0002,50.0,1980,ABB,dry,1,17,45
XFMR-000177,FDR-0002,37.5,2004,Prolec,dry,3,51,21
XFMR-000178,FDR-0002,100.0,1992,Howard Industries,oil,2,48,33
XFMR-000179,FDR-0002,50.0,2015,ABB,dry,5,85,10
XFMR-000180,FDR-0002,37.5,2004,Howard Industries,oil,2,52,21
XFMR-000181,FDR-0002,167.0,1993,GE,oil,2,33,32
XFMR-000182,FDR-0002,250.0,2011,Howard Industries,oil,3,75,14
XFMR-000183,FDR-0002,333.0,2006,Howard Industries,oil,4,90,19
XFMR-000184,FDR-0002,50.0,1999,GE,oil,3,74,26
XFMR-000185,FDR-0002,75.0,2020,Siemens,dry,4,80,5
XFMR-000186,FDR-0002,333.0,2016,ABB,oil,4,79,9
XFMR-000187,FDR-0002,250.0,2012,Howard Industries,dry,4,87,13
XFMR-000188,FDR-0002,10.0,1994,Howard Industries,oil,2,30,31
XFMR-000189,FDR-0002,75.0,2014,Siemens,oil,4,86,11
XFMR-000190,FDR-0002,333.0,1988,GE,oil,2,45,37
XFMR-000191,FDR-0002,500.0,1987,GE,oil,1,21,38
XFMR-000192,FDR-0002,333.0,1983,Howard Industries,oil,2,45,42
XFMR-000193,FDR-0002,25.0,2015,Prolec,dry,5,93,10
XFMR-000194,FDR-0002,37.5,2004,Siemens,oil,3,66,21
XFMR-000195,FDR-0002,250.0,2021,Prolec,oil,5,87,4
XFMR-000196,FDR-0002,500.0,2004,Eaton,oil,3,67,21
XFMR-000197,FDR-0002,500.0,1985,Siemens,oil,2,44,40
XFMR-000198,FDR-0002,37.5,2011,Prolec,oil,4,84,14
XFMR-000199,FDR-0002,250.0,2006,ABB,oil,3,65,19
XFMR-000200,FDR-0002,75.0,2006,ABB,oil,3,69,19
XFMR-000201,FDR-0002,167.0,1994,Eaton,oil,2,30,31
XFMR-000202,FDR-0002,25.0,2009,ABB,oil,2,30,16
XFMR-000203,FDR-0002,10.0,2003,Prolec,dry,2,33,22
XFMR-000204,FDR-0002,10.0,1998,Prolec,dry,3,62,27
XFMR-000205,FDR-0002,500.0,2004,GE,oil,3,53,21
XFMR-000206,FDR-0002,500.0,1990,Prolec,oil,1,32,35
XFMR-000207,FDR-0002,100.0,2022,Siemens,oil,4,77,3
XFMR-000208,FDR-0002,10.0,1988,Howard Industries,dry,2,42,37
XFMR-000209,FDR-0002,167.0,2016,Howard Industries,oil,3,73,9
XFMR-000210,FDR-0002,75.0,1983,GE,oil,1,17,42
XFMR-000211,FDR-0002,50.0,2013,Howard Industries,oil,4,83,12
XFMR-000212,FDR-0002,250.0,1999,Prolec,oil,3,74,26
XFMR-000213,FDR-0002,75.0,2008,Siemens,oil,3,50,17
XFMR-000214,FDR-0002,50.0,2008,Prolec,oil,3,58,17
XFMR-000215,FDR-0002,167.0,1999,Prolec,oil,3,75,26
XFMR-000216,FDR-0002,15.0,2001,Howard Industries,oil,3,73,24
XFMR-000217,FDR-0002,25.0,1998,Prolec,dry,3,50,27
XFMR-000218,FDR-0002,37.5,1991,Siemens,oil,2,36,34
XFMR-000219,FDR-0002,10.0,1988,Howard Industries,oil,2,54,37
XFMR-000220,FDR-0002,15.0,1987,Siemens,oil,2,49,38
XFMR-000221,FDR-0002,167.0,1995,Howard Industries,oil,2,42,30
XFMR-000222,FDR-0002,10.0,2024,Prolec,oil,5,99,1
XFMR-000223,FDR-0002,75.0,1990,ABB,oil,1,18,35
XFMR-000224,FDR-0002,10.0,2013,Eaton,oil,4,85,12
XFMR-000225,FDR-0002,75.0,2000,Siemens,oil,3,66,25
XFMR-000226,FDR-0002,500.0,2017,Eaton,oil,4,78,8
XFMR-000227,FDR-0002,37.5,2023,GE,oil,5,90,2
XFMR-000228,FDR-0002,250.0,2009,Siemens,oil,3,69,16
XFMR-000229,FDR-0002,10.0,1985,ABB,oil,2,41,40
XFMR-000230,FDR-0002,167.0,2009,Prolec,oil,3,65,16
XFMR-000231,FDR-0002,10.0,2010,Prolec,oil,3,70,15
XFMR-000232,FDR-0002,37.5,1982,Howard Industries,oil,2,44,43
XFMR-000233,FDR-0002,250.0,1984,Prolec,oil,2,36,41
XFMR-000234,FDR-0002,500.0,1991,GE,oil,2,39,34
XFMR-000235,FDR-0002,100.0,2009,Eaton,oil,2,33,16
XFMR-000236,FDR-0002,10.0,1998,Howard Industries,dry,3,73,27
XFMR-000237,FDR-0002,37.5,1996,GE,oil,3,52,29
XFMR-000238,FDR-0002,10.0,1981,Howard Industries,dry,1,27,44
XFMR-000239,FDR-0002,333.0,1994,Eaton,dry,2,30,31
XFMR-000240,FDR-0002,37.5,1994,Eaton,oil,1,22,31
XFMR-000241,FDR-0002,37.5,2006,Siemens,oil,4,87,19
XFMR-000242,FDR-0002,50.0,1995,ABB,dry,3,57,30
XFMR-000243,FDR-0002,37.5,1998,ABB,dry,4,80,27
XFMR-000244,FDR-0002,10.0,2006,Eaton,dry,3,59,19
XFMR-000245,FDR-0002,167.0,2008,Siemens,oil,2,33,17
XFMR-000246,FDR-0002,167.0,2014,Eaton,oil,5,93,11
XFMR-000247,FDR-0002,250.0,1982,ABB,oil,2,33,43
XFMR-000248,FDR-0002,15.0,2024,Eaton,dry,5,88,1
XFMR-000249,FDR-0002,500.0,2024,Howard Industries,oil,5,100,1
XFMR-000250,FDR-0002,250.0,1992,Prolec,oil,2,41,33
XFMR-000251,FDR-0002,15.0,2009,Eaton,dry,3,57,16
XFMR-000252,FDR-0002,50.0,2019,GE,oil,4,82,6
XFMR-000253,FDR-0002,37.5,1983,Prolec,oil,2,37,42
XFMR-000254,FDR-0002,100.0,2021,Prolec,oil,5,89,4
XFMR-000255,FDR-0002,100.0,1988,ABB,oil,1,12,37
XFMR-000256,FDR-0002,37.5,2007,ABB,dry,3,61,18
XFMR-000257,FDR-0002,250.0,2013,GE,oil,5,86,12
XFMR-000258,FDR-0002,100.0,2014,Howard Industries,oil,4,84,11
XFMR-000259,FDR-0002,500.0,2000,Prolec,oil,3,74,25
XFMR-000260,FDR-0002,250.0,2021,ABB,oil,4,83,4
XFMR-000261,FDR-0002,333.0,2004,ABB,oil,3,58,21
XFMR-000262,FDR-0002,167.0,1989,Siemens,oil,3,54,36
XFMR-000263,FDR-0002,15.0,2009,Prolec,oil,2,44,16
XFMR-000264,FDR-0002,500.0,2004,GE,oil,3,57,21
XFMR-000265,FDR-0002,167.0,2018,Eaton,oil,4,72,7
XFMR-000266,FDR-0002,15.0,2002,Howard Industries,dry,3,61,23
XFMR-000267,FDR-0002,100.0,1998,Siemens,oil,3,54,27
XFMR-000268,FDR-0002,333.0,1981,Siemens,oil,2,38,44
XFMR-000269,FDR-0002,167.0,2014,Siemens,oil,4,89,11
XFMR-000270,FDR-0002,75.0,1984,Siemens,oil,2,32,41
XFMR-000271,FDR-0002,25.0,1999,GE,dry,3,72,26
XFMR-000272,FDR-0002,167.0,1983,Howard Industries,dry,2,37,42
XFMR-000273,FDR-0002,167.0,1999,GE,oil,3,70,26
XFMR-000274,FDR-0002,333.0,2004,Siemens,oil,4,82,21
XFMR-000275,FDR-0002,15.0,1987,Howard Industries,dry,2,37,38
XFMR-000276,FDR-0002,167.0,1996,GE,oil,3,54,29
XFMR-000277,FDR-0002,500.0,1984,GE,oil,2,54,41
XFMR-000278,FDR-0002,100.0,1986,Siemens,oil,2,36,39
XFMR-000279,FDR-0002,250.0,1980,Howard Industries,oil,1,14,45
XFMR-000280,FDR-0002,37.5,2014,Prolec,oil,4,78,11
XFMR-000281,FDR-0002,75.0,2018,ABB,dry,4,74,7
XFMR-000282,FDR-0002,167.0,1995,Prolec,oil,2,37,30
XFMR-000283,FDR-0002,10.0,2006,Siemens,oil,3,61,19
XFMR-000284,FDR-0002,75.0,1995,Eaton,oil,1,13,30
XFMR-000285,FDR-0002,167.0,2004,ABB,dry,3,58,21
XFMR-000286,FDR-0002,10.0,1983,ABB,dry,1,31,42
XFMR-000287,FDR-0002,250.0,2003,Howard Industries,oil,3,71,22
XFMR-000288,FDR-0002,500.0,1984,Prolec,oil,2,43,41
XFMR-000289,FDR-0002,167.0,2000,ABB,oil,3,68,25
XFMR-000290,FDR-0002,333.0,2001,GE,oil,3,62,24
XFMR-000291,FDR-0002,250.0,1986,Siemens,oil,1,12,39
XFMR-000292,FDR-0002,75.0,1985,Eaton,dry,1,13,40
XFMR-000293,FDR-0002,333.0,1981,Eaton,oil,2,30,44
XFMR-000294,FDR-0002,25.0,1992,Siemens,dry,2,51,33
XFMR-000295,FDR-0002,100.0,1984,Howard Industries,oil,1,10,41
XFMR-000296,FDR-0002,250.0,2006,Eaton,oil,3,60,19
XFMR-000297,FDR-0002,75.0,2016,Eaton,dry,4,85,9
XFMR-000298,FDR-0002,100.0,1998,Prolec,oil,3,53,27
XFMR-000299,FDR-0002,333.0,2006,ABB,oil,3,56,19
XFMR-000300,FDR-0002,167.0,1989,Howard Industries,oil,1,21,36
XFMR-000301,FDR-0002,250.0,1996,Howard Industries,dry,2,35,29
XFMR-000302,FDR-0002,50.0,1996,GE,oil,3,73,29
XFMR-000303,FDR-0002,15.0,2011,Prolec,oil,4,89,14
XFMR-000304,FDR-0002,25.0,2011,Eaton,dry,4,78,14
XFMR-000305,FDR-0002,333.0,2004,Prolec,oil,3,75,21
XFMR-000306,FDR-0002,25.0,2021,GE,oil,5,92,4
XFMR-000307,FDR-0002,37.5,2009,Prolec,oil,3,63,16
XFMR-000308,FDR-0002,500.0,1996,ABB,oil,3,64,29
XFMR-000309,FDR-0002,100.0,1980,GE,oil,1,30,45
XFMR-000310,FDR-0002,15.0,1984,Prolec,dry,2,51,41
XFMR-000311,FDR-0002,37.5,1993,GE,oil,2,34,32
XFMR-000312,FDR-0002,333.0,2003,Prolec,oil,2,44,22
XFMR-000313,FDR-0002,10.0,1996,Siemens,oil,2,35,29
XFMR-000314,FDR-0002,25.0,2014,GE,oil,5,85,11
XFMR-000315,FDR-0002,75.0,2021,Siemens,oil,5,88,4
XFMR-000316,FDR-0002,100.0,2018,ABB,oil,4,78,7
XFMR-000317,FDR-0002,250.0,2024,ABB,oil,5,88,1
XFMR-000318,FDR-0002,25.0,2010,Siemens,oil,2,31,15
XFMR-000319,FDR-0002,75.0,2016,Siemens,oil,3,55,9
XFMR-000320,FDR-0002,500.0,2020,Howard Industries,oil,4,71,5
XFMR-000321,FDR-0002,167.0,1984,Prolec,oil,2,32,41
XFMR-000322,FDR-0002,37.5,2016,ABB,oil,4,76,9
XFMR-000323,FDR-0002,75.0,2009,GE,oil,3,69,16
XFMR-000324,FDR-0002,10.0,2011,Howard Industries,dry,4,86,14
XFMR-000325,FDR-0002,50.0,2009,Siemens,dry,4,78,16
XFMR-000326,FDR-0002,250.0,2004,Eaton,oil,3,71,21
XFMR-000327,FDR-0002,75.0,1994,ABB,dry,2,38,31
XFMR-000328,FDR-0002,37.5,1999,Howard Industries,dry,3,68,26
XFMR-000329,FDR-0002,100.0,2019,Prolec,oil,4,74,6
XFMR-000330,FDR-0002,15.0,1992,Eaton,oil,2,54,33
XFMR-000331,FDR-0002,100.0,2005,Prolec,dry,3,55,20
XFMR-000332,FDR-0002,10.0,1997,ABB,oil,3,67,28
XFMR-000333,FDR-0002,500.0,2017,ABB,oil,3,50,8
XFMR-000334,FDR-0002,167.0,2014,GE,dry,3,74,11
XFMR-000335,FDR-0002,15.0,2003,Siemens,dry,2,46,22
XFMR-000336,FDR-0002,167.0,2021,Siemens,oil,4,83,4
XFMR-000337,FDR-0002,50.0,1988,Prolec,dry,2,44,37
XFMR-000338,FDR-0002,10.0,2009,ABB,oil,3,54,16
XFMR-000339,FDR-0002,25.0,1989,Prolec,dry,2,46,36
XFMR-000340,FDR-0002,37.5,2007,ABB,oil,2,50,18
XFMR-000341,FDR-0002,25.0,1999,ABB,oil,3,70,26
XFMR-000342,FDR-0002,75.0,2024,GE,dry,5,91,1
XFMR-000343,FDR-0002,333.0,2001,Howard Industries,oil,2,52,24
XFMR-000344,FDR-0002,250.0,2015,ABB,oil,4,80,10
XFMR-000345,FDR-0002,500.0,2003,ABB,oil,3,59,22
XFMR-000346,FDR-0002,15.0,1998,Siemens,oil,3,66,27
XFMR-000347,FDR-0002,50.0,2010,Howard Industries,dry,3,74,15
XFMR-000348,FDR-0002,15.0,1992,Eaton,oil,1,10,33
XFMR-000349,FDR-0002,100.0,2009,GE,oil,3,54,16
XFMR-000350,FDR-0002,75.0,2007,Eaton,dry,3,65,18
XFMR-000351,FDR-0002,25.0,1996,Siemens,oil,3,56,29
XFMR-000352,FDR-0002,37.5,1995,GE,oil,2,41,30
XFMR-000353,FDR-0002,333.0,2004,Eaton,oil,3,57,21
XFMR-000354,FDR-0002,100.0,1981,GE,oil,1,27,44
XFMR-000355,FDR-0002,100.0,1989,Prolec,oil,1,10,36
XFMR-000356,FDR-0002,25.0,2021,Eaton,oil,5,88,4
XFMR-000357,FDR-0002,500.0,1987,Howard Industries,oil,1,21,38
XFMR-000358,FDR-0002,15.0,2016,ABB,oil,4,73,9
XFMR-000359,FDR-0002,15.0,2021,Eaton,dry,5,94,4
XFMR-000360,FDR-0002,167.0,1981,Siemens,oil,2,41,44
XFMR-000361,FDR-0002,50.0,2015,ABB,oil,4,70,10
XFMR-000362,FDR-0002,167.0,2021,ABB,dry,5,98,4
XFMR-000363,FDR-0002,500.0,1984,Howard Industries,oil,2,30,41
XFMR-000364,FDR-0002,167.0,2002,Howard Industries,oil,3,52,23
XFMR-000365,FDR-0002,10.0,2023,GE,oil,5,89,2
XFMR-000366,FDR-0002,333.0,2018,Eaton,oil,4,81,7
XFMR-000367,FDR-0002,37.5,2002,Eaton,dry,4,90,23
XFMR-000368,FDR-0002,333.0,1988,Howard Industries,dry,3,62,37
XFMR-000369,FDR-0002,250.0,1993,ABB,oil,1,22,32
XFMR-000370,FDR-0002,10.0,2024,GE,oil,4,90,1
XFMR-000371,FDR-0002,75.0,2004,ABB,dry,2,38,21
XFMR-000372,FDR-0002,15.0,2020,GE,oil,3,67,5
XFMR-000373,FDR-0002,75.0,2016,Eaton,oil,3,50,9
XFMR-000374,FDR-0002,500.0,1989,Prolec,oil,2,35,36
XFMR-000375,FDR-0002,37.5,2000,GE,dry,2,54,25
XFMR-000376,FDR-0002,10.0,1988,ABB,dry,2,52,37
XFMR-000377,FDR-0002,500.0,1993,Eaton,dry,2,53,32
XFMR-000378,FDR-0002,75.0,1982,Prolec,oil,1,14,43
XFMR-000379,FDR-0002,50.0,1980,ABB,dry,1,35,45
XFMR-000380,FDR-0002,10.0,1998,Eaton,oil,3,53,27
XFMR-000381,FDR-0002,75.0,2018,Siemens,dry,3,55,7
XFMR-000382,FDR-0002,25.0,2022,GE,oil,5,87,3
XFMR-000383,FDR-0002,15.0,2000,Eaton,oil,3,66,25
XFMR-000384,FDR-0002,75.0,2023,Siemens,dry,5,95,2
XFMR-000385,FDR-0002,25.0,2003,Eaton,oil,3,53,22
XFMR-000386,FDR-0002,500.0,2009,ABB,oil,3,74,16
XFMR-000387,FDR-0002,25.0,2024,Siemens,oil,5,88,1
XFMR-000388,FDR-0002,37.5,2011,Eaton,dry,3,50,14
XFMR-000389,FDR-0002,15.0,1994,Siemens,oil,2,33,31
